"dates","BA.Open","BA.High","BA.Low","BA.Close","BA.Volume","BA.Adjusted"
"2013-11-21",132.449997,133.289993,131.199997,132.929993,4700600,113.611481
"2013-11-22",133.490005,136.119995,133.429993,135.970001,4290200,116.209656
"2013-11-25",134.009995,134.860001,130.580002,133,7181700,113.671295
"2013-11-26",133,135.440002,132.559998,134.779999,4200800,115.192604
"2013-11-27",135.050003,136.300003,134.169998,134.720001,3350900,115.141335
"2013-11-29",134.820007,135.229996,134.179993,134.25,1680900,114.739616
"2013-12-02",134.990005,135.460007,133.619995,134.160004,3378100,114.66272
"2013-12-03",133.929993,133.929993,131.919998,132,5171900,112.816643
"2013-12-04",131.729996,132.149994,130.550003,131.5,5137100,112.389267
"2013-12-05",131.259995,133.100006,131.25,132.729996,3665100,113.440559
"2013-12-06",134.580002,135.75,134,135.179993,5341800,115.534485
"2013-12-09",135.490005,135.949997,134.570007,134.679993,3799000,115.107155
"2013-12-10",133.649994,135.039993,132.179993,133.699997,4061300,114.2696
"2013-12-11",133.699997,133.809998,132.440002,132.559998,3358300,113.29525
"2013-12-12",132.110001,133.649994,131.899994,132.960007,3617700,113.637108
"2013-12-13",133.449997,134.25,133.139999,133.830002,3139400,114.380676
"2013-12-16",134.270004,135.199997,133.940002,134.720001,3979500,115.141335
"2013-12-17",137.919998,138.100006,135.360001,135.880005,6753000,116.132767
"2013-12-18",135.860001,136.440002,132.839996,135.490005,5632400,115.799438
"2013-12-19",135,136.229996,133.940002,135.169998,3177100,115.525955
"2013-12-20",135.490005,137.850006,135.490005,136.669998,5454600,116.807953
"2013-12-23",137.690002,138.089996,136.320007,136.399994,2945100,116.577179
"2013-12-24",136.399994,136.979996,136.139999,136.830002,1203200,116.944702
"2013-12-26",137.179993,138.589996,137.169998,138.270004,2161300,118.175438
"2013-12-27",138.690002,138.880005,136.789993,136.899994,2204600,117.004524
"2013-12-30",137.160004,137.369995,135.539993,135.919998,2403500,116.166946
"2013-12-31",136.160004,137.050003,135.740005,136.490005,2096000,116.654099
