"dates","ROL.Open","ROL.High","ROL.Low","ROL.Close","ROL.Volume","ROL.Adjusted"
"2013-11-11",8.014815,8.118519,7.985185,8.091852,1185300,7.314444
"2013-11-12",8.082963,8.088889,8,8.071111,342225,7.295695
"2013-11-13",8.032593,8.118519,8.017778,8.106667,314550,7.327834
"2013-11-14",8.085926,8.171852,8.085926,8.16,231863,7.376044
"2013-11-15",8.157037,8.266667,8.121481,8.24,393188,7.448359
"2013-11-18",8.222222,8.34963,8.222222,8.260741,404663,7.467107
"2013-11-19",8.237037,8.299259,8.127407,8.251852,3079688,7.459071
"2013-11-20",8.24,8.308148,8.222222,8.251852,389138,7.459071
"2013-11-21",8.257778,8.346667,8.234074,8.334815,372600,7.534064
"2013-11-22",8.343704,8.405926,8.331852,8.382222,782663,7.576917
"2013-11-25",8.379259,8.438519,8.334815,8.346667,492413,7.544777
"2013-11-26",8.361481,8.420741,8.340741,8.373333,335475,7.568883
"2013-11-27",8.37037,8.382222,8.355556,8.37037,498825,7.566204
"2013-11-29",8.37037,8.4,8.314074,8.334815,167400,7.534064
"2013-12-02",8.331852,8.524444,8.281481,8.42963,454613,7.619772
"2013-12-03",8.42963,8.48,8.408889,8.444444,538988,7.633161
"2013-12-04",8.444444,8.521481,8.379259,8.45037,498150,7.638518
"2013-12-05",8.465185,8.551111,8.420741,8.515556,650025,7.697442
"2013-12-06",8.562963,8.604444,8.497778,8.536296,698288,7.716189
"2013-12-09",8.527407,8.622222,8.48,8.619259,575100,7.791181
"2013-12-10",8.592593,8.628148,8.586667,8.592593,820800,7.767078
"2013-12-11",8.61037,8.625185,8.58963,8.595556,1193738,7.769755
"2013-12-12",8.592593,8.651852,8.577778,8.631111,630788,7.801894
"2013-12-13",8.675556,8.687407,8.580741,8.616296,341213,7.788503
"2013-12-16",8.619259,8.74963,8.604444,8.728889,767138,7.890279
"2013-12-17",8.714074,8.717037,8.619259,8.699259,774563,7.863495
"2013-12-18",8.699259,8.764444,8.601481,8.764444,615938,7.922417
"2013-12-19",8.767407,8.776296,8.619259,8.654815,1482638,7.823323
"2013-12-20",8.645926,8.805926,8.586667,8.776296,1098225,7.933129
"2013-12-23",8.805926,8.891852,8.764444,8.882963,541350,8.02955
"2013-12-24",8.856296,8.942222,8.814815,8.942222,206213,8.083117
"2013-12-26",8.93037,9.060741,8.882963,8.96,441450,8.099187
"2013-12-27",8.992593,9.04,8.957037,8.965926,353700,8.104543
"2013-12-30",8.971852,9.042963,8.924444,9.004444,444150,8.139359
"2013-12-31",9.031111,9.075556,8.965926,8.974815,268650,8.112577
"2014-01-02",8.942222,8.992593,8.717037,8.74963,652050,7.909027
"2014-01-03",8.841481,8.877037,8.776296,8.844444,510638,7.994732
"2014-01-06",8.906667,8.93037,8.794074,8.826667,754313,7.978662
"2014-01-07",8.835556,8.894815,8.785185,8.82963,369225,7.98134
"2014-01-08",8.820741,8.888889,8.740741,8.835556,840038,7.986699
"2014-01-09",8.859259,8.859259,8.734815,8.791111,750938,7.946521
"2014-01-10",8.811852,8.853333,8.728889,8.77037,613913,7.927772
"2014-01-13",8.755556,8.755556,8.607407,8.642963,393525,7.812607
"2014-01-14",8.678519,8.743704,8.607407,8.722963,657788,7.884922
"2014-01-15",8.708148,8.752593,8.696296,8.714074,400613,7.876887
"2014-01-16",8.72,8.743704,8.663704,8.696296,464738,7.860815
"2014-01-17",8.657778,8.72,8.619259,8.666667,403650,7.834033
"2014-01-21",8.717037,8.746667,8.651852,8.705185,532913,7.868852
"2014-01-22",8.693333,8.714074,8.631111,8.696296,423563,7.860815
"2014-01-23",8.64,8.705185,8.601481,8.705185,474863,7.868852
"2014-01-24",8.642963,8.731852,8.577778,8.622222,604463,7.793858
"2014-01-27",8.69037,8.746667,8.601481,8.601481,684450,7.775111
"2014-01-28",8.61037,8.657778,8.488889,8.515556,2431688,7.697442
"2014-01-29",8.592593,8.660741,8.447407,8.598519,1714163,7.772436
"2014-01-30",8.69037,8.746667,8.607407,8.693333,949725,7.858138
"2014-01-31",8.571852,8.648889,8.515556,8.539259,940275,7.718866
"2014-02-03",8.521481,8.61037,8.041481,8.044444,2100263,7.271589
"2014-02-04",8.056296,8.278519,8.002963,8.195556,1691550,7.408185
"2014-02-05",8.171852,8.21037,8.10963,8.142222,360450,7.359976
"2014-02-06",8.148148,8.254815,8.091852,8.251852,703350,7.487683
"2014-02-07",8.302222,8.411852,8.29037,8.405926,749925,7.627489
"2014-02-10",8.379259,8.402963,8.343704,8.388148,791100,7.611355
"2014-02-11",8.376296,8.497778,8.364444,8.488889,431325,7.702767
"2014-02-12",8.491852,8.619259,8.491852,8.601481,627413,7.804932
"2014-02-13",8.539259,8.702222,8.539259,8.675556,353025,7.872149
"2014-02-14",8.69037,8.835556,8.69037,8.764444,769838,7.952806
"2014-02-18",8.797037,8.980741,8.77037,8.882963,1169100,8.060351
"2014-02-19",8.838519,8.96,8.820741,8.826667,418163,8.009264
"2014-02-20",8.853333,8.888889,8.740741,8.764444,514350,7.952806
"2014-02-21",8.77037,8.847407,8.752593,8.77037,397575,7.958182
"2014-02-24",8.776296,8.853333,8.74963,8.752593,639900,7.942052
"2014-02-25",8.743704,8.782222,8.675556,8.708148,498488,7.901721
"2014-02-26",8.743704,8.877037,8.714074,8.767407,532913,7.955494
"2014-02-27",8.737778,8.838519,8.714074,8.734815,426938,7.925921
"2014-02-28",8.746667,8.885926,8.725926,8.847407,580500,8.028088
"2014-03-03",8.773333,8.862222,8.717037,8.782222,637538,7.968939
"2014-03-04",8.868148,8.965926,8.844444,8.957037,550463,8.127563
"2014-03-05",8.933333,8.962963,8.88,8.900741,436725,8.07648
"2014-03-06",8.951111,8.951111,8.817778,8.891852,331763,8.068414
"2014-03-07",8.90963,9.034074,8.877037,8.992593,450563,8.159825
"2014-03-10",9.013333,9.022222,8.88,8.918519,459000,8.09261
"2014-03-11",8.906667,8.918519,8.788148,8.823704,447525,8.006578
"2014-03-12",8.77037,8.844444,8.737778,8.779259,535275,7.966247
"2014-03-13",8.808889,8.874074,8.657778,8.717037,458325,7.90979
"2014-03-14",8.693333,8.877037,8.693333,8.847407,472163,8.028088
"2014-03-17",8.847407,9.007407,8.847407,8.933333,478913,8.106055
"2014-03-18",8.933333,9.022222,8.918519,9.013333,468788,8.178645
"2014-03-19",8.983704,9.057778,8.891852,8.918519,648675,8.09261
"2014-03-20",8.918519,8.962963,8.882963,8.936296,279450,8.108745
"2014-03-21",9.016296,9.072593,8.945185,9.060741,1665900,8.221663
"2014-03-24",9.078519,9.096296,8.88,8.90963,423563,8.084542
"2014-03-25",8.933333,8.971852,8.859259,8.924444,502200,8.097989
"2014-03-26",8.998519,9.037037,8.856296,8.88,419850,8.057659
"2014-03-27",8.900741,8.903704,8.8,8.856296,379013,8.036151
"2014-03-28",8.894815,9.001481,8.835556,8.853333,297000,8.033462
"2014-03-31",8.874074,9.007407,8.838519,8.96,438075,8.130251
