"dates","RL.Open","RL.High","RL.Low","RL.Close","RL.Volume","RL.Adjusted"
"2011-02-17",124.93,126.5,124.010002,124.919998,730300,107.105247
"2011-02-18",125.050003,128.020004,125.029999,127.980003,918000,109.728859
"2011-02-22",126.489998,127.830002,123.629997,123.779999,985500,106.1278
"2011-02-23",123.940002,123.980003,120.769997,122.099998,1418100,104.687401
"2011-02-24",121.93,124.440002,121.540001,123.790001,1112700,106.136406
"2011-02-25",124.419998,126.080002,123.970001,125.290001,819800,107.422455
"2011-02-28",125.43,127.160004,125.279999,126.709999,811200,108.639984
"2011-03-01",126.910004,127.480003,123.309998,124.099998,1041300,106.402184
"2011-03-02",124.110001,125.129997,123.010002,124.290001,743300,106.565079
"2011-03-03",125.830002,127.040001,125.410004,126.459999,624800,108.425629
"2011-03-04",126.449997,126.599998,124.209999,125.290001,637500,107.422455
"2011-03-07",126.059998,126.440002,123.389999,124.620003,469800,106.84803
"2011-03-08",124.870003,126.940002,123.809998,126.599998,747000,108.54567
"2011-03-09",126.019997,127.5,125.099998,126.779999,546500,108.699997
"2011-03-10",125.150002,127.209999,124.260002,125.510002,709000,107.611092
"2011-03-11",123.959999,127.970001,123.550003,127.230003,776200,109.085831
"2011-03-14",126.410004,126.599998,122.660004,123.720001,1021600,106.07634
"2011-03-15",119.849998,123.879997,119.089996,123.190002,1673600,105.621964
"2011-03-16",122.93,123.550003,120.139999,121.18,1276800,103.898605
"2011-03-17",123,123.129997,121.290001,121.690002,1099200,104.335861
"2011-03-18",122.209999,122.209999,116.650002,117.290001,2343200,100.563339
"2011-03-21",119.43,120.669998,117.360001,119.75,1013200,102.672531
"2011-03-22",119.93,120.610001,118.269997,118.489998,743300,101.592224
"2011-03-23",118.059998,119.910004,117.129997,119.480003,431200,102.44104
"2011-03-24",120.660004,120.660004,118.650002,119.639999,535400,102.578217
"2011-03-25",120.089996,122.129997,119.769997,120.510002,683800,103.32415
"2011-03-28",120.690002,122.279999,119.339996,119.43,678200,102.398186
"2011-03-29",119.610001,123.57,119.43,123.519997,586400,105.904884
"2011-03-30",123.75,125.279999,123.330002,124.849998,589100,107.218834
"2011-03-31",124.360001,124.629997,122.980003,123.650002,502300,106.188309
"2011-04-01",124.519997,127.889999,124.220001,126.629997,838300,108.747475
