"dates","RTX.Open","RTX.High","RTX.Low","RTX.Close","RTX.Volume","RTX.Adjusted"
"2013-11-11",68.307114,68.344872,67.828819,68.017624,3829013,56.859234
"2013-11-12",67.898048,67.948395,67.43235,67.621147,4773992,56.527817
"2013-11-13",67.054749,67.677788,66.721207,67.627441,4445386,56.845215
"2013-11-14",68.281937,68.577721,67.640022,68.401512,4069429,57.495853
"2013-11-15",68.483322,68.596603,68.086845,68.338577,4726322,57.44297
"2013-11-18",68.344872,69.169289,68.344872,68.678413,3837753,57.728622
"2013-11-19",68.546257,68.904968,68.470734,68.659531,2983665,57.712746
"2013-11-20",68.7854,69.01825,68.344872,68.489616,3559201,57.569931
"2013-11-21",68.672119,69.131531,68.590309,69.081184,3120955,58.067173
"2013-11-22",69.062302,69.433609,68.741348,69.351791,3920540,58.294643
"2013-11-25",69.823792,69.848961,69.28257,69.421021,3424454,58.352829
"2013-11-26",69.483955,70.169914,69.383263,69.817497,4490355,58.686089
"2013-11-27",70,70.421646,69.905602,70.176208,2813325,58.987621
"2013-11-29",70.044052,70.239143,69.666458,69.767151,2067289,58.643776
"2013-12-02",69.962242,70.106987,69.295151,69.421021,3323076,58.352829
"2013-12-03",69.175583,69.559471,68.760223,69.030838,5234484,58.024853
"2013-12-04",68.81057,68.949028,67.960983,68.558846,3989979,57.628094
"2013-12-05",68.023911,68.961609,68.023911,68.628067,3216136,57.686295
"2013-12-06",69.376968,69.981117,69.269981,69.930771,3903379,58.781288
"2013-12-09",69.886719,70.201385,69.672752,69.968536,4453967,58.813061
"2013-12-10",69.647575,70.239143,69.28257,69.842667,4464454,58.707241
"2013-12-11",69.905602,69.981117,68.376335,68.382629,5491425,57.479992
"2013-12-12",68.281937,68.552551,67.564507,68.023911,5803187,57.178471
"2013-12-13",66.809311,67.898048,66.645691,67.558212,7181644,56.787025
"2013-12-16",67.847702,68.672119,67.652611,68.300819,5206676,57.411221
"2013-12-17",68.590309,68.678413,67.577095,67.728134,5484751,56.929848
"2013-12-18",67.967278,69.131531,67.30648,69.106354,5904406,58.088322
"2013-12-19",68.99308,69.219635,68.716171,68.911263,4651639,57.924351
"2013-12-20",68.735054,69.937065,68.640656,69.641281,7338002,58.537975
"2013-12-23",70.119576,70.151039,69.584641,69.741974,3126358,58.62262
