"dates","MCD.Open","MCD.High","MCD.Low","MCD.Close","MCD.Volume","MCD.Adjusted"
"2012-02-24",100.760002,100.760002,100.050003,100.32,3661800,76.814354
"2012-02-27",100.029999,100.75,99.5,100.360001,4044500,76.844986
"2012-02-28",99.769997,100.099998,99.5,99.779999,4365800,76.937515
"2012-02-29",99.860001,99.879997,99.260002,99.279999,5461000,76.551987
"2012-03-01",99.279999,99.68,99.139999,99.25,4086100,76.528847
"2012-03-02",99.269997,99.639999,98.959999,99.5,4311700,76.721626
"2012-03-05",99.419998,100.349998,98.839996,99.940002,6313200,77.060875
"2012-03-06",99.18,100.199997,99.099998,99.889999,6713900,77.022339
"2012-03-07",100,100.440002,99.540001,100.18,5873500,77.245949
"2012-03-08",97,97.650002,96.459999,96.959999,16841200,74.7631
"2012-03-09",97.449997,97.599998,96.529999,96.839996,7808700,74.670555
"2012-03-12",97.050003,97.480003,96.580002,96.660004,4503100,74.531792
"2012-03-13",96.989998,97.290001,96.370003,96.779999,6350900,74.624298
"2012-03-14",96.690002,97.440002,96.68,97.290001,7209100,75.017548
"2012-03-15",97.150002,98.190002,97.150002,98.040001,5768200,75.595848
"2012-03-16",98.419998,98.550003,97.57,97.660004,7337000,75.302879
"2012-03-19",97.360001,98.099998,97.32,97.730003,4634500,75.356827
"2012-03-20",97.459999,97.849998,97.07,97.650002,4757100,75.295128
"2012-03-21",97.529999,97.82,96.720001,96.720001,6038600,74.578049
"2012-03-22",96.129997,96.480003,95.769997,95.800003,7721200,73.868645
"2012-03-23",95.910004,95.940002,95.129997,95.550003,6041500,73.67588
"2012-03-26",96.160004,97.029999,96.099998,96.970001,5644100,74.770813
"2012-03-27",97.290001,97.830002,97.07,97.339996,4877500,75.056107
"2012-03-28",97.519997,97.839996,97.059998,97.080002,5055400,74.855629
"2012-03-29",96.949997,97.699997,96.93,97.639999,4103600,75.28743
"2012-03-30",97.879997,98.25,97.760002,98.099998,4429500,75.642113
"2012-04-02",97.82,98.809998,97.68,98.360001,4603000,75.84259
"2012-04-03",98.309998,99.410004,98.300003,99.400002,5422200,76.644516
"2012-04-04",98.25,98.57,97.150002,97.480003,7768300,75.16407
"2012-04-05",97.129997,98.660004,97.07,98.620003,5469400,76.043083
"2012-04-09",97.739998,99.5,97.639999,98.879997,6712700,76.243546
"2012-04-10",98.779999,98.779999,97.309998,97.669998,7581600,75.310539
"2012-04-11",98.290001,98.730003,97.5,98.559998,6366600,75.996803
"2012-04-12",98.720001,98.75,97.349998,97.639999,5763900,75.28743
"2012-04-13",97.519997,97.800003,96.959999,96.970001,5223700,74.770813
"2012-04-16",97.089996,97.900002,96.32,96.580002,6236300,74.470078
"2012-04-17",96.919998,97.580002,96.910004,97.110001,7592700,74.878754
"2012-04-18",97.019997,97.980003,97.019997,97.339996,5388700,75.056107
"2012-04-19",97.160004,97.239998,94.129997,95.279999,13939100,73.467697
"2012-04-20",96.910004,97.769997,95.650002,95.940002,11021200,73.976608
"2012-04-23",95.779999,95.93,94.849998,95.190002,5217500,73.398315
"2012-04-24",95.010002,95.449997,94.150002,94.589996,6223800,72.935669
"2012-04-25",95.150002,95.239998,94.779999,95.220001,5699600,73.421425
"2012-04-26",94.940002,96.07,94.940002,95.830002,4741200,73.891762
"2012-04-27",96.230003,97.529999,95.800003,97.379997,7373300,75.086945
"2012-04-30",97.610001,97.75,97.089996,97.449997,4507200,75.14093
"2012-05-01",97.230003,98.010002,97.129997,97.199997,5297900,74.948151
"2012-05-02",96.900002,97.709999,96.900002,97.510002,4348300,75.18718
"2012-05-03",97.470001,97.580002,96.790001,97.040001,3935200,74.824768
"2012-05-04",96.849998,96.849998,95.75,95.870003,4688500,73.922623
"2012-05-07",95.730003,96.029999,95.199997,95.510002,5089700,73.645042
"2012-05-08",93.900002,94.870003,92.970001,93.550003,12379500,72.133743
"2012-05-09",92.989998,93.089996,91.559998,91.93,8975700,70.884598
"2012-05-10",92.699997,92.730003,91.730003,91.870003,7129500,70.838348
"2012-05-11",91.690002,92.599998,91.669998,91.900002,5366500,70.861465
"2012-05-14",91.540001,91.690002,90.660004,90.879997,6050000,70.074989
