"dates","COP.Open","COP.High","COP.Low","COP.Close","COP.Volume","COP.Adjusted"
"2014-01-28",65.949997,66.279999,65.730003,66.209999,4338000,52.9977
"2014-01-29",66.169998,66.209999,65.339996,65.82,5671600,52.685528
"2014-01-30",66.599998,66.650002,65.32,65.75,5527800,52.62949
"2014-01-31",65.050003,65.480003,64.349998,64.949997,10717600,51.989132
"2014-02-03",65.099998,65.389999,63.77,63.860001,7768000,51.116646
"2014-02-04",64.019997,64.080002,63.450001,63.709999,6543700,50.996578
"2014-02-05",63.68,63.810001,62.740002,63.459999,6528300,50.796467
"2014-02-06",63.68,64.400002,63.459999,64.300003,5546800,51.468834
"2014-02-07",64.790001,65,64.160004,64.970001,5337100,52.00515
"2014-02-10",64.959999,64.959999,64.129997,64.580002,5854800,51.69297
"2014-02-11",64.650002,65.699997,64.599998,65.57,5754200,52.485416
"2014-02-12",66.629997,66.790001,65.089996,65.220001,6962800,52.205254
"2014-02-13",64.440002,65.110001,64.230003,64.709999,5844700,52.350876
"2014-02-14",64.660004,65.650002,64.5,65.529999,4596800,53.014263
"2014-02-18",65.57,65.730003,65.199997,65.370003,4877100,52.884834
"2014-02-19",65.260002,66,64.989998,65,6144900,52.585487
"2014-02-20",64.980003,65.199997,64.870003,64.919998,6111800,52.52076
"2014-02-21",64.989998,65.029999,64.629997,64.68,6576200,52.326599
"2014-02-24",65,66.790001,64.980003,66.419998,8054500,53.734276
"2014-02-25",66.300003,66.849998,66.139999,66.519997,5871500,53.815178
"2014-02-26",66.629997,66.800003,65.830002,66.129997,5159400,53.499672
"2014-02-27",66,66.25,65.330002,66.25,4988900,53.596745
"2014-02-28",66.290001,66.879997,65.620003,66.5,6263300,53.799
"2014-03-03",66.360001,67.199997,65.980003,66.309998,6218300,53.645279
"2014-03-04",66.800003,66.889999,66.349998,66.5,4906600,53.799
"2014-03-05",66.580002,67,66.25,66.300003,4671500,53.637199
"2014-03-06",66.599998,66.669998,66.300003,66.389999,3996600,53.710007
"2014-03-07",66.639999,67,66.309998,66.510002,4938700,53.807087
"2014-03-10",66.400002,66.940002,66.099998,66.889999,3711400,54.114532
"2014-03-11",67,67.389999,66.279999,66.529999,4415600,53.823261
"2014-03-12",66.169998,66.75,66.010002,66.540001,4135300,53.831364
"2014-03-13",66.779999,66.839996,66.089996,66.32,4531900,53.653378
"2014-03-14",66.089996,66.709999,66.040001,66.599998,4648300,53.879902
