"dates","ISRG.Open","ISRG.High","ISRG.Low","ISRG.Close","ISRG.Volume","ISRG.Adjusted"
"2011-03-09",110.26667,111.08667,108.800003,110.07,1030800,110.07
"2011-03-10",109.09333,110.690002,107.853333,108.303329,1393500,108.303329
"2011-03-11",107.846664,109.136665,107.003334,108.476669,788400,108.476669
"2011-03-14",107.48333,109.65667,107.253334,109.263336,1371000,109.263336
"2011-03-15",107.839996,109.166664,105.853333,108.73333,1696500,108.73333
"2011-03-16",108.046669,108.739998,105.003334,106.41333,1670400,106.41333
"2011-03-17",107.806664,108.666664,106.51667,107.013336,858300,107.013336
"2011-03-18",107.546669,108.309998,105.286667,105.633331,1436100,105.633331
"2011-03-21",106.956665,108.666664,106.603333,108.366669,1112100,108.366669
"2011-03-22",108.666664,109.519997,107.436668,107.970001,873300,107.970001
"2011-03-23",107.616669,108.333336,105.669998,106.976669,909300,106.976669
"2011-03-24",107.730003,110.183334,107.183334,110.166664,1037100,110.166664
"2011-03-25",110.653336,111.519997,109.473335,109.940002,827400,109.940002
"2011-03-28",110.466667,111.239998,110.076668,110.126663,522300,110.126663
"2011-03-29",110.083336,112.050003,109.116669,111.763336,799200,111.763336
"2011-03-30",112.529999,112.933334,111.633331,112.736664,644100,112.736664
"2011-03-31",112.716667,113.186668,111.153336,111.153336,774900,111.153336
"2011-04-01",112.006668,116.989998,112.006668,114.946671,1697100,114.946671
"2011-04-04",115.386665,117.160004,115.006668,115.583336,831900,115.583336
"2011-04-05",115.15667,119.650002,115.15667,117.246666,2637600,117.246666
"2011-04-06",118.576668,123.330002,118.573334,121.743332,3459300,121.743332
"2011-04-07",122.40667,125.326668,121.463333,124.026665,2531400,124.026665
"2011-04-08",124.93,125.946671,121.353333,122.556664,1537800,122.556664
"2011-04-11",122.510002,124.199997,122.220001,123.720001,1130400,123.720001
"2011-04-12",123.833336,124.013336,121.393333,122.129997,1623600,122.129997
"2011-04-13",122.933334,123.580002,119,120.809998,1911600,120.809998
"2011-04-14",120.15667,121.636665,119.083336,121.106667,1282200,121.106667
"2011-04-15",121.330002,121.900002,120.106667,120.120003,1560600,120.120003
"2011-04-18",118.256668,119.333336,116.683334,118.860001,1456800,118.860001
"2011-04-19",119.116669,122.199997,118.349998,121.563332,2351100,121.563332
"2011-04-20",118.746666,121.333336,118.443336,120.98333,3028500,120.98333
"2011-04-21",121.010002,121.139999,118.833336,119.063332,1707600,119.063332
"2011-04-25",118.126663,118.856667,115.839996,117.346664,1608300,117.346664
"2011-04-26",117.596664,118.833336,116.713333,117.606667,1422300,117.606667
"2011-04-27",117.496666,118.786667,117,118.496666,828000,118.496666
"2011-04-28",118,119.089996,117.306664,118.66333,717000,118.66333
"2011-04-29",118.556664,118.756668,116.566666,116.566666,1653000,116.566666
"2011-05-02",117.23333,118.800003,117.059998,118.059998,921600,118.059998
"2011-05-03",117.730003,118.800003,116.900002,117.33667,831000,117.33667
"2011-05-04",116.793335,117.453331,114.713333,115.133331,982800,115.133331
"2011-05-05",114.33667,117.116669,113.809998,115.646667,782700,115.646667
"2011-05-06",116.803329,118.433334,116.003334,116.126663,828000,116.126663
"2011-05-09",116.293335,118.823334,115.34333,118.633331,723000,118.633331
"2011-05-10",118.666664,121.099998,118.443336,120.230003,1018500,120.230003
"2011-05-11",120.153336,120.996666,117.403336,118.230003,633600,118.230003
"2011-05-12",117.793335,120.666664,116.986664,120.346664,758100,120.346664
"2011-05-13",119.963333,120.993332,118.333336,118.666664,660000,118.666664
"2011-05-16",118.18,119.269997,116.230003,116.373337,826800,116.373337
"2011-05-17",116.143333,116.639999,114.146667,116.639999,855900,116.639999
"2011-05-18",116.356667,117.956665,115.333336,117.59333,715200,117.59333
"2011-05-19",118.160004,118.296669,116.083336,117.616669,534900,117.616669
"2011-05-20",117.333336,117.333336,116.076668,116.08667,783900,116.08667
"2011-05-23",113.599998,114.860001,112.583336,114.376663,758100,114.376663
"2011-05-24",114.389999,115,113.726669,113.946671,514500,113.946671
"2011-05-25",114.186668,115.693336,113.923332,115,562800,115
"2011-05-26",114.400002,115.476669,113.353333,115.07,501600,115.07
"2011-05-27",114.523331,115.690002,114.309998,114.753334,412200,114.753334
"2011-05-31",115.800003,116.333336,114.033333,116.333336,739500,116.333336
"2011-06-01",116.15667,117.026665,114.853333,115.029999,720000,115.029999
"2011-06-02",114.800003,115.940002,114.063332,114.893333,541800,114.893333
"2011-06-03",113.833336,115.253334,113.556664,114.080002,705000,114.080002
"2011-06-06",113.553329,114.443336,112.959999,113.206665,486300,113.206665
"2011-06-07",113.559998,115.333336,112.84333,114.610001,630000,114.610001
"2011-06-08",114.166664,115.173332,113.133331,114.59333,757500,114.59333
"2011-06-09",114.213333,115.220001,113.666664,113.993332,693300,113.993332
"2011-06-10",113.796669,114.293335,112.019997,112.743332,858600,112.743332
"2011-06-13",112.419998,114.709999,112.419998,113.65667,633300,113.65667
"2011-06-14",114.326668,115.93,114.139999,115.51667,649200,115.51667
"2011-06-15",114.196671,115.279999,113.333336,113.543335,741900,113.543335
"2011-06-16",113.183334,114.683334,112.806664,113.519997,684000,113.519997
"2011-06-17",115.5,116.756668,114.550003,114.82,1605900,114.82
"2011-06-20",115.833336,117.82,115.220001,117.236664,881700,117.236664
"2011-06-21",117.263336,117.996666,116.696671,117.300003,762000,117.300003
"2011-06-22",117.576668,120,117.083336,117.506668,975300,117.506668
"2011-06-23",115.933334,118.133331,115.006668,117.823334,904800,117.823334
"2011-06-24",117.339996,117.503334,115.426666,115.800003,775500,115.800003
"2011-06-27",115.693336,119.493332,114.866669,118.876663,783900,118.876663
"2011-06-28",119,122.309998,118.790001,121.916664,1000800,121.916664
"2011-06-29",122.353333,123.566666,122.246666,122.800003,867000,122.800003
"2011-06-30",123.040001,125.389999,122.91333,124.036667,926100,124.036667
"2011-07-01",124.416664,126.466667,123.813332,126.216667,690000,126.216667
