"dates","IFF.Open","IFF.High","IFF.Low","IFF.Close","IFF.Volume","IFF.Adjusted"
"2012-07-26",54.709999,54.970001,53.75,54.080002,411300,45.197277
"2012-07-27",54.5,55.549999,54.360001,55.43,331000,46.325523
"2012-07-30",55.419998,55.990002,55.290001,55.869999,445700,46.69326
"2012-07-31",55.709999,56.029999,55.450001,55.740002,486400,46.584606
"2012-08-01",55.970001,56.150002,55.32,55.540001,465700,46.417458
"2012-08-02",54.41,55.630001,53.799999,55.080002,459200,46.03302
"2012-08-03",55.75,55.779999,54.830002,55.48,1000600,46.367317
"2012-08-06",55.650002,56.23,55.59,55.830002,641700,46.65984
"2012-08-07",56.16,56.529999,55.59,56.52,752900,47.236492
"2012-08-08",57.049999,63.23,57.049999,62.009998,1928600,51.824753
"2012-08-09",61.549999,62.049999,60.68,61.060001,939700,51.030785
"2012-08-10",60.73,61.5,60.41,61.43,714200,51.340015
"2012-08-13",61.139999,61.639999,60.91,61.34,279700,51.264801
"2012-08-14",61.68,61.68,60.959999,61.110001,307100,51.072586
"2012-08-15",60.91,61.540001,60.700001,61.43,461500,51.340015
"2012-08-16",61.369999,62.459999,61.369999,62.259998,574500,52.033684
"2012-08-17",62.380001,62.490002,61.73,61.900002,423800,51.732815
"2012-08-20",61.889999,62.209999,61.610001,62.110001,337900,51.908318
"2012-08-21",62.139999,62.41,61.57,61.650002,360600,51.523888
"2012-08-22",61.509998,61.790001,61.169998,61.57,531900,51.457024
"2012-08-23",61.419998,61.75,60.939999,60.990002,530700,50.972286
"2012-08-24",61.049999,61.220001,60.799999,61.040001,394000,51.014061
"2012-08-27",61.25,61.470001,60.869999,60.93,229800,50.92215
"2012-08-28",60.799999,61.09,60.720001,60.830002,253000,50.838589
"2012-08-29",60.889999,61.009998,60.720001,60.799999,272600,50.813503
"2012-08-30",60.509998,60.849998,60.18,60.279999,275700,50.37891
"2012-08-31",60.75,61.02,60.360001,60.52,330400,50.579487
"2012-09-04",60.549999,60.610001,59.700001,60.02,488800,50.161625
"2012-09-05",60.099998,60.41,59.68,60.130001,800600,50.253548
"2012-09-06",60.630001,61.5,60.5,61.119999,420700,51.080936
"2012-09-07",61.299999,61.560001,61.119999,61.290001,405200,51.223011
"2012-09-10",61.23,61.68,60.610001,61.130001,226200,51.089291
"2012-09-11",61.18,61.32,60.790001,60.970001,308500,50.955578
