"dates","BXP.Open","BXP.High","BXP.Low","BXP.Close","BXP.Volume","BXP.Adjusted"
"2011-04-13",94.730003,95.099998,93.75,94.059998,729200,67.740181
"2011-04-14",93.379997,96.230003,93.290001,95.769997,1119700,68.971695
"2011-04-15",95.879997,97.160004,95.879997,97.139999,860100,69.958328
"2011-04-18",96.07,96.540001,95.610001,96.309998,877500,69.360611
"2011-04-19",96.330002,97.160004,95.82,97.160004,918100,69.97274
"2011-04-20",98.370003,98.370003,97.080002,98.120003,836400,70.664116
"2011-04-21",98.389999,98.949997,97.510002,98.910004,777100,71.233055
"2011-04-25",99,100.449997,98.629997,100.220001,844500,72.176483
"2011-04-26",100.660004,101.699997,99.959999,100.949997,996700,72.70224
"2011-04-27",101.18,102.269997,100.720001,101.889999,850400,73.379181
"2011-04-28",101.809998,104.190002,101.620003,103.779999,1482200,74.740356
"2011-04-29",103.830002,104.580002,102.68,104.529999,1500000,75.280472
"2011-05-02",105.190002,105.330002,103.470001,104.099998,1176800,74.970787
"2011-05-03",104.089996,105.379997,102.360001,103.790001,1109000,74.747543
"2011-05-04",103.769997,105.089996,103.050003,104.510002,1284700,75.266075
"2011-05-05",103.93,105.230003,103.660004,104.190002,1008100,75.035645
"2011-05-06",104.970001,105,102.879997,103.330002,1332000,74.416252
"2011-05-09",103.330002,104.25,102.959999,103.940002,663300,74.855568
"2011-05-10",104,105.739998,103.860001,105.709999,1120500,76.130302
"2011-05-11",105.449997,105.620003,104.389999,104.519997,987500,75.27327
"2011-05-12",104.120003,104.32,103.330002,104,1050900,74.898766
"2011-05-13",104.279999,104.279999,102.559998,103.010002,1008100,74.185822
"2011-05-16",102.849998,105.139999,102.730003,104.589996,1274400,75.323685
"2011-05-17",104.169998,104.730003,103.610001,104.410004,735000,75.194069
"2011-05-18",104.650002,105.860001,104.019997,105.709999,610100,76.130302
"2011-05-19",106.18,106.769997,105.709999,106.290001,818700,76.547997
"2011-05-20",106.209999,106.449997,104.230003,104.510002,1132200,75.266075
"2011-05-23",103.190002,103.959999,103.190002,103.519997,980200,74.553078
"2011-05-24",103.760002,104.220001,103.010002,103.269997,730300,74.373047
"2011-05-25",103.089996,104.739998,102.440002,104.099998,948400,74.970787
"2011-05-26",103.839996,105.970001,103.510002,105.779999,653600,76.18071
"2011-05-27",106.300003,106.5,105.150002,106.330002,549000,76.57679
"2011-05-31",107.010002,108.349998,106.620003,108.349998,1235600,78.031578
"2011-06-01",107.68,108.199997,104.870003,104.980003,1393000,75.604561
"2011-06-02",104.470001,106,104.470001,104.489998,1227900,75.251671
"2011-06-03",103.190002,105.239998,103.190002,104.470001,1229700,75.237251
"2011-06-06",104.370003,105.019997,102.949997,103.209999,1098100,74.329849
"2011-06-07",103.639999,105.669998,103.279999,104.489998,1126300,75.251671
"2011-06-08",104.449997,105.739998,104.18,104.43,1196700,75.208458
"2011-06-09",104.550003,104.730003,102.449997,103.160004,1083300,74.293831
"2011-06-10",103.599998,103.650002,100.5,101.190002,1571600,72.875076
"2011-06-13",101.379997,102.419998,100.830002,101.650002,1227000,73.206352
"2011-06-14",102.610001,103.470001,102.330002,103.150002,1294000,74.286613
"2011-06-15",102.339996,102.650002,100,101.040001,1197900,72.767067
"2011-06-16",101.339996,102.82,100.730003,102.739998,1614200,73.991364
"2011-06-17",103.589996,104.510002,102.75,103.93,1958100,74.848358
"2011-06-20",103.529999,105.959999,103.449997,105.68,901000,76.108688
"2011-06-21",106.720001,106.910004,105.699997,106.730003,1053900,76.864876
"2011-06-22",106.260002,107.949997,105.919998,106.760002,1028200,76.886475
"2011-06-23",105.470001,105.769997,102.709999,103.669998,1607300,74.66111
"2011-06-24",103.739998,104.559998,102.269997,102.610001,2529900,73.897743
"2011-06-27",102.82,104.019997,102.5,103.860001,1027700,74.797966
"2011-06-28",103.989998,104.440002,102.970001,104.300003,990400,75.47821
"2011-06-29",104.949997,105.809998,104.400002,105.709999,847500,76.498589
"2011-06-30",105.949997,106.5,105.169998,106.160004,939000,76.824226
"2011-07-01",106,108.199997,105.989998,107.830002,1025400,78.032745
"2011-07-05",107.830002,110.239998,107.120003,109.760002,1377600,79.42942
"2011-07-06",109.559998,110.910004,108.830002,110.620003,964700,80.051773
"2011-07-07",111.540001,111.940002,110.839996,111.480003,936900,80.674118
