"dates","V.Open","V.High","V.Low","V.Close","V.Volume","V.Adjusted"
"2011-01-26",17.975,18.035,17.737499,17.75,17839600,16.49361
"2011-01-27",17.764999,17.805,17.627501,17.65,19417200,16.40069
"2011-01-28",17.700001,17.7325,17.355,17.365,25048400,16.135862
"2011-01-31",17.475,17.59,17.3375,17.4625,24602800,16.22646
"2011-02-01",17.5525,17.932501,17.5525,17.674999,25448800,16.423914
"2011-02-02",17.7675,18.022499,17.6875,18.022499,27162400,16.746819
"2011-02-03",17.932501,18.120001,17.75,17.907499,33462800,16.639965
"2011-02-04",17.995001,18.25,17.9,18.225,28833600,16.93499
"2011-02-07",18.245001,18.535,18.23,18.4825,22240400,17.174257
"2011-02-08",18.4925,18.645,18.455,18.6425,15376000,17.322939
"2011-02-09",18.445,18.68,18.275,18.32,18674400,17.057573
"2011-02-10",18.225,18.7875,18.225,18.684999,24752400,17.397427
"2011-02-11",18.65,18.782499,18.57,18.7325,17280400,17.44165
"2011-02-14",18.747499,19.235001,18.625,18.934999,28970800,17.630201
"2011-02-15",18.9275,18.977501,18.772499,18.9025,15855200,17.599943
"2011-02-16",18.934999,19.0525,18.865,18.99,20147200,17.681408
"2011-02-17",18.9375,19.18,18.862499,19.035,23475600,17.723307
"2011-02-18",19.145,19.27,18.8925,18.9575,26009600,17.651148
"2011-02-22",18.584999,18.775,18.2775,18.434999,31588800,17.164656
"2011-02-23",18.41,18.637501,18.195,18.219999,28714800,16.964466
"2011-02-24",18.165001,18.559999,18.157499,18.477501,19613200,17.204229
"2011-02-25",18.545,18.85,18.545,18.67,24869600,17.383463
"2011-02-28",18.715,18.817499,18.2575,18.262501,24857200,17.004036
"2011-03-01",18.467501,18.719999,18.127501,18.174999,26993600,16.922571
"2011-03-02",18.145,18.555,18.127501,18.4925,21544000,17.218193
"2011-03-03",18.674999,18.975,18.639999,18.9575,20388000,17.651148
"2011-03-04",18.965,18.985001,18.504999,18.672501,19520000,17.38579
"2011-03-07",18.65,18.805,18.5,18.5375,18637200,17.260092
"2011-03-08",18.612499,18.727501,18.327499,18.5425,33497600,17.264746
"2011-03-09",18.6,18.665001,18.325001,18.4275,17861600,17.157667
"2011-03-10",18.33,18.33,17.807501,17.85,28557600,16.619965
"2011-03-11",17.844999,18.195,17.805,18.127501,17335600,16.878342
"2011-03-14",17.975,18.182501,17.907499,17.965,13971600,16.727041
"2011-03-15",17.725,17.950001,17.612499,17.799999,24180400,16.573418
"2011-03-16",17.855,17.987499,17.67,17.74,24056800,16.517546
"2011-03-17",17.897499,18,17.782499,17.8575,13790400,16.626949
"2011-03-18",18.030001,18.035,17.73,17.855,25268400,16.624617
"2011-03-21",17.959999,18.08,17.907499,17.99,14807600,16.750317
"2011-03-22",17.950001,17.99,17.799999,17.9,15354400,16.666521
"2011-03-23",17.8375,18.092501,17.8375,17.997499,17580000,16.757299
"2011-03-24",18.055,18.2125,17.885,18.165001,20558800,16.91326
"2011-03-25",18.120001,18.227501,18.012501,18.022499,29466800,16.780575
"2011-03-28",18.0975,18.275,17.99,18.1875,23174800,16.934208
"2011-03-29",18.09,18.1175,17.9375,18.049999,23558400,16.806183
"2011-03-30",18.485001,18.834999,18.4175,18.557501,59673200,17.278713
