"dates","GOOGL.Open","GOOGL.High","GOOGL.Low","GOOGL.Close","GOOGL.Volume","GOOGL.Adjusted"
"2011-12-23",316.316315,317.657654,315.595581,316.886902,2904493,316.886902
"2011-12-27",316.341339,322.567566,316.316315,320.445435,3209587,320.445435
"2011-12-28",321.696686,322.822815,319.369354,320.170166,4250146,320.170166
"2011-12-29",321.066071,321.821808,317.917908,321.521515,3147649,321.521515
"2011-12-30",321.331329,323.703705,321.331329,323.273285,3561035,323.273285
"2012-01-03",326.796783,334.409424,326.511505,333.038025,7345647,333.038025
"2012-01-04",332.847839,335.460449,330.640656,334.474487,5722272,334.474487
"2012-01-05",331.396393,332.317322,328.443451,329.834839,6559234,329.834839
"2012-01-06",329.904907,330.330322,325.220215,325.335327,5380414,325.335327
"2012-01-09",323.573578,323.823822,310.925934,311.541534,11633555,311.541534
"2012-01-10",315.190186,317.217224,308.763763,311.881897,8782409,311.881897
"2012-01-11",312.062073,315.01001,310.87088,313.293304,4795200,313.293304
"2012-01-12",315.925934,316.761749,313.563568,315.135132,3746650,315.135132
"2012-01-13",313.443451,313.788788,310.840851,312.8078,4609985,312.8078
"2012-01-17",316.306305,316.306305,313.153168,314.604614,3814781,314.604614
"2012-01-18",313.628632,317.317322,311.371368,316.771759,5517877,316.771759
"2012-01-19",320.815826,320.815826,316.046051,320.105103,12597989,320.105103
"2012-01-20",295.560547,295.795807,291.141144,293.2883,21131447,293.2883
"2012-01-23",293.293304,294.624634,291.871887,293.05304,6818974,293.05304
"2012-01-24",293.453461,294.134125,289.289276,290.755768,6105488,290.755768
"2012-01-25",289.044037,289.644653,283.47348,285.030029,9965425,285.030029
"2012-01-26",286.276276,287.527527,282.557556,284.33432,6445948,284.33432
"2012-01-27",285.67569,290.450439,284.949951,290.280273,7227765,290.280273
"2012-01-30",289.314301,290.290283,286.987,289.134125,4656339,289.134125
"2012-01-31",291.791779,292.292297,287.862854,290.345337,4280515,290.345337
"2012-02-01",292.762756,293.04303,289.859863,290.705719,4636759,290.705719
"2012-02-02",292.727722,293.498505,291.331329,292.847839,4824571,292.847839
"2012-02-03",295.625641,298.833832,294.319305,298.46347,6330663,298.46347
"2012-02-06",297.802795,305.720734,297.302307,304.849854,7351841,304.849854
"2012-02-07",303.878876,305,302.18219,303.68869,4180016,303.68869
"2012-02-08",304.624634,305.980988,302.672668,305.230225,3669127,305.230225
"2012-02-09",306.316315,307.557556,304.80481,306.036041,4524871,306.036041
"2012-02-10",304.244232,304.369354,302.302307,303.25827,4645750,303.25827
"2012-02-13",305.555542,307.227234,305.315308,306.406403,3628967,306.406403
"2012-02-14",306.07608,306.306305,302.682678,305.185181,3603793,305.185181
"2012-02-15",306.771759,306.771759,301.581573,303.083069,4846948,303.083069
"2012-02-16",301.7117,304.709717,299.164154,303.563568,5056738,303.563568
"2012-02-17",302.787781,304.11911,301.501495,302.62262,4893302,302.62262
"2012-02-21",302.237244,309.249237,301.74173,307.307312,4956638,307.307312
"2012-02-22",306.286285,308.6987,303.658661,304.274261,3930066,304.274261
"2012-02-23",303.803802,304.274261,300.475464,303.358368,4105890,303.358368
"2012-02-24",303.978973,306.131134,303.058044,305.255249,3867329,305.255249
"2012-02-27",303.598602,306.486481,302.832825,304.959961,3624172,304.959961
