"dates","XRX.Open","XRX.High","XRX.Low","XRX.Close","XRX.Volume","XRX.Adjusted"
"2011-03-16",26.693016,26.79842,25.770752,26.007904,6874187,16.779932
"2011-03-17",26.376812,26.982872,26.324112,26.719368,5164236,17.238962
"2011-03-18",27.140976,27.457182,26.613966,26.666668,7506396,17.204958
"2011-03-21",27.035572,27.088274,26.77207,27.009224,6279549,17.42597
"2011-03-22",26.956522,27.246378,26.561266,26.719368,3768245,17.238962
"2011-03-23",26.666668,26.982872,26.429514,26.956522,3545137,17.391968
"2011-03-24",27.114626,27.299078,26.903822,27.035572,4101788,17.44297
"2011-03-25",27.114626,28.194992,27.088274,28.115942,6946785,18.140009
"2011-03-28",28.036892,28.353096,27.694336,28.036892,7031338,18.089008
"2011-03-29",27.905138,28.326746,27.747036,28.06324,4066532,18.179476
"2011-03-30",28.274046,28.405796,28.036892,28.089592,2331155,18.196547
"2011-03-31",28.01054,28.326746,28.01054,28.06324,3672118,18.179476
"2011-04-01",28.221344,29.06456,28.115942,28.669302,8937794,18.572088
"2011-04-04",28.669302,28.906456,28.194992,28.5639,5054371,18.503807
"2011-04-05",28.458498,28.853756,28.353096,28.5639,4277382,18.503807
"2011-04-06",28.5639,28.959158,28.326746,28.59025,2928715,18.520876
"2011-04-07",28.5639,28.827404,28.221344,28.59025,2341249,18.520876
"2011-04-08",28.64295,28.64295,28.06324,28.194992,2680674,18.264828
"2011-04-11",28.221344,28.959158,28.142292,28.432148,4223911,18.418451
"2011-04-12",28.221344,28.537548,28.01054,28.353096,3032698,18.367252
"2011-04-13",28.59025,28.695652,28.221344,28.274046,3244687,18.316042
"2011-04-14",28.06324,28.326746,27.98419,28.326746,2154687,18.350182
"2011-04-15",28.5112,28.5112,28.089592,28.274046,3336488,18.316042
"2011-04-18",27.905138,28.168644,27.43083,28.115942,3746614,18.213617
"2011-04-19",28.142292,28.221344,27.562582,27.799736,4846367,18.008778
"2011-04-20",28.221344,28.722004,28.089592,28.59025,7082191,18.520876
"2011-04-21",28.59025,28.748352,26.903822,26.93017,13766097,17.445469
"2011-04-25",27.167324,27.167324,26.086958,26.429514,8695673,17.121143
"2011-04-26",26.403162,26.79842,26.35046,26.561266,9221850,17.206497
"2011-04-27",26.666668,27.009224,26.482212,26.640316,5560889,17.257704
"2011-04-28",26.693016,26.956522,26.534914,26.693016,5743543,17.291842
"2011-04-29",26.640316,26.824768,26.35046,26.587614,5210535,17.223566
"2011-05-02",26.79842,26.87747,26.429514,26.640316,5170346,17.257704
"2011-05-03",26.534914,27.140976,26.455864,26.85112,6723639,17.39426
"2011-05-04",26.85112,26.903822,26.403162,26.666668,3639139,17.274773
"2011-05-05",26.508564,27.114626,26.482212,26.745718,5255733,17.325975
"2011-05-06",27.009224,27.325428,26.719368,27.009224,4610128,17.496681
"2011-05-09",27.061924,27.35178,26.719368,26.824768,5559447,17.37719
"2011-05-10",27.272726,27.799736,26.824768,27.562582,7285831,17.855148
"2011-05-11",27.50988,27.615282,26.824768,27.061924,5574855,17.530819
"2011-05-12",27.035572,27.43083,26.87747,27.140976,7882253,17.582031
"2011-05-13",27.140976,27.35178,26.77207,26.903822,2580145,17.428402
"2011-05-16",26.85112,27.088274,26.666668,26.79842,3298538,17.360125
