"dates","LYB.Open","LYB.High","LYB.Low","LYB.Close","LYB.Volume","LYB.Adjusted"
"2012-12-11",54.560001,54.720001,53.630001,54.049999,4627000,39.341011
"2012-12-12",54.400002,54.630001,53.82,54.02,3597400,39.319183
"2012-12-13",54.02,54.25,52.810001,52.98,2586300,38.562206
"2012-12-14",53.009998,53.970001,52.790001,53.790001,4282000,39.151775
"2012-12-17",54.099998,54.77,53.810001,54.75,3251100,39.850533
"2012-12-18",54.810001,55.110001,54.549999,54.900002,3091400,39.959709
"2012-12-19",55.119999,55.25,54.77,54.849998,3289100,39.923309
"2012-12-20",54.830002,55.57,54.41,55.560001,3457600,40.440094
"2012-12-21",54.849998,55.220001,54.119999,55.139999,6381600,40.134396
"2012-12-24",55.5,56.060001,55.16,55.860001,1752800,40.658455
"2012-12-26",56.130001,57.049999,55.830002,56.490002,4722300,41.117004
"2012-12-27",56.57,56.639999,55.189999,56.389999,2458600,41.044228
"2012-12-28",55.91,56.389999,55.43,55.509998,2363700,40.403706
"2012-12-31",55.450001,57.16,55.290001,57.09,2679300,41.553722
"2013-01-02",58.41,59.59,57.939999,59.169998,4491100,43.067677
"2013-01-03",58.419998,58.880001,57.349998,57.639999,3561500,41.954044
"2013-01-04",58.009998,58.650002,57.889999,58.41,2963600,42.514511
"2013-01-07",58.009998,59.150002,57.77,59.139999,2329800,43.04586
"2013-01-08",58.93,59.799999,58.279999,59.740002,3778700,43.482571
"2013-01-09",60.099998,60.169998,59.43,59.599998,2962700,43.380669
"2013-01-10",60.189999,60.740002,59.549999,60.610001,3617100,44.115795
"2013-01-11",60.720001,60.959999,60.200001,60.91,1993300,44.33416
"2013-01-14",60.779999,61.419998,60.73,61.200001,3198300,44.54525
"2013-01-15",60.93,61.650002,60.880001,61.34,2181400,44.647144
"2013-01-16",61.02,61.07,60.259998,60.52,2614700,44.050297
"2013-01-17",61.16,62.220001,61.02,62.130001,3670600,45.222164
"2013-01-18",62.049999,62.59,61.529999,62.59,2672400,45.556969
