"dates","IP.Open","IP.High","IP.Low","IP.Close","IP.Volume","IP.Adjusted"
"2011-06-03",29.250492,29.625246,29.132151,29.467457,6418519,20.360538
"2011-06-06",29.349112,29.585798,29.142012,29.240631,6030055,20.203819
"2011-06-07",30.641026,30.641026,29.349112,29.368835,18631135,20.292404
"2011-06-08",29.230768,29.230768,27.988167,28.392506,8726281,19.617807
"2011-06-09",28.500986,29.19132,28.313608,28.826429,6546181,19.917624
"2011-06-10",28.639053,28.698225,27.820513,27.909269,6390228,19.283911
"2011-06-13",27.919132,28.155819,26.962524,27.189348,12674189,18.786488
"2011-06-14",27.593687,27.692308,27.120316,27.485207,9130969,18.990913
"2011-06-15",27.248522,27.297831,26.459566,26.686392,8249397,18.438967
"2011-06-16",26.646942,26.696253,25.887573,26.262327,7654787,18.145958
"2011-06-17",26.725838,26.794872,26.134123,26.203156,6321276,18.10507
"2011-06-20",26.143984,27.199211,26.143984,27.061144,13548561,18.697899
"2011-06-21",27.268246,28.471399,27.268246,28.382643,9275869,19.610994
"2011-06-22",28.254438,28.688362,28.106508,28.343195,8120011,19.583738
"2011-06-23",27.8501,28.62919,27.613413,28.550297,7181249,19.726837
"2011-06-24",28.62919,28.727812,28.214991,28.382643,7385469,19.610994
"2011-06-27",28.500986,29.151875,28.422091,28.757397,4807475,19.86993
"2011-06-28",28.885603,28.994083,28.510847,28.856016,4950449,19.938068
"2011-06-29",29.053253,29.112427,28.560158,28.757397,3644620,19.86993
"2011-06-30",28.87574,29.54635,28.767258,29.408283,4074455,20.31966
"2011-07-01",29.605522,30.285995,29.566074,30.187378,3786682,20.857977
"2011-07-05",30.138067,30.138067,29.280079,29.457594,6130238,20.353731
"2011-07-06",29.408283,29.861933,29.349112,29.635109,4026493,20.476383
"2011-07-07",29.970413,30.295858,29.763313,30.138067,3702317,20.823906
"2011-07-08",29.595661,29.921104,28.353058,29.842209,4038458,20.619471
"2011-07-11",29.358974,29.64497,29.289942,29.526627,4946495,20.40143
"2011-07-12",29.339251,29.674557,29.171598,29.220907,4703540,20.190191
"2011-07-13",29.418146,30.226824,29.368835,29.575937,4128704,20.435499
"2011-07-14",29.773176,29.970413,29.240631,29.260355,5215915,20.217447
"2011-07-15",29.398422,29.635109,29.230768,29.457594,4751604,20.353731
"2011-07-18",29.349112,29.349112,28.471399,28.895464,3672607,19.965324
"2011-07-19",29.08284,29.497042,28.954636,29.378698,3608623,20.299217
"2011-07-20",29.54635,29.950689,29.220907,29.684418,3957439,20.510454
"2011-07-21",29.842209,30.621302,29.684418,30.522682,4249167,21.089657
"2011-07-22",30.433926,30.45365,29.921104,30.433926,3561168,21.028328
"2011-07-25",29.980276,30.522682,29.89152,30.345167,2721779,20.967005
"2011-07-26",30.345167,30.512821,29.950689,30.226824,3113487,20.885225
"2011-07-27",29.950689,30.157791,29.319527,29.457594,5092815,20.353731
"2011-07-28",30.374754,31.134123,30.029587,30.10848,8635934,20.803459
"2011-07-29",29.714005,29.743589,29.043392,29.289942,10124080,20.237888
"2011-08-01",29.89152,29.89152,28.826429,29.151875,5200299,20.142492
"2011-08-02",28.767258,28.846153,28.116371,28.136095,8096486,19.440636
"2011-08-03",28.116371,28.353058,27.386587,27.988167,6706190,19.33843
