"dates","BF.B.Open","BF.B.High","BF.B.Low","BF.B.Close","BF.B.Volume","BF.B.Adjusted"
"2016-05-11",39.396,39.720001,39.091999,39.164001,774250,36.14817
"2016-05-12",39.248001,39.504002,39.004002,39.348,668750,36.317982
"2016-05-13",39.152,39.408001,38.880001,39.051998,1271500,36.044788
"2016-05-16",39.023998,39.316002,38.987999,39.200001,932000,36.1814
"2016-05-17",39.18,39.251999,38.591999,38.68,1389750,35.70142
"2016-05-18",38.639999,38.812,37.799999,38.124001,1625500,35.188248
"2016-05-19",38.040001,38.248001,37.888,38.124001,1625500,35.188248
"2016-05-20",38.299999,38.396,37.936001,38.203999,1147000,35.262081
"2016-05-23",38.279999,38.535999,38.040001,38.147999,886500,35.2104
"2016-05-24",38.200001,38.748001,38.200001,38.436001,1547750,35.476219
"2016-05-25",38.532001,38.852001,38.431999,38.619999,1277000,35.646049
"2016-05-26",38.576,38.924,37.900002,38.748001,1245500,35.764198
"2016-05-27",38.903999,39.431999,38.796001,39.344002,2614250,36.314304
"2016-05-31",39.231998,39.416,39.048,39.228001,2570750,36.207233
"2016-06-01",39.228001,39.391998,38.576,38.956001,1902000,35.956169
"2016-06-02",38.863998,39.200001,38.644001,38.82,1284250,35.956177
"2016-06-03",38.903999,39.084,38.812,38.911999,2680000,36.041397
"2016-06-06",39.112,39.388,38.891998,39.264,1336000,36.367416
"2016-06-07",39.264,39.464001,38.903999,38.939999,2140500,36.067322
"2016-06-08",39.203999,40.543999,38.804001,40.32,3701750,37.345516
"2016-06-09",40.316002,40.419998,39.495998,39.556,2092750,36.637882
"2016-06-10",39.375999,39.599998,39.127998,39.284,1784000,36.385944
"2016-06-13",39.108002,39.5,38.903999,38.908001,1833250,36.037689
"2016-06-14",38.964001,39.240002,38.624001,39.183998,1303000,36.29332
"2016-06-15",39.360001,39.515999,39.056,39.16,1204000,36.271091
"2016-06-16",38.799999,39.108002,38.700001,39.056,1713750,36.174767
"2016-06-17",39.071999,39.132,38.647999,38.667999,2065250,35.815388
"2016-06-20",39.279999,39.344002,38.995998,39.139999,1194500,36.252567
"2016-06-21",39.332001,39.332001,39.015999,39.119999,1347750,36.234043
"2016-06-22",39.240002,39.240002,38.655998,38.675999,873000,35.822811
"2016-06-23",39.071999,39.188,38.952,39.188,1515000,36.297024
"2016-06-24",38.324001,38.419998,37.535999,37.560001,3784250,34.789127
"2016-06-27",37.391998,37.740002,37.096001,37.608002,3052000,34.833584
"2016-06-28",37.779999,38.104,37.5,37.712002,1691000,34.929924
"2016-06-29",38.088001,38.459999,38.02,38.391998,1869750,35.55975
"2016-06-30",38.68,39.911999,38.556,39.903999,2378750,36.960205
"2016-07-01",40.051998,40.251999,39.540001,39.551998,1606500,36.634171
"2016-07-05",39.604,39.728001,39.231998,39.292,1603750,36.393353
"2016-07-06",38.796001,39.172001,38.535999,38.812,1443250,35.948757
"2016-07-07",38.984001,39.096001,38.812,38.835999,1409750,35.970997
"2016-07-08",39.139999,39.324001,38.792,39.307999,1184000,36.40818
"2016-07-11",39.299999,39.655998,39.167999,39.428001,1135000,36.519329
"2016-07-12",39.459999,39.608002,39.284,39.368,934250,36.463749
"2016-07-13",39.175999,39.296001,38.812,39.195999,1243500,36.304428
"2016-07-14",39.231998,39.452,39.172001,39.380001,1167500,36.474861
"2016-07-15",39.532001,39.548,39.268002,39.464001,1056250,36.552673
"2016-07-18",39.248001,39.560001,39.068001,39.264,791000,36.367416
"2016-07-19",39.080002,39.299999,39.043999,39.287998,663250,36.389648
"2016-07-20",39.256001,39.535999,39.240002,39.52,900500,36.604538
"2016-07-21",39.52,39.548,39.136002,39.391998,702500,36.485973
"2016-07-22",39.540001,39.972,39.532001,39.956001,1048250,37.008373
"2016-07-25",39.880001,39.995998,39.231998,39.467999,871500,36.556374
"2016-07-26",39.512001,39.556,39.056,39.268002,757500,36.37112
"2016-07-27",39.484001,39.556,38.332001,38.639999,860000,35.789448
"2016-07-28",38.639999,39.240002,38.639999,39.203999,826750,36.311848
"2016-07-29",39.096001,39.380001,38.852001,39.276001,1201250,36.37854
"2016-08-01",39.32,39.375999,38.939999,39.091999,983000,36.208111
"2016-08-02",38.98,39.076,38.647999,38.748001,797250,35.889488
"2016-08-03",38.748001,38.84,38.456001,38.748001,1009250,35.889488
"2016-08-04",38.731998,39,38.556,38.736,668000,35.878368
"2016-08-05",38.888,39.192001,38.787998,39,1094750,36.122898
"2016-08-08",39.108002,39.164001,38.627998,38.832001,844000,35.967293
"2016-08-09",38.683998,39.051998,38.563999,38.916,951250,36.045094
"2016-08-10",39.108002,39.396,39.051998,39.375999,1011750,36.471153
"2016-08-11",39.391998,39.551998,39.152,39.188,1106500,36.297024
"2016-08-12",39.132,39.411999,38.944,39.188,1094250,36.297024
"2016-08-15",39.155998,39.287998,38.875999,39.248001,1034750,36.3526
"2016-08-16",39.104,40.004002,39.104,39.804001,1413250,36.867588
"2016-08-17",39.896,39.948002,39.568001,39.891998,749000,36.949089
"2016-08-18",39.852001,39.976002,39.664001,39.860001,935500,36.919445
"2016-08-19",38.903999,40.472,38.903999,40.32,1693000,37.345516
"2016-08-22",40.456001,40.456001,40.048,40.264,1144375,37.29364
"2016-08-23",40.431999,40.431999,40.152,40.248001,960250,37.278835
"2016-08-24",40.304001,40.792,40.192001,40.624001,1181750,37.62709
"2016-08-25",40.655998,41.063999,40.591999,40.824001,1384375,37.812336
"2016-08-26",41.032001,41.240002,40.304001,40.408001,1296375,37.427021
"2016-08-29",40.360001,40.863998,40.360001,40.848,1627375,37.834564
"2016-08-30",40.695999,40.911999,40.032001,40.264,1654250,37.418228
"2016-08-31",40.231998,40.231998,38.152,38.84,3665000,36.094879
"2016-09-01",38.84,38.880001,38.032001,38.327999,2474250,35.619057
"2016-09-02",38.551998,38.903999,38.375999,38.495998,1259750,35.775188
