"dates","ADP.Open","ADP.High","ADP.Low","ADP.Close","ADP.Volume","ADP.Adjusted"
"2011-02-17",43.388939,43.819141,43.213345,43.757683,1587994,34.14106
"2011-02-18",43.713783,43.854259,43.476734,43.845478,3159358,34.209564
"2011-02-22",43.257244,43.678665,42.967514,43.116768,2692027,33.640991
"2011-02-23",43.08165,43.195786,42.712906,42.8885,2887251,33.462902
"2011-02-24",43.028973,43.230904,42.572433,43.011414,2305222,33.558804
"2011-02-25",43.178226,43.669888,43.011414,43.555752,1902813,33.983501
"2011-02-28",43.661106,43.924496,43.432835,43.898155,2990331,34.250668
"2011-03-01",43.915714,43.985954,43.195786,43.362598,3416089,33.832798
"2011-03-02",43.248463,43.898155,43.15189,43.748901,2903881,34.134209
"2011-03-03",44.012291,44.51273,43.942055,44.363476,3121543,34.61372
"2011-03-04",44.231781,44.381035,43.889378,44.187885,2600451,34.476723
"2011-03-07",44.31958,44.495171,43.705006,43.959614,3811891,34.298611
"2011-03-08",44.07375,44.776119,43.792801,44.670765,3576232,34.853474
"2011-03-09",44.249344,44.784901,43.959614,44.697102,3527141,35.122532
"2011-03-10",44.214222,44.556629,43.959614,44.240562,3588192,34.76379
"2011-03-11",44.02985,44.486393,43.784019,44.258121,2457393,34.777576
"2011-03-14",44.038631,44.117645,43.731342,43.985954,2751255,34.563725
"2011-03-15",43.072872,43.889378,43.020191,43.309921,2975524,34.03249
"2011-03-16",42.932396,43.195786,42.256367,42.458298,4288221,33.3633
"2011-03-17",43.134327,43.134327,42.651447,42.81826,2724260,33.646164
"2011-03-18",43.257244,43.529411,43.125549,43.292362,4708740,34.018703
"2011-03-21",43.485516,44.170326,43.476734,43.81036,3150930,34.425739
"2011-03-22",43.740124,44.126427,43.634766,43.950832,2669360,34.536118
"2011-03-23",44.012291,44.05619,43.397717,43.985954,2460468,34.563725
"2011-03-24",44.108868,44.310799,43.555752,44.214222,2212052,34.743084
"2011-03-25",44.337139,44.688324,44.205444,44.223003,1909306,34.749981
"2011-03-28",44.205444,44.521511,44.082527,44.205444,1897460,34.736183
"2011-03-29",44.126427,44.547848,43.898155,44.460052,1744948,34.936249
"2011-03-30",44.521511,44.951714,44.363476,44.907814,2825517,35.288105
"2011-03-31",44.899033,45.215099,44.855137,45.048286,2833035,35.398491
"2011-04-01",45.100967,45.601406,45.092186,45.373135,2650225,35.653763
"2011-04-04",45.557507,45.662861,45.285339,45.662861,2230276,35.88142
"2011-04-05",45.566284,45.829674,45.434593,45.469711,1796203,35.729633
"2011-04-06",45.768219,46.505707,45.522388,46.330112,3441489,36.405727
"2011-04-07",46.215981,46.523266,45.996487,46.470589,2741345,36.516129
"2011-04-08",46.532047,46.532047,45.812115,46.049168,1880147,36.184975
"2011-04-11",46.268658,46.382793,45.978928,46.022827,2200206,36.164272
"2011-04-12",45.873573,45.94381,45.539948,45.689201,1907825,35.902115
"2011-04-13",45.671642,45.847233,45.258999,45.70676,2902742,35.915905
"2011-04-14",45.53117,45.899914,45.109745,45.689201,2203168,35.902115
"2011-04-15",45.697983,45.961369,45.364353,45.759438,2967437,35.957306
"2011-04-18",45.144863,45.548725,45.144863,45.408253,2020700,35.681343
"2011-04-19",45.557507,45.610184,45.302898,45.539948,2683142,35.784828
"2011-04-20",45.917473,46.417912,45.891132,46.321335,2316498,36.398834
"2011-04-21",46.382793,46.532047,46.128181,46.532047,1742784,36.564415
"2011-04-25",46.356453,46.786655,46.330112,46.681297,2050883,36.681694
"2011-04-26",46.751537,47.374889,46.751537,47.251976,2164100,37.130116
"2011-04-27",47.102722,47.699738,47.058823,47.655838,1998034,37.447475
"2011-04-28",47.568043,47.64706,47.260754,47.594379,2278000,37.399178
"2011-04-29",47.506584,47.813873,47.480247,47.726074,4196190,37.502666
"2011-05-02",47.892887,48.191395,47.690956,48.024582,3121999,37.737232
"2011-05-03",47.936787,48.252853,47.436348,47.769974,3417000,37.537151
"2011-05-04",47.84021,48.191395,47.374889,47.682178,4031035,37.468166
"2011-05-05",47.532925,47.532925,46.733978,47.006145,3872600,36.936954
"2011-05-06",47.541702,47.611938,46.84811,47.050045,4333667,36.971443
"2011-05-09",46.900791,47.515366,46.900791,47.339771,3469622,37.19912
"2011-05-10",47.35733,47.778751,47.322212,47.550484,3437844,37.364689
"2011-05-11",47.541702,47.585602,46.856892,47.225636,3530900,37.109421
"2011-05-12",47.251976,47.945564,47.129063,47.919228,3530900,37.654449
"2011-05-13",47.822651,48.050922,47.278313,47.418789,3351394,37.261208
"2011-05-16",47.330994,47.489025,46.900791,47.041264,3321210,36.96455
"2011-05-17",46.84811,47.216858,46.69886,47.129063,2982699,37.033539
"2011-05-18",47.093941,47.673397,46.795437,47.62072,2451242,37.41988
"2011-05-19",47.813873,48.165058,47.550484,47.629501,3271208,37.426792
"2011-05-20",47.603161,47.787533,47.269535,47.559261,2794423,37.371582
"2011-05-23",46.909569,47.076382,46.733978,46.900791,3189200,36.854156
"2011-05-24",46.953468,47.041264,46.619843,46.742756,3115279,36.729984
"2011-05-25",46.716419,46.944687,46.584724,46.821774,3670883,36.79208
"2011-05-26",46.733978,47.234417,46.488148,47.085163,2809230,36.999039
