"dates","FTV.Open","FTV.High","FTV.Low","FTV.Close","FTV.Volume","FTV.Adjusted"
"2017-09-21",58.74477,58.920502,58.418411,58.518829,1275304,57.739796
"2017-09-22",58.460251,58.682007,58.23431,58.602509,2760809,57.822365
"2017-09-25",58.644352,58.78661,58.23431,58.602509,1174327,57.822365
"2017-09-26",58.610878,58.878662,58.410042,58.451881,1414522,57.673737
"2017-09-27",58.451881,58.803349,58.309624,58.753139,1083148,57.970985
"2017-09-28",58.552299,58.811714,58.326359,58.51046,1582778,57.731533
"2017-09-29",58.485355,59.472801,58.368202,59.238495,1267776,58.449879
"2017-10-02",59.439331,59.874477,59.330544,59.874477,1068091,59.077396
"2017-10-03",60.033474,60.175732,59.648537,59.815899,1082312,59.0196
"2017-10-04",59.774059,60.200836,59.698746,60.175732,1263832,59.374634
"2017-10-05",60.259415,60.259415,59.53138,59.891212,1516336,59.09391
"2017-10-06",59.799164,60.150627,59.656902,59.874477,1255706,59.077396
"2017-10-09",60.050209,60.334728,59.815899,60.167362,775675,59.366379
"2017-10-10",60.460251,60.51046,59.748955,60.184101,1167157,59.382893
"2017-10-11",60.301254,60.711296,60.125523,60.543934,1181855,59.737938
"2017-10-12",60.661087,61.096233,60.476986,60.995815,1169188,60.183811
"2017-10-13",61.238495,61.263599,60.410042,60.543934,861834,59.737938
"2017-10-16",60.619247,60.836819,60.167362,60.26778,1311154,59.465458
"2017-10-17",60.317993,60.485355,59.815899,59.824268,1575249,59.027851
"2017-10-18",59.832638,60.209206,59.73222,59.933056,1022681,59.135197
"2017-10-19",59.73222,59.903767,59.418411,59.49791,1328362,58.705845
"2017-10-20",59.832638,60.311298,59.631798,60.259415,1869936,59.457203
"2017-10-23",60.259415,60.51046,59.782429,60.326359,1231089,59.52327
"2017-10-24",60.51046,61.372383,60.51046,61.347279,1538921,60.530586
"2017-10-25",61.046024,61.397491,60.292889,60.644352,2068187,59.837021
"2017-10-26",61.171547,61.72385,60.728031,61.481171,2110012,60.662704
"2017-10-27",60.418411,62.24268,58.585773,62.008369,2403862,61.182877
"2017-10-30",61.715481,61.832638,60.569038,60.635983,1892163,59.828766
"2017-10-31",60.761505,60.895397,60.430962,60.46862,1475706,59.663635
"2017-11-01",60.861923,61.146442,60.460251,60.970711,1459932,60.159035
"2017-11-02",61.004185,61.50209,60.78661,61.347279,1179704,60.530586
"2017-11-03",61.338913,61.907951,61.338913,61.623432,1206711,60.803082
"2017-11-06",61.506275,61.581589,60.887028,60.970711,999737,60.159035
"2017-11-07",60.920502,61.481171,60.811714,61.481171,1281638,60.662704
"2017-11-08",61.263599,61.29707,60.820084,60.895397,1350709,60.084724
"2017-11-09",60.627617,60.962341,60.335564,60.778244,1213762,59.969131
"2017-11-10",60.485355,60.916317,60.167362,60.794979,2181114,59.985641
"2017-11-13",60.46862,60.836819,60.292889,60.753139,995913,59.944355
"2017-11-14",60.443516,60.832638,60.368202,60.811714,1462680,60.002151
"2017-11-15",60.74477,60.845188,59.974895,60.125523,2062570,59.3251
"2017-11-16",60.410042,61.029289,60.27615,60.619247,1174327,59.812244
"2017-11-17",60.326359,60.844353,60.04184,60.460251,3519753,59.655373
"2017-11-20",60.569038,61.221756,60.460251,60.928871,1043594,60.117748
"2017-11-21",60.995815,61.221756,60.594143,60.627617,1510002,59.820507
"2017-11-22",60.569038,60.694561,60.046864,60.251045,2309696,59.506439
"2017-11-24",60.309624,60.585773,60.301254,60.359833,433785,59.613892
"2017-11-27",60.527199,61.117153,60.430962,60.887028,1145886,60.134567
"2017-11-28",61.138077,61.782429,60.74477,61.330544,1558997,60.572601
"2017-11-29",61.405857,61.48954,60.811714,61.439331,1099400,60.680046
"2017-11-30",61.49791,62.552299,61.447701,62.46862,1877345,61.696617
"2017-12-01",63.221756,63.338913,61.548119,62.410042,1580149,61.638767
"2017-12-04",62.820084,63.21339,62.117153,62.117153,1284386,61.349487
"2017-12-05",62.284519,62.376568,60.98745,61.046024,1362659,60.291603
"2017-12-06",61.079498,61.640167,60.824268,61.330544,1337922,60.572601
"2017-12-07",61.548119,62.117153,61.25523,61.589958,1074425,60.828808
"2017-12-08",61.891212,62.125523,61.322178,61.665272,1195717,60.903198
"2017-12-11",61.782429,61.916317,60.970711,61.096233,1148276,60.341187
"2017-12-12",61.046024,61.046024,60.46862,60.686192,916685,59.936211
"2017-12-13",60.644352,61.112972,60.401672,60.594143,1127363,59.845306
"2017-12-14",60.778244,60.912132,59.72385,59.748955,1307808,59.010559
"2017-12-15",60.108788,60.518829,60.008369,60.301254,3123133,59.55603
"2017-12-18",60.569038,61.188286,60.334728,60.861923,1295022,60.109776
"2017-12-19",61.029289,61.171547,60.259415,60.861923,1128319,60.109776
"2017-12-20",61.280334,61.456066,61.004185,61.079498,916804,60.324665
"2017-12-21",61.313808,61.347279,60.769875,60.920502,992806,60.167622
"2017-12-22",60.953976,60.953976,60.376568,60.644352,1173132,59.89489
