"dates","CAT.Open","CAT.High","CAT.Low","CAT.Close","CAT.Volume","CAT.Adjusted"
"2014-06-05",104.800003,107.120003,104.769997,106.959999,5389200,87.05899
"2014-06-06",107.080002,108.360001,106.980003,108.18,4299600,88.05201
"2014-06-09",107.739998,109.300003,107.660004,108.75,3900400,88.51593
"2014-06-10",108.5,109.5,108.400002,109.309998,4752700,88.971741
"2014-06-11",108.93,108.980003,108.330002,108.690002,2738800,88.467125
"2014-06-12",108.470001,108.5,106.440002,106.650002,3408600,86.806656
"2014-06-13",106.550003,107.230003,106.07,106.769997,2009100,86.904343
"2014-06-16",106.5,106.879997,105.730003,106.809998,2137200,86.93689
"2014-06-17",106.510002,107,106,106.669998,2138400,86.82296
"2014-06-18",106.629997,107.599998,106.050003,107.480003,2218700,87.482254
"2014-06-19",106.989998,107.419998,106.690002,107.25,2592400,87.295029
"2014-06-20",108.050003,109.529999,107.639999,109.379997,7762900,89.028709
"2014-06-23",109.25,109.849998,108.290001,108.779999,2839500,88.540352
"2014-06-24",108.559998,109.339996,107,107.809998,2864200,87.750847
"2014-06-25",107.480003,108.879997,107.349998,108.440002,2176200,88.263634
"2014-06-26",108.550003,108.800003,107.849998,108.519997,1522900,88.328743
"2014-06-27",108.339996,108.879997,107.730003,108.779999,3632100,88.540352
"2014-06-30",108.68,109.029999,107.970001,108.669998,2249200,88.450806
"2014-07-01",109.080002,109.75,109.010002,109.169998,2346300,88.857803
"2014-07-02",109.32,109.949997,109.300003,109.559998,1849000,89.175255
"2014-07-03",109.900002,111.160004,109.690002,111.080002,2876200,90.412422
"2014-07-07",110.18,110.449997,109.57,110.160004,2697100,89.663612
"2014-07-08",110.209999,110.379997,109.400002,109.459999,2450600,89.093849
"2014-07-09",109.790001,110.290001,109.419998,110.139999,2270600,89.647324
"2014-07-10",108.139999,109.57,107.800003,109.360001,2303600,89.012451
"2014-07-11",109.5,109.989998,108.650002,109.959999,1992300,89.500801
"2014-07-14",110.43,111.040001,110.089996,110.089996,2375100,89.606628
"2014-07-15",110.25,110.419998,109.400002,109.849998,3212900,89.411263
"2014-07-16",110.18,111.459999,109.919998,111.400002,3974100,90.672897
"2014-07-17",110.400002,110.669998,108.93,109.07,3164700,89.337761
"2014-07-18",109.43,110.169998,109.050003,110.169998,2424900,90.238785
"2014-07-21",110,110.550003,109.449997,110.230003,2075900,90.28791
"2014-07-22",110.839996,111.279999,109.800003,110.059998,2879400,90.148674
"2014-07-23",109.790001,109.980003,108.209999,108.379997,4471400,88.772591
"2014-07-24",105.599998,106.230003,104.089996,105.040001,8690300,86.03685
"2014-07-25",104.139999,105.349998,104.099998,104.849998,4126200,85.881233
"2014-07-28",104.779999,104.900002,103.169998,104.150002,4474300,85.307884
"2014-07-29",105,106.440002,104.690002,104.690002,7947100,85.750168
"2014-07-30",105.080002,105.32,103.029999,103.379997,5856900,84.677177
"2014-07-31",102.239998,102.690002,100.739998,100.75,6711400,82.522957
"2014-08-01",100.519997,100.849998,99.110001,100.519997,6011900,82.334595
"2014-08-04",100.360001,102.050003,100.099998,101.809998,5183900,83.391205
"2014-08-05",101.110001,102.470001,100.940002,101.5,5685400,83.137291
"2014-08-06",100.760002,101.849998,100.610001,101.489998,5526900,83.129089
"2014-08-07",102.660004,103.470001,101.879997,101.940002,5752800,83.497688
"2014-08-08",102.010002,103.440002,101.779999,103.279999,4690200,84.595268
"2014-08-11",104.610001,104.849998,103.93,104.5,5197900,85.594551
"2014-08-12",104.589996,105.160004,104.129997,104.330002,4200900,85.455299
"2014-08-13",104.330002,105.5,104.330002,105.160004,4664900,86.135162
"2014-08-14",105.510002,106,104.989998,105.660004,4178800,86.544693
"2014-08-15",106.010002,106.419998,105.129997,105.739998,4099200,86.610199
"2014-08-18",106.690002,107.099998,106.279999,106.980003,3478600,87.625877
"2014-08-19",107.260002,107.699997,106.870003,107.300003,3639200,87.888008
"2014-08-20",107.389999,108.150002,107.199997,107.699997,5341600,88.215614
"2014-08-21",108.169998,108.57,107.540001,107.970001,4118100,88.43676
"2014-08-22",107.580002,107.82,106.540001,107.309998,4603700,87.896164
"2014-08-25",107.959999,108.330002,107.730003,107.970001,3014100,88.43676
"2014-08-26",108.050003,108.639999,107.980003,108.059998,2865800,88.51049
"2014-08-27",108.129997,108.919998,108.080002,108.550003,3281900,88.911873
"2014-08-28",108.019997,108.82,107.800003,108.650002,3227800,88.993744
"2014-08-29",108.900002,109.099998,108.25,109.07,4437200,89.337761
"2014-09-02",109.029999,109.730003,108.830002,108.919998,4040200,89.21492
"2014-09-03",109.449997,109.660004,108.050003,108.459999,4669000,88.83812
"2014-09-04",108.300003,109.489998,108.160004,108.82,4604000,89.133003
"2014-09-05",109,109.18,108.190002,108.540001,4305000,88.903656
"2014-09-08",108.230003,108.459999,107.519997,107.910004,3496900,88.387642
"2014-09-09",107.82,108.199997,107.190002,107.400002,3578500,87.969902
"2014-09-10",105.610001,106.120003,105.379997,105.93,8154700,86.765846
"2014-09-11",105.660004,105.660004,104.589996,105.589996,5460100,86.487328
"2014-09-12",104.970001,105.089996,104.400002,105.019997,6904200,86.020462
"2014-09-15",104.32,104.900002,103.220001,104.860001,7051900,85.88942
"2014-09-16",104.209999,105.830002,103.769997,104.860001,5289700,85.88942
"2014-09-17",105.18,105.410004,103.879997,103.989998,5122200,85.176788
"2014-09-18",104.300003,104.550003,103.400002,104.339996,3915800,85.463486
"2014-09-19",104.849998,105,102.080002,102.510002,8285400,83.964554
"2014-09-22",102.099998,102.260002,100.82,100.900002,5093200,82.645844
"2014-09-23",100.860001,101.089996,99.879997,99.989998,5710300,81.900467
"2014-09-24",100.040001,101.489998,99.889999,101.199997,5797000,82.891556
"2014-09-25",101,101.199997,99.190002,99.510002,4960800,81.507301
"2014-09-26",99.440002,100.639999,99.239998,100.379997,2935900,82.21991
"2014-09-29",99.349998,100.099998,98.260002,99.830002,3156400,81.769417
"2014-09-30",100.029999,100.099998,98.800003,99.029999,3746100,81.114136
"2014-10-01",98.639999,99,97.269997,97.610001,4827300,79.95105
"2014-10-02",97.650002,97.980003,96.150002,97.410004,4460800,79.787216
"2014-10-03",98.040001,98.339996,97.029999,97.389999,3921900,79.770836
"2014-10-06",97.809998,98.129997,96.910004,98,3982400,80.270477
"2014-10-07",97.089996,97.510002,94.690002,94.699997,6479500,77.56749
"2014-10-08",94.580002,96.860001,93.639999,96.650002,6214200,79.164696
"2014-10-09",96.209999,96.519997,93.239998,93.5,6414500,76.584587
"2014-10-10",93.239998,94.57,91.610001,93.129997,6179100,76.281517
"2014-10-13",93.290001,94.059998,91.620003,91.68,5852400,75.093864
"2014-10-14",92.510002,95.010002,92.389999,92.800003,6791300,76.01123
"2014-10-15",91.43,92.75,90.050003,92.589996,9377600,75.839218
"2014-10-16",90.269997,94.150002,90.269997,93.239998,7439400,76.953423
"2014-10-17",94.199997,95.599998,93.980003,95.050003,7442600,78.447266
"2014-10-20",94.529999,95.300003,93.269997,94.029999,4270800,77.6054
"2014-10-21",95.040001,96.32,95.040001,95.889999,3990500,79.140533
"2014-10-22",95.529999,95.980003,94.050003,94.57,6211300,78.051102
"2014-10-23",97.599998,99.940002,97.339996,99.269997,11670100,81.93013
"2014-10-24",99.510002,99.68,98.370003,99.440002,4133800,82.070435
"2014-10-27",98.68,98.769997,97.150002,98.540001,4346100,81.327644
"2014-10-28",99.440002,101.160004,99.029999,101.160004,5069600,83.490005
"2014-10-29",101.529999,101.839996,99.839996,100.190002,4426400,82.68943
"2014-10-30",99.629997,100.580002,99.059998,100.160004,2650900,82.664665
"2014-10-31",101.349998,102.370003,100.839996,101.410004,5367700,83.696335
"2014-11-03",101.610001,101.760002,99.769997,100.220001,4434300,82.714188
"2014-11-04",99.75,100,98.040001,98.610001,4849000,81.385437
"2014-11-05",99.449997,99.639999,98.449997,99.410004,3515600,82.045662
"2014-11-06",99.510002,100.989998,99.239998,100.910004,3427700,83.283676
"2014-11-07",101.260002,101.830002,100.900002,101.760002,2708200,83.985207
"2014-11-10",101.860001,102.550003,101.860001,102.209999,3308100,84.356598
"2014-11-11",102.309998,102.800003,101.599998,102.529999,2464400,84.620697
"2014-11-12",102.169998,103.220001,101.519997,102.989998,2808700,85.000351
"2014-11-13",103.059998,103.18,100.68,101.110001,3924100,83.448715
"2014-11-14",101,101.699997,100.650002,101.339996,2660500,83.63855
"2014-11-17",101.25,102.080002,100.449997,101.699997,2477000,83.935692
"2014-11-18",101.699997,102.449997,101.309998,102.040001,2761200,84.216278
"2014-11-19",101.860001,102.300003,100.889999,101.300003,4679100,83.605545
"2014-11-20",100.330002,102.139999,100.07,102.089996,3052600,84.257553
"2014-11-21",104.300003,107.120003,104.199997,106.449997,8738000,87.855965
"2014-11-24",106.400002,106.470001,105.099998,105.959999,4108600,87.451553
"2014-11-25",106.099998,106.629997,105.330002,106.239998,3321500,87.682663
"2014-11-26",106.290001,106.440002,105.449997,105.790001,2463800,87.311256
"2014-11-28",104.389999,104.610001,100.120003,100.599998,5780900,83.027809
"2014-12-01",100.239998,100.470001,97.790001,99,7431800,81.707291
"2014-12-02",99.480003,99.959999,98.720001,99.510002,3900400,82.128204
