"dates","OXY.Open","OXY.High","OXY.Low","OXY.Close","OXY.Volume","OXY.Adjusted"
"2011-04-28",98.680328,101.017998,97.05162,100.721001,6608866,69.561859
"2011-04-29",101.583252,109.745934,101.477867,109.496841,15447861,75.62278
"2011-05-02",110.282448,112.945862,109.295647,110.886032,9954163,76.582214
"2011-05-03",110.014191,110.339935,105.817886,106.957977,6781507,73.869331
"2011-05-04",106.804688,106.804688,103.08741,104.323311,7441381,72.049721
"2011-05-05",103.336502,104.476601,100.433578,101.51619,7145784,70.111038
"2011-05-06",102.388023,104.907722,100.730576,101.956894,5244027,70.415382
"2011-05-09",102.023964,103.853859,100.328194,102.972443,5929682,71.116768
"2011-05-10",102.93412,103.221535,101.688637,102.493408,4304004,70.785934
"2011-05-11",101.908997,102.225151,98.536613,99.283905,5313438,68.569313
"2011-05-12",99.916229,99.916229,97.952202,98.766556,5625527,68.212029
"2011-05-13",99.168938,99.418037,96.697136,98.067169,4200983,67.729004
"2011-05-16",97.597717,99.159355,96.467201,96.764206,4089091,66.829124
"2011-05-17",96.380981,98.383324,95.50914,97.14743,4681328,67.093788
"2011-05-18",97.396523,99.494682,96.677979,97.913879,6286131,67.623131
"2011-05-19",97.923454,98.536613,95.921112,96.170204,5586281,66.418877
"2011-05-20",95.940269,96.879173,94.943886,96.189369,5694311,66.432121
"2011-05-23",94.905563,95.7295,94.129532,94.800179,3790362,65.472694
"2011-05-24",96.141464,98.699486,95.844467,98.201294,7870477,67.821617
"2011-05-25",97.003716,100.404839,96.955818,99.849159,7292747,68.959724
"2011-05-26",99.849159,101.075478,98.756973,100.586868,4472469,69.4692
"2011-05-27",100.87429,103.614342,100.87429,102.100609,4906679,70.514664
"2011-05-31",103.671829,104.419113,102.512573,103.326927,6401364,71.36161
"2011-06-01",103.317345,103.585602,99.006065,99.33181,4718278,68.602409
"2011-06-02",99.533005,100.548546,97.980942,99.437195,3537978,68.675179
"2011-06-03",97.463585,100.826385,97.463585,99.830002,3632231,68.946487
"2011-06-06",99.868324,100.146156,97.243233,97.66478,3545702,67.451088
"2011-06-07",98.632423,98.919846,96.802528,97.20491,3736191,67.133492
"2011-06-08",97.089943,99.619225,97.089943,98.191711,4223529,68.123878
"2011-06-09",98.804871,100.519806,98.469551,99.600067,3867602,69.100983
"2011-06-10",99.015648,100.117416,98.230034,99.05397,5196118,68.722107
"2011-06-13",99.044388,100.280289,97.32946,97.856392,4890605,67.891243
