"dates","JCI.Open","JCI.High","JCI.Low","JCI.Close","JCI.Volume","JCI.Adjusted"
"2017-04-12",41.189999,41.259998,40.68,40.900002,3432700,36.736401
"2017-04-13",40.84,41.009998,40.599998,40.599998,2526600,36.466934
"2017-04-17",40.630001,41.119999,40.360001,41.09,4277100,36.907051
"2017-04-18",40.91,41.52,40.84,41.349998,3707400,37.140587
"2017-04-19",41.599998,41.740002,41.18,41.279999,3809600,37.077698
"2017-04-20",41.52,41.939999,41.389999,41.73,2947800,37.481907
"2017-04-21",41.700001,42.16,41.59,42.040001,3904800,37.760345
"2017-04-24",42.5,43.099998,42.380001,42.91,5542800,38.541771
"2017-04-25",42.990002,43.380001,42.990002,43.200001,4372500,38.802258
"2017-04-26",43.16,43.610001,43.029999,43.049999,5503500,38.66753
"2017-04-27",41.93,42.66,41.330002,42.16,7485700,37.868126
"2017-04-28",42.220001,42.279999,41.419998,41.57,6319900,37.338188
"2017-05-01",41.77,41.849998,41.330002,41.509998,5670300,37.284302
"2017-05-02",41.57,41.830002,41.18,41.459999,4911500,37.239384
"2017-05-03",41.34,41.66,41.099998,41.610001,4932400,37.374111
"2017-05-04",41.740002,41.810001,41.439999,41.470001,3219300,37.248371
"2017-05-05",41.580002,42,41.580002,41.970001,3315900,37.697468
"2017-05-08",41.900002,42.099998,41.84,42.02,2620400,37.742386
"2017-05-09",42,42.139999,41.849998,42.009998,4376500,37.733402
"2017-05-10",41.93,42.470001,41.900002,42.41,4423100,38.092682
"2017-05-11",42.16,42.299999,41.740002,41.91,2916000,37.643578
"2017-05-12",41.869999,42.130001,41.650002,42.040001,4340100,37.760345
"2017-05-15",42.029999,42.720001,42.029999,42.450001,6970700,38.128613
"2017-05-16",42.610001,42.73,41.959999,42.07,4339300,37.787289
"2017-05-17",42.07,42.07,41.23,41.330002,4671000,37.122623
"2017-05-18",41.380001,41.950001,41.240002,41.77,4568800,37.51783
"2017-05-19",41.82,42.939999,41.790001,42.599998,7334200,38.263344
"2017-05-22",42.810001,43.040001,42.599998,42.639999,2897100,38.299263
"2017-05-23",42.740002,42.740002,41.939999,41.98,3503500,37.706448
"2017-05-24",41.959999,42.099998,41.740002,42.02,2968900,37.742386
"2017-05-25",42.16,42.360001,41.93,42.16,4372400,37.868126
"2017-05-26",42.080002,42.200001,41.939999,42.029999,3261500,37.751358
"2017-05-30",41.990002,42.080002,41.790001,41.98,2525000,37.706448
"2017-05-31",42.080002,42.110001,41.57,41.759998,4880300,37.50885
"2017-06-01",41.970001,42.27,41.779999,42.18,4135500,37.886097
"2017-06-02",42.209999,42.470001,42.080002,42.25,3091500,37.948975
"2017-06-05",42.07,42.389999,42.029999,42.040001,6086700,37.760345
"2017-06-06",41.849998,41.869999,41.23,41.259998,5939700,37.059746
"2017-06-07",41.34,41.41,40.779999,41.16,6529800,36.969933
"2017-06-08",41.16,41.369999,41.09,41.27,3944200,37.068722
"2017-06-09",41.09,42.09,40.939999,42.07,4641400,37.787289
"2017-06-12",41.810001,41.959999,41.23,41.470001,7140400,37.248371
"2017-06-13",41.43,41.950001,41.389999,41.919998,4885500,37.652561
"2017-06-14",42.009998,42.099998,41.580002,41.860001,4668500,37.598667
"2017-06-15",41.5,42,41.5,41.939999,4168300,37.670521
"2017-06-16",41.959999,42.139999,41.630001,41.860001,5166500,37.598667
"2017-06-19",42.139999,42.700001,42.139999,42.540001,5602600,38.209446
"2017-06-20",42.299999,42.32,41.880001,42.009998,4473700,37.733402
"2017-06-21",42.080002,42.169998,41.400002,41.450001,4206300,37.230404
"2017-06-22",41.41,42.110001,41.279999,41.82,3927800,37.562744
"2017-06-23",41.939999,42.02,41.669998,41.82,16759600,37.562744
"2017-06-26",41.73,42.419998,41.73,42.310001,5475200,38.231407
"2017-06-27",42.279999,42.279999,42.029999,42.150002,4370600,38.086834
"2017-06-28",42.459999,42.93,42.389999,42.880001,5718600,38.74646
"2017-06-29",42.880001,43.029999,42.330002,42.549999,4899900,38.448269
"2017-06-30",42.799999,43.709999,42.779999,43.360001,5918500,39.180191
"2017-07-03",43.610001,43.740002,43.119999,43.25,2933900,39.080791
"2017-07-05",43.299999,43.700001,43.209999,43.57,3759100,39.369938
"2017-07-06",43.48,43.509998,43.029999,43.049999,2697500,38.900066
"2017-07-07",43.139999,43.32,43.009998,43.16,2760500,38.99947
"2017-07-10",43.150002,43.790001,43.060001,43.380001,3164500,39.198257
"2017-07-11",43.310001,43.459999,42.869999,43.080002,5877500,38.927181
"2017-07-12",43.330002,43.709999,43.310001,43.400002,2813400,39.216324
"2017-07-13",43.299999,43.779999,43.299999,43.549999,3331500,39.351871
"2017-07-14",43.549999,44.09,43.380001,43.869999,3443300,39.641026
"2017-07-17",43.84,44.18,43.790001,44.09,2973700,39.839817
"2017-07-18",43.970001,44.080002,43.779999,44,3553400,39.758495
"2017-07-19",44.07,44.16,43.849998,44.150002,2986100,39.894039
"2017-07-20",44.16,44.240002,43.869999,44.110001,2876900,39.857887
"2017-07-21",44.040001,44.27,43.900002,44.189999,3006400,39.930172
"2017-07-24",44.099998,44.189999,43.900002,44,3308400,39.758495
"2017-07-25",44.349998,44.369999,43.93,44.18,4867100,39.921146
"2017-07-26",44.080002,44.18,43.310001,43.32,7298300,39.144043
"2017-07-27",40.009998,40.5,38.75,40.139999,17870000,36.270592
"2017-07-28",40.040001,40.200001,38.900002,39.639999,14471800,35.818783
"2017-07-31",39.639999,39.689999,38.650002,38.950001,8509200,35.195305
"2017-08-01",39.099998,39.150002,38.540001,38.75,5365900,35.014587
"2017-08-02",38.599998,39.48,38.509998,39.369999,5682600,35.574818
"2017-08-03",39.34,39.509998,38.77,39.459999,4998600,35.656147
"2017-08-04",39.419998,39.419998,38.91,39.169998,6439700,35.394093
"2017-08-07",39.200001,39.880001,39.16,39.779999,5036500,35.94529
"2017-08-08",39.709999,39.98,39.41,39.610001,5272900,35.791679
"2017-08-09",39.459999,39.630001,39.310001,39.450001,3493800,35.647102
"2017-08-10",39.189999,39.41,38.810001,38.889999,4337100,35.141083
"2017-08-11",39,39.099998,38.650002,38.669998,2936800,34.942299
"2017-08-14",38.950001,38.990002,38.540001,38.650002,3155300,34.924217
"2017-08-15",38.470001,38.5,37.75,37.830002,6708200,34.18327
"2017-08-16",37.919998,37.970001,37.369999,37.549999,9637700,33.93026
"2017-08-17",37.450001,37.709999,36.82,36.889999,10463500,33.333881
"2017-08-18",36.869999,37.419998,36.740002,37.049999,4524000,33.478455
"2017-08-21",37.150002,38.830002,37.139999,38.27,13091900,34.580856
"2017-08-22",38.34,38.650002,37.77,38.619999,8637400,34.897114
"2017-08-23",38.369999,38.84,38.27,38.560001,6255000,34.842899
"2017-08-24",38.639999,38.84,38.43,38.59,5425700,34.870003
"2017-08-25",38.869999,39.119999,38.720001,38.830002,3941300,35.086872
"2017-08-28",38.91,38.990002,38.610001,38.84,2652700,35.095909
"2017-08-29",38.700001,38.880001,38.48,38.75,2576800,35.014587
"2017-08-30",38.93,39.220001,38.68,39.139999,3427100,35.366989
"2017-08-31",39.34,40,39.259998,39.59,7634300,35.773602
"2017-09-01",39.669998,40.07,39.490002,39.889999,3953900,36.044685
"2017-09-05",39.889999,40.119999,39.759998,40,4166100,36.144081
