"dates","APA.Open","APA.High","APA.Low","APA.Close","APA.Volume","APA.Adjusted"
"2014-02-05",78.690002,78.830002,77.309998,78.019997,3694500,67.589775
"2014-02-06",78.330002,80.089996,78.290001,79.919998,2431600,69.235786
"2014-02-07",80.459999,81.620003,80.260002,81.400002,3512500,70.517914
"2014-02-10",81.459999,81.589996,80.279999,80.75,2164300,69.954811
"2014-02-11",80.080002,81.800003,79.18,81.379997,2873900,70.500572
"2014-02-12",81.779999,81.980003,81.099998,81.279999,2317900,70.413948
"2014-02-13",79.529999,81.169998,78.529999,80.959999,5583300,70.136742
"2014-02-14",81.150002,83.82,81.050003,83.389999,4383600,72.241875
"2014-02-18",83.419998,83.760002,82.529999,83.32,3364600,72.181213
"2014-02-19",83.260002,85.290001,82.809998,84.07,3748800,72.830978
"2014-02-20",84.169998,84.580002,83.739998,84.360001,2835100,73.082214
"2014-02-21",84.910004,85.949997,84.529999,84.559998,3571100,73.255463
"2014-02-24",85.010002,85.830002,84.25,84.330002,3861200,73.056206
"2014-02-25",84.059998,84.059998,82.239998,83.089996,3982600,71.981979
"2014-02-26",83.010002,83.099998,79.779999,79.82,6759500,69.149124
"2014-02-27",79.610001,79.849998,79.080002,79.589996,4270800,68.94989
"2014-02-28",79.709999,80.139999,79.050003,79.290001,5018700,68.69001
"2014-03-03",79,80.779999,78.980003,79.860001,4064800,69.183792
"2014-03-04",80.239998,80.769997,79.510002,80.480003,3578500,69.720901
"2014-03-05",80.169998,80.370003,78.830002,79.010002,3976200,68.447411
"2014-03-06",79.040001,79.849998,78.760002,79.519997,3457900,68.889252
"2014-03-07",79.980003,80.260002,79.599998,80.050003,2125700,69.348389
"2014-03-10",79.849998,80.610001,79.550003,80.5,2781800,69.738235
"2014-03-11",80.489998,81.260002,79.360001,79.550003,2187700,68.91523
"2014-03-12",78.940002,79.669998,78.699997,79.190002,2445000,68.603363
"2014-03-13",79.220001,79.580002,78.580002,78.989998,2519500,68.430084
"2014-03-14",79.029999,79.360001,78.400002,79.230003,2448600,68.638016
"2014-03-17",79.5,79.760002,79,79.370003,1569400,68.759308
"2014-03-18",79.349998,80.480003,79.230003,80.040001,2447800,69.339729
"2014-03-19",80.160004,80.239998,79,79.330002,1945500,68.72464
"2014-03-20",79.330002,80.209999,78.839996,80.050003,1806000,69.348389
"2014-03-21",80.660004,81.389999,80.290001,80.709999,4360500,69.920151
"2014-03-24",80.889999,81.389999,80.629997,80.769997,2203900,69.972122
"2014-03-25",81.32,81.989998,81.209999,81.93,3133400,70.977066
"2014-03-26",82.239998,82.489998,81.389999,81.459999,2575000,70.569885
"2014-03-27",81.580002,82.480003,81.169998,82.080002,2516100,71.10701
"2014-03-28",82.330002,83.360001,82.040001,83.019997,3210100,71.921349
"2014-03-31",83.839996,83.900002,82.400002,82.949997,2506700,71.86071
"2014-04-01",82.790001,83.82,82.699997,83.760002,3550800,72.562408
"2014-04-02",83.470001,84.480003,83.269997,84.230003,2001200,72.969604
"2014-04-03",84.309998,85.410004,84.199997,85.360001,2834600,73.948555
"2014-04-04",85.849998,86.32,85.160004,85.470001,3031600,74.043823
"2014-04-07",85,85.190002,83.830002,84.089996,3069500,72.848282
"2014-04-08",84.43,85.5,84,85.18,2978100,73.79258
"2014-04-09",84.629997,84.75,82.589996,83.650002,4315200,72.467117
"2014-04-10",83.239998,84.080002,82.720001,82.720001,3384900,71.661446
"2014-04-11",82.43,83.110001,81.900002,82.089996,2919200,71.115669
"2014-04-14",82.919998,83,81.870003,82.57,3017600,71.531502
"2014-04-15",82.650002,83.809998,82.239998,83.330002,3773900,72.189903
"2014-04-16",84.089996,84.690002,83.160004,84.169998,3400800,72.91761
