"dates","WHR.Open","WHR.High","WHR.Low","WHR.Close","WHR.Volume","WHR.Adjusted"
"2011-03-01",82.57,82.730003,80.160004,80.199997,1809100,61.644981
"2011-03-02",80.349998,81.239998,79.879997,80.309998,1141800,61.729538
"2011-03-03",81.199997,82.5,80.720001,82.349998,1277100,63.297569
"2011-03-04",82.379997,82.389999,80.230003,80.940002,1109000,62.213768
"2011-03-07",81.389999,81.989998,80.019997,80.370003,836800,61.775665
"2011-03-08",80.809998,84.220001,80.760002,83.360001,2082200,64.073898
"2011-03-09",83.18,84.339996,82.720001,83.849998,1089500,64.450539
"2011-03-10",82.669998,83.410004,81.82,82.269997,910800,63.236065
"2011-03-11",82.190002,83.849998,81.830002,83.339996,1057900,64.058525
"2011-03-14",82.830002,83,81.269997,82,1109100,63.028519
"2011-03-15",79.779999,82.690002,79.519997,81.410004,1834000,62.575039
"2011-03-16",81.239998,81.5,79.239998,79.709999,1936100,61.268356
"2011-03-17",81.360001,81.360001,79.150002,79.57,1331600,61.160744
"2011-03-18",80.769997,80.900002,79.290001,80.099998,2472100,61.568115
"2011-03-21",81.230003,81.5,80.589996,80.989998,1153700,62.252213
"2011-03-22",80.970001,81.110001,80,80.190002,803300,61.63731
"2011-03-23",80.010002,81.110001,79.300003,80.779999,748200,62.090786
"2011-03-24",81.279999,81.699997,80.18,81.330002,947400,62.513546
"2011-03-25",81.419998,83.029999,81.349998,82.089996,625600,63.097706
"2011-03-28",82.190002,82.610001,81.379997,81.400002,576000,62.567368
"2011-03-29",81.410004,81.68,80.610001,81.540001,780400,62.674976
"2011-03-30",81.889999,84.269997,81.870003,84.190002,1309500,64.711853
"2011-03-31",83.949997,87.190002,83.949997,85.360001,2640900,65.611168
"2011-04-01",85.940002,87,85.769997,86.029999,1940600,66.12616
"2011-04-04",86.110001,86.519997,84.900002,85.160004,1196100,65.457451
"2011-04-05",84.900002,85.470001,84.099998,84.760002,917500,65.149979
"2011-04-06",85.410004,85.57,84,84.489998,582800,64.942459
"2011-04-07",84.220001,84.980003,83.5,84.190002,554000,64.711853
"2011-04-08",84.540001,84.919998,82.209999,82.580002,951100,63.474342
"2011-04-11",82.629997,83.449997,82.540001,83.18,838000,63.935562
"2011-04-12",82.709999,84.580002,82.489998,84.339996,797400,64.827171
"2011-04-13",84.720001,85.190002,83.800003,84.639999,1211000,65.05777
"2011-04-14",84,84.839996,83.190002,84.739998,817100,65.134605
"2011-04-15",84.82,86.220001,84.379997,85.699997,1044500,65.872505
"2011-04-18",84.419998,85.269997,83.82,84.879997,1016900,65.24221
"2011-04-19",85.290001,87.18,85.290001,86.099998,1195100,66.179985
"2011-04-20",87.230003,87.559998,85.540001,86.239998,1212100,66.28756
"2011-04-21",86.25,87.550003,85.760002,87.309998,623500,67.110016
"2011-04-25",87.459999,88,86.239998,87.220001,614400,67.040848
"2011-04-26",87.410004,87.900002,86.510002,87.860001,1300000,67.532776
"2011-04-27",91,92,85.610001,88.650002,3853700,68.139999
"2011-04-28",88.68,89.129997,86.529999,87.43,1329100,67.202232
"2011-04-29",87.5,87.660004,85.800003,86.18,1370900,66.241455
"2011-05-02",86.779999,86.980003,85.739998,85.919998,1131100,66.041595
"2011-05-03",85.699997,86.099998,84,84.32,1361800,64.81179
"2011-05-04",84.389999,84.559998,83,83.900002,1091500,64.488968
"2011-05-05",83.220001,84.809998,83.010002,83.889999,1016000,64.481255
