"dates","UPS.Open","UPS.High","UPS.Low","UPS.Close","UPS.Volume","UPS.Adjusted"
"2012-09-27",71.919998,72.239998,71.580002,72.019997,2651100,55.703747
"2012-09-28",71.870003,71.889999,71.25,71.57,3350900,55.355709
"2012-10-01",72.089996,72.910004,71.709999,72.010002,3788900,55.69603
"2012-10-02",72.269997,72.5,71.690002,72.019997,2791300,55.703747
"2012-10-03",72.269997,73.459999,72.029999,73.389999,5109300,56.763386
"2012-10-04",73.080002,73.639999,72.82,72.970001,3868100,56.438526
"2012-10-05",73.309998,73.879997,72.980003,73.099998,3964000,56.539093
"2012-10-08",73.07,73.879997,72.75,73.760002,2949500,57.049587
"2012-10-09",73.879997,74,72.919998,73.019997,2328800,56.477219
"2012-10-10",73.830002,73.879997,72.239998,72.260002,4014900,55.889404
"2012-10-11",72.910004,73.080002,72.260002,72.300003,3006700,55.92033
"2012-10-12",72.57,72.849998,71.980003,72.110001,2335800,55.773365
"2012-10-15",72.199997,72.82,72.150002,72.589996,2407000,56.144619
"2012-10-16",72.419998,73.389999,72.300003,73.110001,2755500,56.546825
"2012-10-17",73.32,73.440002,72.919998,73.290001,2913500,56.686062
"2012-10-18",73.309998,73.879997,73.110001,73.610001,3003900,56.933537
"2012-10-19",73.029999,73.459999,71.910004,72.300003,5469900,55.92033
"2012-10-22",72.040001,72.129997,71.019997,71.559998,6481900,55.347969
"2012-10-23",73.209999,74.139999,72.760002,73.730003,8209600,57.026367
"2012-10-24",73.970001,74.059998,72.989998,73.120003,3894200,56.554558
"2012-10-25",73.410004,73.440002,72.879997,73.199997,3080100,56.616421
"2012-10-26",73.389999,73.57,72.75,73.019997,3044500,56.477219
"2012-10-31",73.449997,74.099998,73,73.25,3002000,56.655102
"2012-11-01",73.379997,74.120003,73.050003,73.900002,3674900,57.157852
"2012-11-02",74.230003,74.5,73.389999,73.480003,3158800,56.833012
"2012-11-05",73.550003,73.620003,73.230003,73.449997,3312700,56.809784
"2012-11-06",73.669998,74.18,73.199997,73.57,3832500,56.902611
"2012-11-07",73.82,73.82,72.300003,73,3866200,56.461746
"2012-11-08",72.559998,73.400002,72.5,72.589996,3695100,56.144619
"2012-11-09",72.260002,72.870003,71.940002,72.25,3607300,55.881668
"2012-11-12",72.239998,72.629997,71.870003,72.300003,1835300,55.92033
"2012-11-13",71.900002,72.690002,71.82,71.860001,2194100,55.580006
"2012-11-14",71.830002,72.150002,70.07,70.300003,4037100,54.373444
"2012-11-15",70,70.389999,69.559998,70.330002,4172200,54.841301
"2012-11-16",70.839996,70.839996,69.720001,70.019997,4610300,54.59956
"2012-11-19",70.699997,71.440002,70.330002,71.440002,4126100,55.706848
"2012-11-20",71.269997,71.480003,70.910004,71.339996,3226400,55.628864
"2012-11-21",71.459999,71.690002,71.230003,71.400002,2157100,55.675659
"2012-11-23",71.519997,72.080002,71.379997,71.980003,1594600,56.127922
"2012-11-26",71.830002,72.610001,71.830002,72.580002,3433900,56.595779
"2012-11-27",72.669998,72.849998,72.110001,72.160004,2355900,56.268284
"2012-11-28",72.019997,72.739998,71.760002,72.709999,2523200,56.697151
"2012-11-29",73,73.830002,72.970001,73.559998,4449100,57.359959
