"dates","MNST.Open","MNST.High","MNST.Low","MNST.Close","MNST.Volume","MNST.Adjusted"
"2010-11-16",8.255,8.316667,8.2,8.271667,3502200,8.271667
"2010-11-17",8.261667,8.335,8.223333,8.306667,3654600,8.306667
"2010-11-18",8.36,8.413333,8.316667,8.368333,5819400,8.368333
"2010-11-19",8.385,8.896667,8.356667,8.81,10003200,8.81
"2010-11-22",8.831667,8.866667,8.716667,8.816667,5166000,8.816667
"2010-11-23",8.75,8.791667,8.67,8.745,3631200,8.745
"2010-11-24",8.781667,9.021667,8.766667,9.003333,5846400,9.003333
"2010-11-26",8.95,9.125,8.92,9.065,4206600,9.065
"2010-11-29",9.008333,9.008333,8.836667,8.855,5386800,8.855
"2010-11-30",8.78,8.926667,8.753333,8.87,5641200,8.87
"2010-12-01",8.953333,8.958333,8.69,8.751667,6580800,8.751667
"2010-12-02",8.743333,8.84,8.743333,8.823333,3288000,8.823333
"2010-12-03",8.811667,8.823333,8.735,8.791667,2056200,8.791667
"2010-12-06",8.763333,8.835,8.645,8.823333,4075800,8.823333
"2010-12-07",8.885,8.903333,8.766667,8.823333,3018000,8.823333
"2010-12-08",8.666667,8.685,8.416667,8.506667,13354800,8.506667
"2010-12-09",8.515,8.55,8.348333,8.35,6256800,8.35
"2010-12-10",8.406667,8.415,8.156667,8.178333,11211600,8.178333
"2010-12-13",8.23,8.258333,8.046667,8.183333,10722600,8.183333
"2010-12-14",8.19,8.595,8.15,8.506667,11334000,8.506667
"2010-12-15",8.461667,8.508333,8.41,8.415,5964000,8.415
"2010-12-16",8.431667,8.455,8.39,8.453333,4474800,8.453333
"2010-12-17",8.466667,8.893333,8.425,8.791667,11829000,8.791667
"2010-12-20",8.783333,8.81,8.671667,8.793333,3701400,8.793333
"2010-12-21",8.98,9.125,8.901667,8.973333,6987000,8.973333
"2010-12-22",9.005,9.06,8.883333,8.996667,3934800,8.996667
"2010-12-23",9.003333,9.03,8.891667,8.926667,1785600,8.926667
"2010-12-27",8.918333,8.92,8.806667,8.876667,1118400,8.876667
"2010-12-28",8.843333,8.861667,8.746667,8.755,2262600,8.755
"2010-12-29",8.75,8.798333,8.708333,8.771667,2588400,8.771667
"2010-12-30",8.763333,8.83,8.751667,8.793333,1132800,8.793333
"2010-12-31",8.768333,8.801667,8.711667,8.713333,2664600,8.713333
"2011-01-03",8.775,9.008333,8.775,8.925,4606200,8.925
"2011-01-04",8.953333,8.953333,8.708333,8.715,4974000,8.715
"2011-01-05",8.711667,8.741667,8.62,8.66,2943600,8.66
"2011-01-06",8.701667,9.08,8.611667,8.936667,6388200,8.936667
"2011-01-07",8.963333,8.995,8.741667,8.896667,3384600,8.896667
"2011-01-10",8.865,8.95,8.801667,8.923333,2635200,8.923333
"2011-01-11",8.943333,8.943333,8.855,8.878333,2363400,8.878333
"2011-01-12",8.94,8.96,8.808333,8.868333,3718800,8.868333
"2011-01-13",8.88,8.916667,8.781667,8.858333,4237800,8.858333
"2011-01-14",8.828333,9.081667,8.796667,9.081667,3613800,9.081667
"2011-01-18",9.041667,9.165,9.026667,9.165,3832800,9.165
"2011-01-19",9.14,9.156667,8.931667,9.043333,5453400,9.043333
"2011-01-20",9.003333,9.185,8.973333,9.17,7247400,9.17
"2011-01-21",9.213333,9.386667,9.185,9.28,6388800,9.28
"2011-01-24",9.346667,9.346667,9.103333,9.14,4168200,9.14
"2011-01-25",9.136667,9.251667,9.083333,9.216667,3885600,9.216667
"2011-01-26",9.256667,9.443333,9.245,9.333333,6004200,9.333333
"2011-01-27",9.328333,9.356667,9.208333,9.275,3364200,9.275
"2011-01-28",9.308333,9.458333,9.158333,9.191667,3598200,9.191667
"2011-01-31",9.181667,9.505,9.123333,9.44,7114800,9.44
"2011-02-01",9.493333,9.685,9.45,9.658333,8084400,9.658333
"2011-02-02",9.65,9.746667,9.545,9.583333,3399000,9.583333
"2011-02-03",9.576667,9.605,9.365,9.505,4608000,9.505
