"dates","PH.Open","PH.High","PH.Low","PH.Close","PH.Volume","PH.Adjusted"
"2016-12-06",141.970001,142.919998,141.470001,142.550003,1385000,132.326248
"2016-12-07",142.350006,145.440002,141.839996,144.979996,1016300,134.58194
"2016-12-08",145.110001,145.110001,141.639999,141.889999,1361500,131.713577
"2016-12-09",141.649994,142.550003,141.130005,142.509995,901200,132.289078
"2016-12-12",142.669998,142.899994,140.809998,141.559998,8e+05,131.407211
"2016-12-13",142.119995,142.5,140.410004,141.009995,769600,130.896652
"2016-12-14",140.580002,142,140.009995,140.199997,1092300,130.144745
"2016-12-15",140.300003,144.449997,139.919998,143,1485800,132.743927
"2016-12-16",143.660004,144.440002,142.330002,142.75,1956400,132.511841
"2016-12-19",142.919998,143.440002,141.690002,142.820007,740300,132.576859
"2016-12-20",143.660004,144.539993,142.940002,143.910004,797900,133.588669
"2016-12-21",143.410004,143.820007,141.979996,142.389999,957500,132.177719
"2016-12-22",142.360001,143.389999,142.059998,142.800003,990800,132.558258
"2016-12-23",142.960007,143.25,142.380005,142.740005,279500,132.502609
"2016-12-27",142.839996,143.5,142.660004,143.270004,355400,132.994614
"2016-12-28",143.460007,143.759995,140.589996,140.869995,774200,130.766678
"2016-12-29",140.869995,141.550003,139.720001,140.259995,429300,130.20047
"2016-12-30",140.449997,141.149994,139.490005,140,593400,129.959076
"2017-01-03",142.199997,144.25,140.830002,142.550003,1115000,132.326248
"2017-01-04",142.5,143.199997,141.899994,142.639999,637900,132.409729
"2017-01-05",142.350006,142.669998,139.919998,141.369995,557900,131.23082
"2017-01-06",141.910004,142.399994,141.059998,141.490005,727500,131.342255
"2017-01-09",141.539993,142.149994,140.369995,140.779999,519200,130.683136
"2017-01-10",141.160004,142.050003,140.740005,141.830002,721400,131.657867
"2017-01-11",142.009995,145.339996,141.289993,145.210007,1441300,134.795425
"2017-01-12",144.5,144.610001,141.679993,143.75,1231400,133.44017
"2017-01-13",144.699997,146.339996,144.309998,146.25,947200,135.760834
"2017-01-17",145.399994,145.460007,143.550003,143.619995,1623900,133.319458
"2017-01-18",143.820007,145.440002,143.639999,144.399994,802000,134.043503
"2017-01-19",144.389999,145.520004,143.169998,143.75,1174600,133.44017
"2017-01-20",144.460007,144.5,142.440002,142.520004,1350300,132.298401
"2017-01-23",142.5,142.820007,141.059998,142.5,998400,132.2798
"2017-01-24",142.899994,146.169998,142.729996,145.479996,781100,135.046082
"2017-01-25",146.039993,149.880005,145.789993,149.520004,1634200,138.796326
"2017-01-26",149.070007,149.979996,148.029999,149.100006,1117200,138.406433
"2017-01-27",149.529999,150.139999,148.970001,149.270004,717200,138.56427
"2017-01-30",148.899994,148.899994,145.850006,147.330002,983000,136.763397
"2017-01-31",146.860001,147.520004,144.820007,147.130005,1345900,136.577744
"2017-02-01",147.149994,148.100006,145.089996,145.449997,1423200,135.018204
"2017-02-02",148.979996,152.869995,148.039993,149.75,2040300,139.009827
"2017-02-03",150.690002,151.149994,149.149994,150.210007,1073000,139.436844
"2017-02-06",149.619995,150.110001,148.050003,148.649994,945000,137.988724
"2017-02-07",150.429993,150.429993,147.589996,147.970001,1342300,137.357468
"2017-02-08",146.889999,147.630005,145.380005,147.449997,1372400,137.488037
"2017-02-09",147.789993,149.520004,147.369995,149.369995,1002700,139.278305
"2017-02-10",149.759995,150.330002,149.050003,150.25,1059000,140.098862
"2017-02-13",151.009995,153.130005,151,152.460007,1625200,142.159546
"2017-02-14",151.949997,152.830002,150.949997,152.630005,836200,142.318085
"2017-02-15",153.639999,156.440002,153.070007,155.490005,1762900,144.984818
"2017-02-16",155.470001,155.75,153.429993,154.410004,823200,143.977783
"2017-02-17",153.699997,154.380005,152.529999,153.889999,1079000,143.49292
"2017-02-21",154.119995,155.960007,154,155.619995,921200,145.106033
"2017-02-22",156.490005,156.839996,155.490005,155.860001,1057900,145.329834
"2017-02-23",156.479996,156.479996,152.889999,153.699997,702200,143.31575
"2017-02-24",152.509995,155.110001,151.770004,155.039993,647700,144.56517
"2017-02-27",154.839996,156.270004,154.199997,156.139999,690600,145.590912
"2017-02-28",155.800003,156.619995,154.699997,154.839996,1090300,144.378754
"2017-03-01",156.940002,159.050003,155.029999,158.440002,1410000,147.735519
"2017-03-02",158.309998,159.039993,156.830002,157.089996,1159300,146.476746
