"dates","WAB.Open","WAB.High","WAB.Low","WAB.Close","WAB.Volume","WAB.Adjusted"
"2011-07-14",32.369999,32.369999,31.155001,31.344999,1152800,30.051819
"2011-07-15",31.465,31.665001,30.889999,31.655001,1087000,30.349033
"2011-07-18",31.530001,31.719999,31.264999,31.684999,843600,30.37779
"2011-07-19",31.940001,32.695,31.885,32.689999,1049000,31.341337
"2011-07-20",32.705002,32.990002,32.59,32.720001,619200,31.370094
"2011-07-21",32.845001,33.470001,32.794998,33.200001,543600,31.830301
"2011-07-22",33.07,33.445,32.904999,33.384998,432000,32.007656
"2011-07-25",33.025002,33.759998,32.884998,33.580002,697200,32.194614
"2011-07-26",34.810001,35.610001,33.75,33.970001,1005600,32.568527
"2011-07-27",34.93,34.93,32.665001,32.830002,915800,31.475565
"2011-07-28",33.055,33.560001,32.415001,32.494999,890200,31.154383
"2011-07-29",31.809999,32.605,31.495001,32.259998,692000,30.929075
"2011-08-01",32.639999,32.895,32.064999,32.57,830400,31.226288
"2011-08-02",32.099998,32.93,31.174999,31.209999,889800,29.922388
"2011-08-03",31.15,31.49,30.165001,31.379999,1185400,30.085379
"2011-08-04",30.75,30.895,28.9,28.905001,1345600,27.712488
"2011-08-05",29.355,29.799999,28.129999,28.695,1973400,27.511154
