"dates","VTR.Open","VTR.High","VTR.Low","VTR.Close","VTR.Volume","VTR.Adjusted"
"2013-05-10",90.29348,90.521866,89.676826,90.521866,1255228,60.838608
"2013-05-13",90.578964,91.34407,90.41909,91.218452,972027,61.306789
"2013-05-14",91.435425,92.006393,91.241295,91.960716,848728,61.805672
"2013-05-15",91.823685,93.410988,91.446846,93.410988,1613565,62.780384
"2013-05-16",92.999886,93.251114,92.406075,92.760078,1430106,62.342896
"2013-05-17",92.931366,93.879181,92.531693,93.262535,1334654,62.680614
"2013-05-20",93.764992,94.370216,93.502342,93.981956,1245946,63.164101
"2013-05-21",94.347382,95.032547,94.084732,94.701385,1065639,63.647621
"2013-05-22",94.79274,96.048874,91.65239,92.166267,1864365,61.943813
"2013-05-23",90.990067,91.138519,88.523468,89.151535,2617555,59.917641
"2013-05-24",88.671921,88.888885,86.319519,87.541397,2056581,58.835487
"2013-05-28",88.443527,88.683342,85.08622,85.463058,2333741,57.438652
"2013-05-29",84.583763,84.720795,81.671806,82.859428,3339394,55.688801
"2013-05-30",82.836586,83.761559,82.653877,83.12207,1868481,55.865307
"2013-05-31",82.80233,83.830078,81.44342,81.500511,3233172,54.775482
"2013-06-03",81.374901,82.048645,79.696243,81.580452,1618206,55.348804
"2013-06-04",81.546188,81.717484,80.1987,80.210121,1391049,54.41909
"2013-06-05",80.050247,80.792511,79.113853,79.365082,1314426,53.845783
"2013-06-06",79.433594,81.477676,79.011078,81.409157,1223090,55.232597
"2013-06-07",81.740318,81.980133,80.1987,81.36348,1398756,55.201607
"2013-06-10",81.397736,81.614708,80.1987,80.495605,1114591,54.612797
"2013-06-11",79.604889,80.940964,79.182365,79.878952,1249274,54.194416
"2013-06-12",80.061668,80.118759,78.131783,78.291649,1424151,53.117512
"2013-06-13",77.743523,79.707664,77.378098,79.365082,1958766,53.845783
"2013-06-14",79.239464,81.283546,79.239464,80.427086,1560497,54.566299
"2013-06-17",80.71257,82.002968,80.71257,81.534775,1716284,55.317818
"2013-06-18",81.671806,82.208519,80.97522,81.843094,1310397,55.526997
"2013-06-19",81.83168,82.094322,78.074684,78.30307,1817603,53.125237
"2013-06-20",77.903389,77.903389,73.107231,73.518326,2772554,49.879017
"2013-06-21",74.043625,75.722282,73.210007,74.751625,3262771,50.715748
"2013-06-24",74.203491,76.373184,72.878838,74.511818,2084429,50.553036
"2013-06-25",75.162727,77.343842,74.568916,76.932739,2101242,52.19553
"2013-06-26",78.348747,79.650566,77.663582,78.599976,1779335,53.326687
"2013-06-27",79.136688,80.084503,78.988235,79.696243,1511283,54.070454
"2013-06-28",79.639145,80.278633,78.69133,79.319405,2753726,53.814785
"2013-07-01",80.00457,80.564117,78.154617,78.348747,1302516,53.156242
"2013-07-02",78.360168,79.844696,78.360168,79.776176,2125499,54.124683
"2013-07-03",79.365082,79.627724,78.017586,79.045334,858887,53.628845
"2013-07-05",79.170952,79.319405,75.57383,77.697845,1575472,52.714626
"2013-07-08",77.640747,78.782684,77.617905,77.697845,1258994,52.714626
"2013-07-09",77.743523,79.068176,77.675003,78.816948,1053730,53.473885
"2013-07-10",78.657074,78.771271,77.537971,78.394424,1256192,53.187233
"2013-07-11",79.673401,81.534775,79.673401,81.36348,1364866,55.201607
"2013-07-12",81.36348,81.523354,79.970306,80.564117,998210,54.659279
"2013-07-15",80.564117,80.97522,80.141602,80.723991,764486,54.767738
"2013-07-16",80.803925,81.16935,80.621216,80.952377,1249186,54.922703
"2013-07-17",81.146507,82.105743,81.146507,81.786003,1100755,55.48827
"2013-07-18",81.843094,82.425491,81.477676,82.402649,989891,55.906639
"2013-07-19",82.425491,82.585358,81.477676,81.580452,1002589,55.348804
"2013-07-22",81.489098,81.980133,81.123672,81.774582,793559,55.480503
"2013-07-23",81.911613,82.002968,81.123672,81.614708,543109,55.372055
"2013-07-24",81.603287,81.603287,78.405846,78.748428,1401032,53.427402
"2013-07-25",78.520042,79.228043,77.846291,78.965401,1154085,53.574596
"2013-07-26",79.330818,79.479271,77.857712,78.143204,1346564,53.016781
"2013-07-29",77.880554,78.782684,77.880554,78.097519,1142088,52.985771
"2013-07-30",78.131783,78.702751,77.195389,77.458031,1203299,52.551922
"2013-07-31",77.560806,77.606483,74.568916,75.071373,2329362,50.932686
"2013-08-01",75.402534,75.562408,73.849495,73.906586,1735462,50.142426
"2013-08-02",73.906586,75.139885,73.860909,74.169235,1739753,50.32061
"2013-08-05",74.06646,74.774467,73.883751,74.488983,1165031,50.537556
"2013-08-06",74.648849,75.037109,73.918007,73.929428,1489040,50.157921
"2013-08-07",73.895172,73.940849,73.084389,73.312775,1167658,49.739567
"2013-08-08",73.575424,73.860909,73.09581,73.461227,1131842,49.840267
"2013-08-09",73.358459,74.214912,73.152908,73.780975,1758581,50.05719
"2013-08-12",73.701042,74.192078,73.255684,73.575424,1131317,49.917736
"2013-08-13",73.723877,73.735298,71.976707,72.193672,1345338,48.980286
"2013-08-14",72.147995,72.364967,71.519928,71.588448,1161091,48.569656
"2013-08-15",71.017471,71.028893,69.612885,69.749916,2001675,47.322296
"2013-08-16",69.430168,69.555786,67.420349,67.979904,3783900,46.121422
"2013-08-19",67.614479,67.945641,66.837959,67.214798,1953599,45.602341
"2013-08-20",67.420349,69.270294,67.420349,68.893456,1496746,46.741241
"2013-08-21",68.66507,71.280121,67.637321,69.944046,2056494,47.45401
"2013-08-22",69.989723,70.058243,68.973396,69.5672,1423013,47.198326
"2013-08-23",69.521523,71.234444,69.464432,71.223022,1516712,48.321735
"2013-08-26",71.382896,71.451408,70.560692,70.81192,1104083,48.042835
"2013-08-27",70.343727,72.022385,69.966881,71.782578,1623022,48.701378
"2013-08-28",71.65696,71.873932,70.869019,71.668381,1472577,48.62389
"2013-08-29",71.371475,71.474251,70.526436,71.428574,986038,48.461201
"2013-08-30",71.451408,72.010963,70.88044,71.097404,1251200,48.236492
"2013-09-03",71.873932,71.873932,69.658562,70.309464,1550777,47.701927
"2013-09-04",70.457916,70.81192,69.829849,70.480759,826135,47.81815
"2013-09-05",70.469337,70.697731,68.916298,69.019073,958191,46.826462
"2013-09-06",70.092499,71.165924,70.023979,70.183853,1325372,47.616714
"2013-09-09",70.469337,70.983215,69.989723,70.983215,1268451,48.159035
"2013-09-10",71.188766,71.360054,69.555786,70.023979,1572057,47.508232
"2013-09-11",69.544365,70.172432,69.338814,70.081078,1249536,48.072243
"2013-09-12",70.046822,70.766243,69.236038,69.327393,815364,47.555244
"2013-09-13",69.395912,70.537857,69.133263,70.172432,1246209,48.134899
"2013-09-16",73.621101,73.803818,71.908188,72.205093,1801402,49.529209
"2013-09-17",72.090897,72.844582,71.816833,71.816833,1323883,49.262878
"2013-09-18",71.736893,74.945755,70.149597,74.842979,2574383,51.338665
"2013-09-19",75.162727,75.448212,73.404137,73.461227,1700347,50.390846
"2013-09-20",73.347038,73.41555,71.851089,71.862511,2394251,49.294201
"2013-09-23",71.839668,72.444901,71.325798,71.348633,1078862,48.941719
"2013-09-24",71.360054,72.12516,70.731987,71.2687,1629853,48.886887
"2013-09-25",71.245857,72.022385,71.051727,71.908188,1350855,49.325542
"2013-09-26",71.908188,72.342125,71.577026,72.262192,933671,49.568367
"2013-09-27",71.896767,72.205093,71.00605,71.554184,1311886,49.082714
"2013-09-30",71.177345,72.045219,69.795593,70.22953,1847114,48.174068
"2013-10-01",69.932625,72.63903,69.932625,72.068062,1474942,49.435211
"2013-10-02",72.010963,72.570518,70.960373,72.490578,1863402,49.725025
"2013-10-03",72.170837,72.376389,70.286629,70.834763,1941427,48.589233
"2013-10-04",70.81192,71.439995,70.195274,70.457916,1062399,48.330719
"2013-10-07",69.84127,71.39431,69.784172,70.937538,678230,48.659721
"2013-10-08",70.903275,71.634125,70.823341,70.891861,1204438,48.628387
"2013-10-09",70.960373,71.485672,70.640633,70.857597,912917,48.604889
"2013-10-10",71.565605,72.798904,71.234444,72.70755,1189376,49.873856
"2013-10-11",72.741806,73.187164,71.988121,73.187164,953988,50.202866
"2013-10-14",72.467743,73.107231,71.942444,72.650452,905036,49.834694
"2013-10-15",72.364967,73.072968,71.885345,72.285027,928943,49.58403
