"dates","EXPE.Open","EXPE.High","EXPE.Low","EXPE.Close","EXPE.Volume","EXPE.Adjusted"
"2015-09-18",127,130.990005,126.32,126.489998,2482100,120.894699
"2015-09-21",127.400002,128.389999,125.370003,126.330002,1077300,120.741768
"2015-09-22",125.339996,125.769997,123.720001,124.879997,1272500,119.355904
"2015-09-23",124.309998,125.629997,121.800003,122.139999,1658500,116.737129
"2015-09-24",121.529999,122,119,120.5,2194100,115.169678
"2015-09-25",121.980003,123.300003,119.050003,120.050003,1791000,114.739571
"2015-09-28",119.970001,120.260002,115.959999,116.720001,2561900,111.556892
"2015-09-29",116.669998,117.209999,113.220001,114.010002,1877800,108.966751
"2015-09-30",115.589996,117.900002,114.059998,117.68,1503200,112.474403
"2015-10-01",118.5,119.989998,116.550003,119.919998,1305200,114.615334
"2015-10-02",118.080002,122.730003,118.010002,122.620003,1379100,117.195892
"2015-10-05",123.75,125.830002,122.790001,123.949997,1219500,118.467049
"2015-10-06",123.949997,124.639999,120.43,122.220001,1223600,116.813599
"2015-10-07",122.93,124.050003,120.599998,122.93,831700,117.49218
"2015-10-08",122.410004,123.080002,118.889999,122.879997,1367800,117.444382
"2015-10-09",123.169998,125.699997,122.010002,125.339996,1037300,119.795563
"2015-10-12",126.260002,128.679993,124.790001,127.019997,1907600,121.401253
"2015-10-13",126.190002,129.149994,125.400002,128.100006,1780600,122.433495
"2015-10-14",124.199997,126.120003,119.559998,121.849998,4258900,116.459938
"2015-10-15",122.489998,125.730003,121.839996,125.18,1818100,119.642647
"2015-10-16",125.629997,127.860001,125.629997,127.379997,1785700,121.745331
"2015-10-19",127.43,131.070007,126.5,130.449997,1775500,124.679535
"2015-10-20",130.440002,131.259995,128.119995,129.039993,1771800,123.331902
"2015-10-21",130,131.509995,128.139999,129.139999,1390900,123.427483
"2015-10-22",126.900002,129.740005,125.599998,127.580002,2607200,121.936493
"2015-10-23",129.350006,129.350006,125.209999,125.410004,3703200,119.86248
"2015-10-26",125.879997,129.259995,125.709999,128.389999,2172700,122.710655
"2015-10-27",128.839996,129.75,125.879997,127.110001,1672600,121.487274
"2015-10-28",127.980003,128.020004,124.610001,125.800003,2596700,120.235214
"2015-10-29",125.75,127.57,124.540001,127.059998,4313800,121.439468
"2015-10-30",136.169998,139.580002,135.699997,136.300003,7583100,130.270752
"2015-11-02",136.199997,137.270004,133.419998,135.410004,2661500,129.420151
"2015-11-03",135.410004,137.5,133.570007,136.389999,2012300,130.356766
"2015-11-04",137.020004,137.300003,132.490005,134.169998,2767300,128.235001
"2015-11-05",139,140.509995,136.410004,137.309998,8745800,131.236084
"2015-11-06",138.080002,138.199997,131.600006,133.320007,5417600,127.422562
"2015-11-09",131.759995,133.229996,129.339996,129.479996,3757300,123.752419
"2015-11-10",129.679993,130.320007,128.130005,129.009995,2107700,123.303215
"2015-11-11",129.759995,130.289993,128.5,128.740005,2256200,123.045181
"2015-11-12",128.429993,129.160004,127.75,127.940002,2743900,122.280533
"2015-11-13",127.75,128.660004,124.830002,125.199997,3062200,119.661758
"2015-11-16",122.620003,123.379997,120.709999,122.529999,5572200,117.109879
"2015-11-17",123.580002,124.010002,119.360001,120.889999,2845400,115.769188
"2015-11-18",121.260002,125.989998,121,125.300003,4405800,119.992378
"2015-11-19",126,129.970001,124.379997,128.089996,4700000,122.664185
"2015-11-20",128.550003,128.869995,125.870003,126.25,2632600,120.90213
"2015-11-23",126.610001,127.220001,123.839996,124.919998,1999900,119.628464
"2015-11-24",122.75,123.199997,120.029999,121.269997,2860400,116.133072
"2015-11-25",121.82,124,121.5,123.620003,1501300,118.38353
"2015-11-27",124.089996,124.190002,121.660004,123.629997,707700,118.393097
"2015-11-30",123.489998,124.349998,122.139999,123.110001,1560200,117.895119
"2015-12-01",124.089996,125.230003,122.760002,125.040001,2261800,119.743393
"2015-12-02",125,125.599998,122.779999,123.110001,1489400,117.895119
"2015-12-03",123.389999,125.129997,121.580002,122.269997,3310700,117.090714
"2015-12-04",123.110001,126.059998,122.209999,125.919998,2009000,120.586105
"2015-12-07",126.339996,126.480003,123.919998,125.040001,1622800,119.743393
"2015-12-08",123.919998,126.169998,123.010002,125.629997,1309400,120.30838
"2015-12-09",125.029999,126.860001,123.309998,125.019997,2949300,119.724236
"2015-12-10",124.800003,126.599998,123.120003,125.610001,2589300,120.289253
"2015-12-11",123.550003,125.610001,122.739998,123.209999,2941600,117.990913
"2015-12-14",123.480003,126,123.440002,124.300003,2455700,119.034737
"2015-12-15",125.769997,132,125.730003,130.240005,4148900,124.723122
"2015-12-16",131.119995,133.070007,128.300003,131.160004,5717800,125.604149
"2015-12-17",131.229996,131.899994,128.449997,128.669998,2237800,123.21962
"2015-12-18",128.660004,129.539993,125,125.360001,6896100,120.049828
"2015-12-21",126.059998,127.389999,124.519997,125.580002,1572500,120.260513
"2015-12-22",126.330002,128.029999,125.050003,127.519997,2030000,122.118317
"2015-12-23",128.300003,128.520004,125,126.279999,2003200,120.930862
"2015-12-24",126.169998,127.43,125.599998,126.470001,761100,121.112801
"2015-12-28",126.300003,127.480003,124.660004,126.099998,1023000,120.758476
"2015-12-29",126.43,128.919998,126.43,127.699997,1209300,122.290703
"2015-12-30",127.68,127.970001,126.010002,126.269997,1083600,120.921288
"2015-12-31",125.489998,126.209999,123.959999,124.300003,1355400,119.034737
"2016-01-04",121.260002,122,119.059998,120.800003,3063700,115.682983
"2016-01-05",121.25,122.129997,118.389999,119.93,3723800,114.849838
"2016-01-06",117.559998,120.160004,116.510002,119.040001,2123200,113.997551
"2016-01-07",117.010002,117.779999,114,114.809998,2008800,109.946716
"2016-01-08",116.059998,116.5,111.25,111.410004,2456100,106.690765
"2016-01-11",112.110001,112.779999,109.25,111.199997,2177900,106.489632
"2016-01-12",112.050003,113.120003,110.150002,111.900002,1847100,107.159988
"2016-01-13",112.440002,112.910004,105.330002,106.370003,3646400,101.864227
"2016-01-14",106.739998,109.489998,102.870003,107.669998,2696300,103.109169
"2016-01-15",103.559998,104.019997,99.559998,102.760002,4698600,98.407166
"2016-01-19",104.809998,106.769997,104.080002,105.32,3304100,100.858711
"2016-01-20",103.75,107.879997,100.07,106.279999,3142300,101.778038
"2016-01-21",106.389999,107.620003,105.190002,106.400002,2277100,101.892952
"2016-01-22",108,109.239998,106.040001,107.120003,1630100,102.582474
"2016-01-25",106.879997,107.860001,104.980003,105.209999,1852700,100.753372
"2016-01-26",104.660004,105.93,102.360001,104.93,2388300,100.485237
"2016-01-27",102.910004,104,99,99.529999,3269700,95.313972
"2016-01-28",101.290001,101.489998,97.220001,98.690002,2624900,94.509552
"2016-01-29",99.220001,101.269997,98.129997,101.040001,2056700,96.760002
"2016-02-01",100.160004,102.93,98.709999,102.150002,2689000,97.82299
"2016-02-02",101.440002,101.790001,97.349998,98.709999,2910400,94.528702
"2016-02-03",98.849998,99.080002,92.410004,96.300003,3239700,92.220795
"2016-02-04",95.970001,100.209999,94.5,99.900002,2331100,95.668304
"2016-02-05",99.07,99.110001,91.910004,93.540001,5815100,89.577713
"2016-02-08",91.370003,92.269997,88.400002,91.529999,4856900,87.652847
"2016-02-09",90.25,94.400002,89.239998,92.639999,4471200,88.715836
"2016-02-10",93.360001,96.510002,93.019997,94.349998,6023000,90.353386
"2016-02-11",100.099998,104.949997,96.879997,103.370003,11008900,98.991302
"2016-02-12",104.709999,106.209999,99.370003,102.25,4895000,97.918739
"2016-02-16",103.349998,105.449997,101.139999,105.440002,3984200,100.973633
"2016-02-17",107.959999,112.620003,107.699997,110.879997,4596200,106.183189
"2016-02-18",110.010002,111.529999,107.279999,107.470001,3387800,102.917648
"2016-02-19",107.040001,108.760002,104.940002,108.669998,1992700,104.066795
"2016-02-22",106.589996,108.239998,105.620003,106.959999,2593700,102.429245
"2016-02-23",106.599998,107.639999,103.279999,104.160004,2358500,99.747849
"2016-02-24",103.160004,105.360001,100.470001,104.400002,2812000,99.977676
"2016-02-25",105,105.260002,102.699997,105.129997,1993100,100.676765
"2016-02-26",105.879997,107.150002,104.389999,105.449997,1538100,100.983215
"2016-02-29",104.190002,106.199997,104.010002,104.110001,1856600,99.699966
"2016-03-01",105.019997,108.879997,102.849998,108.190002,2227700,103.607147
