"dates","DOV.Open","DOV.High","DOV.Low","DOV.Close","DOV.Volume","DOV.Adjusted"
"2011-05-10",44.456657,44.878971,44.376221,44.785126,1170906,36.315228
"2011-05-11",44.684574,44.865562,43.793026,44.188526,1475977,35.831459
"2011-05-12",44.07457,44.21534,43.484673,43.947205,1370955,35.635784
"2011-05-13",43.974018,44.175117,43.008736,43.122692,1824161,34.967209
"2011-05-16",42.934998,43.343903,42.512688,42.599831,1820581,34.543232
"2011-05-17",42.358509,42.465763,41.634544,42.030045,1866677,34.081192
"2011-05-18",42.103783,42.827744,41.942902,42.707085,2033310,34.630199
"2011-05-19",42.97522,43.323792,42.767414,43.203133,1536245,35.032425
"2011-05-20",43.223244,43.223244,42.358509,42.559608,1491790,34.510609
"2011-05-23",41.84235,42.304882,41.641251,42.06356,1857279,34.108379
"2011-05-24",42.12389,42.392025,41.688171,41.735096,1652605,33.842037
"2011-05-25",41.634544,42.834446,41.399929,42.700378,2269311,34.624775
"2011-05-26",42.278069,43.149506,42.150703,43.035549,2018094,35.047863
"2011-05-27",43.203133,44.208633,43.203133,44.114788,2451309,35.926769
"2011-05-31",44.751606,45.582825,44.523693,45.066666,3941160,36.701973
"2011-06-01",44.731499,44.899082,42.707085,42.740601,3787953,34.807636
"2011-06-02",42.874668,43.310387,42.358509,42.552906,2783083,34.654793
"2011-06-03",41.862461,42.371918,41.741798,41.869164,1982589,34.09795
"2011-06-06",41.768616,42.197628,41.594326,41.681469,1969760,33.945095
"2011-06-07",41.963013,42.117188,41.580921,41.815536,2592433,34.054287
"2011-06-08",41.56081,41.875866,41.48037,41.634544,2165482,33.906868
"2011-06-09",41.741798,41.929493,41.601028,41.761909,1812972,34.010593
"2011-06-10",41.453556,41.674767,40.736298,40.776516,1681397,33.208111
"2011-06-13",40.964211,41.178719,40.60223,40.830143,1417648,33.251778
"2011-06-14",41.399929,42.492577,41.379818,42.036747,2105512,34.234425
"2011-06-15",41.594326,41.835648,41.02454,41.218937,1846090,33.568413
"2011-06-16",41.212234,41.828945,40.897179,41.735096,2191290,33.988766
"2011-06-17",42.170815,42.392025,41.627842,41.761909,1906209,34.010593
"2011-06-20",41.594326,42.412136,41.533997,42.311584,1336644,34.458256
"2011-06-21",42.633347,43.270164,42.546204,43.209835,1258176,35.189785
"2011-06-22",42.934998,43.551704,42.821041,43.290276,1724062,35.255299
