"dates","TSCO.Open","TSCO.High","TSCO.Low","TSCO.Close","TSCO.Volume","TSCO.Adjusted"
"2011-03-14",26.995001,27.205,26.5,26.924999,1185400,24.051165
"2011-03-15",26.105,26.879999,25.495001,26.68,1698000,23.832312
"2011-03-16",26.700001,27.09,26.485001,26.66,1174400,23.814449
"2011-03-17",27.129999,27.32,26.459999,26.709999,987400,23.859114
"2011-03-18",27.105,27.225,26.725,26.995001,2466800,24.113689
"2011-03-21",27.375,27.6,27.049999,27.48,1141200,24.546926
"2011-03-22",27.434999,27.559999,27.049999,27.395,719800,24.471003
"2011-03-23",27.285,27.495001,26.875,27.42,1172800,24.493332
"2011-03-24",27.469999,28.129999,27.469999,27.955,1249400,24.971224
"2011-03-25",28.014999,28.705,27.959999,28.365,594600,25.337461
"2011-03-28",28.475,28.825001,28.34,28.42,1399400,25.386593
"2011-03-29",28.465,29.379999,28.24,29.07,1875400,25.967213
"2011-03-30",29.5,29.695,29.25,29.65,1477200,26.485315
"2011-03-31",29.639999,29.995001,29.389999,29.93,2222600,26.735428
"2011-04-01",30,30.780001,29.955,30.530001,2636600,27.271385
"2011-04-04",30.93,31.205,30.209999,30.605,2210400,27.338381
"2011-04-05",30.559999,31.040001,30.549999,30.91,1568600,27.610826
"2011-04-06",30.945,31.065001,30.344999,30.75,1395000,27.467901
"2011-04-07",30.635,31.424999,30.635,31.094999,1134800,27.776083
"2011-04-08",31.34,31.985001,31.110001,31.42,1612400,28.066393
"2011-04-11",31.690001,32.279999,31.370001,31.5,1466600,28.13785
"2011-04-12",31.32,32.055,31.200001,31.290001,1373600,27.95027
"2011-04-13",31.645,31.76,30.940001,31.495001,1301200,28.133385
"2011-04-14",31.395,32.189999,31.155001,31.945,1894200,28.535351
"2011-04-15",32.125,32.275002,31.785,31.885,1433200,28.481756
"2011-04-18",31.555,31.59,30.360001,30.764999,2230800,27.481304
"2011-04-19",30.77,31.084999,29.865,30.84,2468600,27.548294
"2011-04-20",31.155001,31.514999,30.875,31.485001,2826600,28.124456
"2011-04-21",32.5,32.5,30.33,30.459999,4841600,27.208858
"2011-04-25",30.43,30.5,29.719999,30.32,2030400,27.083799
"2011-04-26",30.33,30.799999,30.155001,30.545,2e+06,27.284784
"2011-04-27",30.540001,30.809999,30.25,30.795,1175400,27.508101
"2011-04-28",30.57,31.049999,30.57,30.700001,1444600,27.423233
"2011-04-29",30.665001,31.215,30.545,30.934999,1308000,27.633154
"2011-05-02",31.209999,31.209999,29.52,29.790001,2285000,26.610371
"2011-05-03",29.745001,29.945,29.219999,29.754999,1843400,26.579103
"2011-05-04",29.68,30.045,29.1,29.32,1542600,26.190535
"2011-05-05",29.049999,29.834999,28.555,29.555,1521600,26.400454
"2011-05-06",30.040001,30.555,29.9,29.9,1727000,26.708624
"2011-05-09",29.825001,30.344999,29.684999,30.27,1069600,27.039135
"2011-05-10",30.295,30.934999,30.275,30.809999,1012800,27.521503
"2011-05-11",30.809999,30.965,30.24,30.615,1009200,27.347309
"2011-05-12",30.395,31.555,30.059999,31.455,1495600,28.152826
"2011-05-13",31.59,31.629999,30.879999,30.945,670200,27.696369
"2011-05-16",31.455,31.455,30.145,30.205,796000,27.034056
"2011-05-17",30.01,30.215,29.254999,29.389999,1781200,26.304615
"2011-05-18",29.434999,30.365,29.17,30.115,1485000,26.953506
"2011-05-19",30.275,30.41,29.805,30.219999,1096000,27.047476
"2011-05-20",30.030001,30.059999,29.344999,29.485001,1161200,26.389645
"2011-05-23",29.1,30.5,29.055,30.264999,1873200,27.087757
"2011-05-24",30.32,30.469999,29.860001,30,1034000,26.850578
"2011-05-25",29.870001,30.42,29.469999,30.235001,1065000,27.060905
"2011-05-26",30.225,31.045,30.225,30.93,897200,27.682938
"2011-05-27",31.094999,31.5,30.924999,31.209999,992000,27.933548
"2011-05-31",31.5,31.995001,31.395,31.58,5239000,28.264711
"2011-06-01",31.59,31.870001,30.700001,30.764999,1687400,27.535267
"2011-06-02",30.73,31.225,30.495001,31.08,1050400,27.817196
"2011-06-03",30.43,30.940001,29.785,29.885,1330200,26.74765
"2011-06-06",29.795,30.065001,29.434999,29.469999,1657400,26.376213
"2011-06-07",29.655001,30.475,28.870001,30.17,1758400,27.002731
