"dates","GILD.Open","GILD.High","GILD.Low","GILD.Close","GILD.Volume","GILD.Adjusted"
"2017-02-07",72.559998,73.300003,72.410004,73.129997,13325400,63.018444
"2017-02-08",67.269997,67.269997,65.75,66.830002,51547400,57.589523
"2017-02-09",66.339996,66.790001,65.379997,65.589996,23070600,56.520977
"2017-02-10",65.849998,66.779999,65.43,66.360001,16208400,57.184505
"2017-02-13",66.809998,67.790001,66.5,67.650002,15885100,58.296146
"2017-02-14",68.599998,68.669998,67.330002,67.550003,14972600,58.209965
"2017-02-15",67.699997,69.980003,67.660004,69.800003,16656600,60.148861
"2017-02-16",70,70.669998,69.260002,70.309998,10965500,60.588348
"2017-02-17",70.18,70.790001,69.709999,69.849998,11186900,60.19194
"2017-02-21",70,70,68.830002,69.290001,11190400,59.709385
"2017-02-22",69.110001,69.730003,68.660004,68.830002,10073400,59.312988
"2017-02-23",68.739998,69.529999,68.43,69.370003,7529100,59.778324
"2017-02-24",69.32,70.07,69.050003,69.940002,7382400,60.269505
"2017-02-27",69.82,70.540001,69.800003,70.5,6354200,60.752075
"2017-02-28",70.370003,70.940002,70.010002,70.480003,8828800,60.734848
"2017-03-01",70.82,70.989998,70.019997,70.190002,9629400,60.484943
"2017-03-02",70,70.889999,70,70.529999,8672900,60.777939
"2017-03-03",70.669998,70.809998,70.220001,70.739998,6620900,60.9589
"2017-03-06",70.559998,70.599998,69.699997,70.120003,7335900,60.424625
"2017-03-07",69.589996,69.959999,68.779999,69.019997,9044200,59.476719
"2017-03-08",69.019997,70,68.879997,69.699997,7377200,60.062691
"2017-03-09",69.209999,69.25,67.809998,68.389999,13597000,58.933815
"2017-03-10",68.57,68.610001,67.449997,68.190002,14480500,58.761478
"2017-03-13",68.32,68.349998,67.529999,68.099998,8493500,58.683922
"2017-03-14",67.410004,68.099998,67.400002,67.769997,6109500,58.848907
"2017-03-15",67.970001,68.779999,67.610001,68.470001,8312600,59.456776
"2017-03-16",68.739998,68.779999,68.209999,68.540001,6855000,59.517555
"2017-03-17",68.760002,69.879997,68.25,69.059998,18241000,59.969101
"2017-03-20",68.940002,69.209999,68.639999,68.709999,6287400,59.665165
"2017-03-21",68.800003,69.080002,67.43,67.739998,8691500,58.822861
"2017-03-22",67.800003,68.050003,67.510002,67.830002,5402800,58.901005
"2017-03-23",67.610001,67.919998,67.260002,67.489998,6174900,58.605762
"2017-03-24",67.57,67.870003,67.199997,67.510002,6037800,58.623146
"2017-03-27",67.110001,67.82,66.970001,67.5,5455300,58.614445
"2017-03-28",67.449997,67.480003,66.800003,67.099998,8509100,58.267101
"2017-03-29",67.099998,67.57,66.910004,67.260002,7224700,58.406055
"2017-03-30",67.360001,67.779999,67.099998,67.529999,5198700,58.640495
"2017-03-31",67.370003,68.330002,67.370003,67.919998,8876500,58.979164
"2017-04-03",67.849998,68.019997,66.75,67.099998,8446700,58.267101
"2017-04-04",67.040001,67.139999,66.650002,66.980003,5895000,58.162903
"2017-04-05",66.980003,67.129997,66.400002,66.470001,7113600,57.720039
"2017-04-06",66.43,66.800003,66.230003,66.480003,8716000,57.728737
"2017-04-07",66.419998,66.839996,66.269997,66.580002,7618900,57.815575
"2017-04-10",66.559998,67.239998,66.389999,66.419998,6549600,57.676617
"2017-04-11",66.43,66.529999,65.830002,66.019997,7329400,57.329273
"2017-04-12",66.330002,66.370003,65.790001,66.220001,7819100,57.502949
"2017-04-13",66.18,66.82,66.089996,66.510002,6098400,57.75478
"2017-04-17",66.809998,67.150002,66.599998,66.699997,5684300,57.91975
"2017-04-18",66.589996,66.870003,65.699997,66.059998,7358100,57.364014
"2017-04-19",66.190002,66.400002,65.889999,66.279999,5343100,57.55505
"2017-04-20",66.360001,66.669998,66.160004,66.5,6380400,57.746086
"2017-04-21",66.540001,66.68,65.75,65.93,7241800,57.251125
"2017-04-24",66.489998,66.489998,65.709999,66.25,9117100,57.528992
"2017-04-25",66.599998,67.529999,66.559998,67.120003,9007000,58.284477
"2017-04-26",67.410004,68.599998,67.269997,68.220001,15156300,59.239681
"2017-04-27",68.169998,68.760002,68.050003,68.580002,6734700,59.552292
"2017-04-28",68.830002,68.959999,68.239998,68.550003,6257500,59.526226
"2017-05-01",68.540001,68.809998,68.050003,68.110001,5372600,59.14415
"2017-05-02",68.290001,69.160004,68.160004,68.589996,12987200,59.560963
"2017-05-03",67.110001,67.580002,66.269997,67.209999,13591200,58.362629
"2017-05-04",67.419998,68.57,67.330002,68.080002,8702900,59.118111
"2017-05-05",68.099998,68.449997,67.510002,67.800003,5788800,58.874962
"2017-05-08",67.779999,67.82,67.080002,67.209999,7126900,58.362629
"2017-05-09",67.220001,67.75,67.099998,67.610001,5557400,58.70998
"2017-05-10",67.690002,67.800003,66.709999,66.919998,7190500,58.110798
"2017-05-11",66.769997,66.839996,66.059998,66.709999,8055500,57.928448
"2017-05-12",66.870003,66.900002,65.739998,66.059998,8091200,57.364014
"2017-05-15",66.080002,66.169998,65.730003,65.949997,6202500,57.268482
