"dates","FTI.Open","FTI.High","FTI.Low","FTI.Close","FTI.Volume","FTI.Adjusted"
"2016-03-23",20.230656,20.491072,19.985119,19.992559,3193344,18.690292
"2016-03-24",19.605656,20.111607,19.427082,20.074406,5527469,18.766806
"2016-03-28",20.074406,20.200893,19.724703,19.970238,3614554,18.669424
"2016-03-29",19.657738,20.007441,19.471725,19.977678,3012442,18.676384
"2016-03-30",20.230656,20.572918,20.007441,20.15625,3366317,18.843321
"2016-03-31",20.066963,20.386906,20,20.357143,4279162,19.031126
"2016-04-01",19.918156,20.505953,19.918156,20.267857,3896794,18.947659
"2016-04-04",20.148809,20.3125,19.880953,20.15625,4824557,18.843321
"2016-04-05",19.962797,20.290178,19.784225,20.074406,4150406,18.766806
"2016-04-06",20.349703,20.558037,19.739582,20.498512,4053773,19.163286
"2016-04-07",20.297619,20.431547,19.717262,19.940475,4433318,18.6416
"2016-04-08",20.409225,20.811012,20.342262,20.505953,2481830,19.170244
"2016-04-11",20.543156,20.721725,20.260418,20.260418,2472154,18.940701
"2016-04-12",20.431547,21.019344,20.245537,20.892857,3546816,19.531946
"2016-04-13",20.974703,21.473213,20.863094,21.361607,3033005,19.970167
"2016-04-14",21.398809,21.502975,20.714287,21.004463,3998534,19.63628
"2016-04-15",20.773809,20.773809,20.230656,20.610119,3610925,19.267626
"2016-04-18",20.081844,21.458332,20,21.40625,4043962,20.0119
"2016-04-19",21.577381,22.023809,21.361607,21.964287,3604608,20.533588
"2016-04-20",21.785713,22.001488,21.517857,21.793156,2555213,20.373602
"2016-04-21",21.860119,21.912203,21.40625,21.495537,3722746,20.095369
"2016-04-22",21.540178,22.366072,21.502975,21.971725,2973466,20.540541
"2016-04-25",21.830357,21.919643,21.302082,21.465775,3350323,20.067545
"2016-04-26",21.629463,21.71875,20.78125,21.205357,9411360,19.824089
"2016-04-27",21.755953,23.102678,21.011906,22.581844,7940352,21.110914
"2016-04-28",22.418156,23.288691,22.299107,22.485119,7808774,21.020493
"2016-04-29",22.559525,23.251488,22.202381,22.686012,5551661,21.2083
"2016-05-02",22.671131,22.842262,22.061012,22.291668,3569664,20.839642
"2016-05-03",21.934525,22.03125,21.584822,21.904762,3661190,20.477942
"2016-05-04",21.941963,22.1875,21.190475,21.227678,3418195,19.844959
"2016-05-05",21.681547,21.71875,21.071428,21.257441,2743373,19.872784
"2016-05-06",21.026787,21.614582,20.885418,21.316963,2653056,19.928429
"2016-05-09",20.662203,20.863094,20.275297,20.520832,3172378,19.184155
"2016-05-10",20.587797,20.877975,20.438988,20.796131,2455085,19.441521
"2016-05-11",20.751488,21.145832,20.186012,20.922619,2710042,19.559771
"2016-05-12",21.168156,21.287203,20.565475,20.840775,2607763,19.483255
"2016-05-13",20.669643,20.885418,20.409225,20.513393,2640557,19.177202
"2016-05-16",20.9375,21.607143,20.855656,21.465775,4031194,20.067545
"2016-05-17",21.421131,21.889881,21.383928,21.808037,3465773,20.387516
"2016-05-18",21.726191,21.770832,21.153275,21.316963,3744250,19.928429
"2016-05-19",21.584822,21.584822,20.305059,20.3125,12214810,18.989391
