"dates","AMGN.Open","AMGN.High","AMGN.Low","AMGN.Close","AMGN.Volume","AMGN.Adjusted"
"2017-04-13",163.279999,163.630005,161.330002,161.610001,2568800,144.150299
"2017-04-17",161.339996,162.520004,161.259995,162.110001,2364900,144.596298
"2017-04-18",161.929993,161.929993,160.279999,161.25,2532100,143.829224
"2017-04-19",162.100006,162.639999,161.130005,161.259995,2344100,143.83815
"2017-04-20",161.050003,162.770004,161.009995,162.039993,2070200,144.533829
"2017-04-21",162.149994,162.729996,160.25,160.410004,2906900,143.079956
"2017-04-24",162.5,163.600006,161.899994,163.139999,3498400,145.514984
"2017-04-25",163.520004,165.300003,163.399994,164.699997,3529400,146.906479
"2017-04-26",165.610001,165.610001,164.339996,164.610001,4175500,146.826202
"2017-04-27",160.130005,163.429993,160,162.720001,5699200,145.140396
"2017-04-28",162.389999,163.479996,161.529999,163.320007,2942200,145.675613
"2017-05-01",163.679993,164.440002,162.449997,162.600006,2522000,145.033371
"2017-05-02",163.910004,163.940002,162.410004,163.490005,3737800,145.827225
"2017-05-03",163.820007,164.080002,163,163.809998,2855100,146.11261
"2017-05-04",164.169998,164.820007,163.520004,164.289993,2543400,146.540771
"2017-05-05",164.809998,164.809998,162.419998,163.809998,2970400,146.11261
"2017-05-08",163.729996,163.809998,162.470001,163.029999,2291900,145.416885
"2017-05-09",163.169998,164.080002,162.830002,163.220001,2305500,145.58638
"2017-05-10",163.25,163.479996,159.699997,160.509995,5201000,143.169128
"2017-05-11",159.860001,160.520004,158.289993,160.080002,3510200,142.785614
"2017-05-12",160.490005,160.619995,159.460007,160.220001,2706000,142.910492
"2017-05-15",158.880005,160.149994,158.710007,159.970001,3318700,143.71907
"2017-05-16",159.770004,160.490005,159.460007,159.990005,2281200,143.737045
"2017-05-17",158.770004,159.289993,156.929993,157.059998,3073200,141.104706
"2017-05-18",157.369995,158.789993,156.289993,157.960007,2163300,141.913269
"2017-05-19",157.589996,158.580002,156.350006,156.509995,2577300,140.61055
"2017-05-22",153.589996,154.600006,152.449997,153.020004,6911700,137.475082
"2017-05-23",152.649994,154.570007,152.160004,154.070007,3582000,138.418427
"2017-05-24",154.770004,154.990005,153.789993,154.600006,2667500,138.894608
"2017-05-25",155.190002,156.039993,154.619995,155.429993,2965800,139.640244
"2017-05-26",155.600006,156.130005,154.789993,155.009995,2731600,139.262939
