"dates","SLG.Open","SLG.High","SLG.Low","SLG.Close","SLG.Volume","SLG.Adjusted"
"2012-03-28",79.186409,79.948509,78.30072,79.794029,971971,58.747272
"2012-03-29",79.052521,79.39238,78.01236,79.248199,1066061,58.345406
"2012-03-30",79.876419,80.442841,79.279091,79.866119,1341339,58.80035
"2012-04-02",78.76416,80.422241,78.4552,80.0103,1100337,58.906502
"2012-04-03",79.77343,80.23687,79.15551,79.495369,574832,58.52739
"2012-04-04",78.795059,79.08342,77.53862,77.60041,774081,57.132259
"2012-04-05",77.45623,77.61071,75.99382,76.488159,919052,56.313385
"2012-04-09",75.118439,75.890831,75.025749,75.62307,610274,55.676464
"2012-04-10",76.44696,76.44696,73.61483,73.975281,787190,54.46331
"2012-04-11",74.727081,75.180229,74.438721,75.056641,489287,55.259453
"2012-04-12",75.345001,76.570549,75.01545,76.570549,508416,56.374039
"2012-04-13",76.210091,76.46756,75.128731,75.24202,648822,55.395927
"2012-04-16",75.61277,76.663231,75.44799,76.1689,939345,56.078335
"2012-04-17",76.828011,77.91967,76.354271,77.744591,756700,57.23843
"2012-04-18",77.30175,78.07415,77.07518,77.91967,599593,57.367313
"2012-04-19",78.01236,78.59938,77.178169,77.816681,570268,57.291477
"2012-04-20",78.115341,79.289391,77.960861,78.568489,433746,57.844994
"2012-04-23",75.417099,78.07415,75.417099,77.888771,1014307,57.344566
"2012-04-24",77.83728,79.53656,77.76519,79.423279,847295,58.474335
"2012-04-25",80.823891,82.028839,79.90731,80.957771,963815,59.60408
"2012-04-26",81.874359,84.86097,81.585991,84.15036,1243754,61.954578
"2012-04-27",84.253349,85.06694,83.419159,84.6241,1165491,62.30336
"2012-04-30",84.69619,85.31411,83.892891,84.902161,1084413,62.508068
"2012-05-01",85.108139,86.508751,84.562309,85.798149,900311,63.167732
"2012-05-02",84.99485,86.024719,84.15036,85.118439,791656,62.667309
"2012-05-03",85.489189,85.726059,84.356331,84.37693,714365,62.12138
"2012-05-04",84.098869,84.273941,82.584961,82.98661,1034212,61.097797
"2012-05-07",82.52317,83.594231,82.409889,83.46035,1060332,61.44656
"2012-05-08",83.00721,84.119461,82.61586,83.810509,956435,61.704361
"2012-05-09",82.749741,84.129761,82.62616,83.439751,511329,61.431404
"2012-05-10",84.047371,84.31514,82.790939,83.60453,700674,61.552711
"2012-05-11",82.92482,83.862,82.584961,83.15139,699023,61.219101
"2012-05-14",82.337799,82.69825,81.585991,81.658081,823796,60.119659
"2012-05-15",81.46241,81.68898,80.30896,80.751801,903710,59.452427
"2012-05-16",80.885689,81.967041,80.123581,80.123581,1048486,58.989925
"2012-05-17",80.267761,80.46344,76.477859,76.807411,1327357,56.548428
"2012-05-18",76.982491,77.126671,74.356331,74.634399,1346000,54.948578
"2012-05-21",74.92276,77.590111,74.6138,77.178169,1049360,56.821392
"2012-05-22",77.188461,77.971161,76.84861,77.332649,1045670,56.935127
"2012-05-23",76.61174,77.353241,75.973221,77.353241,888465,56.950275
"2012-05-24",76.9104,78.043251,76.117409,77.363541,716889,56.957874
"2012-05-25",77.60041,77.60041,76.519051,76.735321,804182,56.495338
"2012-05-29",77.53862,78.53759,77.209061,78.352211,1571369,57.685753
"2012-05-30",77.332649,77.47683,75.84964,76.107109,1442712,56.032852
"2012-05-31",76.07621,77.981461,75.365601,77.250259,4150345,56.874454
"2012-06-01",76.29248,76.807411,74.325439,74.45932,1259387,54.819668
"2012-06-04",74.24305,74.819771,72.440781,73.027809,1234627,53.765751
"2012-06-05",73.038101,74.902161,72.749741,74.727081,1006539,55.016815
"2012-06-06",75.746651,77.250259,75.252319,77.22966,671932,56.859299
"2012-06-07",78.115341,78.32132,76.24099,76.416069,748058,56.260307
"2012-06-08",76.436661,77.878479,76.08651,77.878479,515116,57.336983
"2012-06-11",78.52729,78.650871,74.86097,74.974251,664844,55.198784
"2012-06-12",75.592171,76.333679,74.91246,76.179199,756021,56.085915
"2012-06-13",76.08651,76.38517,74.634399,75.128731,689798,55.312508
"2012-06-14",75.15963,76.44696,74.99485,76.08651,813310,56.017689
"2012-06-15",76.189491,76.725029,75.643669,76.714729,1317259,56.480202
"2012-06-18",76.251289,78.208031,76.055611,78.01236,544148,57.435555
"2012-06-19",78.197731,79.52626,77.868179,78.91864,690187,58.102783
"2012-06-20",78.650871,80.133881,78.341919,78.589081,526670,57.860157
"2012-06-21",78.805351,78.91864,76.75592,77.08548,555412,56.753155
"2012-06-22",77.590111,77.888771,76.570549,77.38414,486471,56.973022
"2012-06-25",76.498451,76.941299,75.489189,76.1483,546673,56.063164
"2012-06-26",76.31308,78.568489,76.30278,77.981461,586290,57.412804
"2012-06-27",78.094749,78.76416,77.60041,78.269829,440349,57.625103
"2012-06-28",77.713699,79.557159,77.07518,79.557159,566287,58.766193
"2012-06-29",81.40062,82.69825,80.67971,82.636459,856908,61.040771
"2012-07-02",85.06694,85.06694,78.558189,83.099899,493365,61.38308
"2012-07-03",83.29557,84.55201,82.821831,84.438721,268773,62.372028
"2012-07-05",84.16066,84.44902,83.357361,83.93409,359367,61.999287
"2012-07-06",83.038101,84.129761,82.91452,83.975281,377622,62.029739
"2012-07-09",84.24305,84.24305,83.274971,83.77961,534244,61.885201
"2012-07-10",84.38723,84.38723,81.14315,81.565399,505794,60.249611
"2012-07-11",81.5242,82.039139,80.329559,80.792999,701353,59.679062
"2012-07-12",80.329559,81.555099,79.32029,80.895981,702616,59.755127
"2012-07-13",81.050461,82.173019,80.566429,82.08033,346064,60.629978
"2012-07-16",82.039139,82.255409,81.31823,81.730171,336063,60.371326
"2012-07-17",82.286301,82.78064,80.91658,82.574661,563083,60.995125
"2012-07-18",82.47168,82.584961,81.431511,81.894951,507639,60.493046
"2012-07-19",82.440781,82.440781,80.175079,80.556129,690284,59.504105
"2012-07-20",79.886719,81.07106,79.711639,80.710609,461516,59.618202
"2012-07-23",79.15551,79.53656,78.61998,79.29969,538225,58.576019
"2012-07-24",79.68074,80.041199,78.094749,78.650871,468022,58.096752
"2012-07-25",78.99073,80.247169,78.01236,78.733269,567647,58.157616
"2012-07-26",80.39135,81.174049,78.30072,79.886719,1160733,59.009624
"2012-07-27",80.113281,82.121521,79.402679,80.205971,657270,59.245453
"2012-07-30",80.267761,81.62719,80.175079,81.5448,649890,60.234394
"2012-07-31",81.29763,81.709579,80.648819,81.101959,795249,59.907291
"2012-08-01",81.31823,82.945419,81.31823,82.595261,877687,61.010353
"2012-08-02",82.131821,83.00721,81.565399,82.84243,680768,61.192909
"2012-08-03",83.820801,84.634399,83.357361,84.191551,749515,62.189484
"2012-08-06",84.44902,84.53141,83.810509,84.325439,550654,62.288368
"2012-08-07",84.54171,84.77858,82.976311,83.213181,692809,61.466759
"2012-08-08",83.048401,83.408859,82.39959,82.801239,493074,61.162487
"2012-08-09",82.873329,83.975281,82.801239,83.29557,874386,61.527634
"2012-08-10",83.29557,83.656029,82.38929,83.192589,422191,61.451569
"2012-08-13",82.904221,83.67662,82.749741,83.192589,391313,61.451569
"2012-08-14",83.38826,83.501549,82.636459,82.83213,409277,61.185307
"2012-08-15",82.893921,83.46035,82.564369,83.357361,244207,61.573254
"2012-08-16",83.491249,83.60453,82.564369,83.53244,468119,61.702614
"2012-08-17",83.30587,83.62513,83.192589,83.522141,398110,61.694996
