"dates","UNP.Open","UNP.High","UNP.Low","UNP.Close","UNP.Volume","UNP.Adjusted"
"2014-10-08",106.669998,108.120003,104.809998,108.019997,4430900,93.56794
"2014-10-09",108.080002,108.32,105.239998,105.339996,3731400,91.246498
"2014-10-10",105.5,105.580002,101.199997,101.339996,7640700,87.781654
"2014-10-13",102.989998,104.239998,97.839996,98.080002,8013800,84.957817
"2014-10-14",98.550003,101.300003,98.18,100.160004,6939900,86.759537
"2014-10-15",98.75,100.230003,96.169998,99.699997,6407200,86.361061
"2014-10-16",98.220001,105.269997,98,104.029999,9242800,90.111755
"2014-10-17",105.949997,106.980003,105.639999,106.400002,7112200,92.164696
"2014-10-20",105.599998,106.489998,105.269997,106.160004,3816900,91.956787
"2014-10-21",107.290001,108.919998,107.139999,108.860001,3934800,94.295563
"2014-10-22",108.529999,109.120003,106.709999,106.860001,5491800,92.563148
"2014-10-23",111.839996,112.650002,110.169998,112.230003,6441900,97.214684
"2014-10-24",112.809998,114.620003,111.889999,114.580002,4512300,99.25029
"2014-10-27",114.389999,114.940002,113.370003,114.790001,3658900,99.43219
"2014-10-28",115.089996,116.470001,115.050003,116.18,3934900,100.636223
"2014-10-29",116.309998,117.07,114.309998,114.970001,4151300,99.588089
"2014-10-30",114.93,115.93,114.080002,115,3996300,99.614075
"2014-10-31",116.300003,117.099998,115.610001,116.449997,3931600,100.870071
"2014-11-03",116.57,116.57,114.910004,115.260002,3934900,99.839294
"2014-11-04",115.230003,115.93,114.800003,115.279999,4888800,99.856621
"2014-11-05",116.019997,116.419998,115.18,116.410004,4000900,100.835419
"2014-11-06",116.849998,119.150002,116.589996,118.940002,4187200,103.026955
"2014-11-07",118.940002,119.660004,118.209999,118.75,3210200,102.862358
"2014-11-10",119.300003,121.290001,119.150002,120.900002,4086200,104.724724
"2014-11-11",121.029999,121.82,120.510002,121.239998,2866800,105.019234
"2014-11-12",121.290001,121.32,120.050003,120.709999,3361100,104.560135
"2014-11-13",120.410004,121.599998,120.050003,120.25,2882000,104.161674
"2014-11-14",120.239998,120.870003,120,120.709999,2598700,104.560135
"2014-11-17",120.230003,120.949997,119.809998,120.32,2585000,104.222305
"2014-11-18",120.620003,121.160004,120.120003,120.620003,2390700,104.482185
"2014-11-19",120.559998,120.610001,119.650002,120.5,2532800,104.378235
"2014-11-20",119.82,120.980003,119.68,120.910004,2660500,104.733383
"2014-11-21",122.169998,122.790001,121.220001,121.849998,5547300,105.547607
"2014-11-24",122.489998,123.370003,122.400002,122.910004,2675700,106.465805
"2014-11-25",122.769997,123.610001,122.410004,122.510002,4050500,106.119331
"2014-11-26",122.690002,123.440002,122.410004,123.309998,2377600,106.812286
"2014-11-28",121.839996,122.290001,116.550003,116.769997,5684700,101.55909
"2014-12-01",116.440002,116.629997,113.190002,114.629997,7102900,99.697845
"2014-12-02",114.980003,119.050003,114.309998,118.970001,6429600,103.472504
"2014-12-03",119.349998,121.389999,119.290001,120.949997,4917500,105.194557
"2014-12-04",120.419998,121.239998,118.959999,119.760002,3399700,104.159584
"2014-12-05",120,120.300003,118.150002,118.610001,3211000,103.159378
"2014-12-08",117.870003,118.080002,114.269997,114.940002,5616900,99.967468
"2014-12-09",112.910004,116.120003,111.889999,116.059998,5587900,100.941582
"2014-12-10",115.910004,116.339996,112.980003,113.690002,4592400,98.88028
"2014-12-11",113.980003,115.809998,113.480003,114.349998,3931300,99.454308
"2014-12-12",113.629997,115.75,112.5,112.550003,4813700,97.888794
"2014-12-15",113.150002,114.519997,111.669998,112.339996,5394000,97.706154
"2014-12-16",111.769997,114.980003,111.57,112.199997,4827100,97.584381
"2014-12-17",112.440002,115.419998,111.279999,114.919998,5532600,99.950066
"2014-12-18",116.949997,118.889999,116.449997,118.870003,5279700,103.385529
