"dates","IDXX.Open","IDXX.High","IDXX.Low","IDXX.Close","IDXX.Volume","IDXX.Adjusted"
"2013-09-09",47.880001,48.325001,47.68,48.205002,402200,48.205002
"2013-09-10",48.305,48.645,48.244999,48.595001,447200,48.595001
"2013-09-11",48.400002,48.66,48.16,48.615002,325400,48.615002
"2013-09-12",48.599998,49,48.099998,48.18,258400,48.18
"2013-09-13",48.174999,48.580002,47.924999,48.369999,451200,48.369999
"2013-09-16",48.544998,48.779999,48.305,48.52,322400,48.52
"2013-09-17",48.599998,49.169998,48.325001,49.035,279800,49.035
"2013-09-18",49.02,49.375,48.404999,49.174999,312000,49.174999
"2013-09-19",49.275002,49.459999,48.814999,49.040001,233000,49.040001
"2013-09-20",49.130001,49.474998,48.805,49.23,966400,49.23
"2013-09-23",49.025002,49.775002,48.959999,49.595001,532800,49.595001
"2013-09-24",49.709999,49.720001,48.970001,49.005001,547800,49.005001
"2013-09-25",48.924999,49.119999,48.73,48.845001,513200,48.845001
"2013-09-26",48.970001,49.195,48.82,49.130001,256600,49.130001
"2013-09-27",48.84,49.400002,48.639999,49.285,341200,49.285
"2013-09-30",48.974998,50.174999,48.395,49.825001,996600,49.825001
"2013-10-01",49.834999,51.404999,49.564999,51.369999,1366200,51.369999
"2013-10-02",50.895,51.755001,50.535,51.389999,933000,51.389999
"2013-10-03",51.145,51.384998,50.224998,50.630001,545800,50.630001
"2013-10-04",50.540001,51.360001,50.540001,50.994999,334400,50.994999
"2013-10-07",50.610001,51.134998,50.450001,50.799999,334000,50.799999
"2013-10-08",50.904999,51.110001,50.485001,50.605,545600,50.605
"2013-10-09",50.904999,51.154999,50.605,50.674999,624000,50.674999
"2013-10-10",51.165001,51.605,51.02,51.575001,539600,51.575001
"2013-10-11",51.59,52.09,51.305,52.084999,368400,52.084999
"2013-10-14",51.860001,53.139999,51.735001,53.09,476400,53.09
"2013-10-15",52.84,53.435001,52.459999,52.59,589800,52.59
"2013-10-16",52.775002,53.314999,52.57,52.900002,491200,52.900002
"2013-10-17",52.619999,53.185001,52.619999,53.119999,465200,53.119999
"2013-10-18",53.18,53.395,52.834999,53.235001,521400,53.235001
"2013-10-21",53.16,53.32,52.84,52.985001,1185600,52.985001
"2013-10-22",52.919998,53.400002,51.040001,51.615002,1463400,51.615002
"2013-10-23",51.174999,52.700001,51.174999,52.470001,728000,52.470001
"2013-10-24",52.355,52.625,51.919998,51.974998,583400,51.974998
"2013-10-25",51.950001,52.459999,51.740002,52.299999,429200,52.299999
"2013-10-28",52.185001,53.705002,52.029999,53.705002,841200,53.705002
"2013-10-29",53.77,54.384998,53.459999,54.150002,964400,54.150002
"2013-10-30",54.084999,54.389999,53.715,53.915001,364000,53.915001
"2013-10-31",53.814999,54.334999,53.455002,53.93,530800,53.93
"2013-11-01",54,54.299999,53.465,54.099998,457800,54.099998
"2013-11-04",56.555,56.555,53.724998,54.415001,471800,54.415001
"2013-11-05",54.060001,54.509998,53.599998,54.34,499800,54.34
"2013-11-06",54.685001,54.685001,53.814999,54.32,230600,54.32
"2013-11-07",54.634998,54.91,54.205002,54.279999,557600,54.279999
"2013-11-08",54.400002,54.860001,54.025002,54.805,311600,54.805
"2013-11-11",54.52,54.52,54.105,54.240002,315800,54.240002
"2013-11-12",54,54.055,53.285,53.349998,843200,53.349998
"2013-11-13",53.314999,53.314999,52.580002,52.959999,1670600,52.959999
"2013-11-14",53.130001,53.814999,53,53.224998,881200,53.224998
"2013-11-15",53.465,54.264999,53.305,53.5,1209600,53.5
"2013-11-18",53.700001,53.855,52.884998,53.044998,497600,53.044998
"2013-11-19",53.014999,53.755001,52.785,53.535,282000,53.535
"2013-11-20",53.474998,54.09,53.32,53.674999,504000,53.674999
"2013-11-21",53.895,54.415001,53.5,53.755001,450600,53.755001
"2013-11-22",53.919998,54.215,52.735001,52.744999,902600,52.744999
"2013-11-25",53.009998,53.294998,52.450001,52.695,589800,52.695
"2013-11-26",52.665001,52.805,52.105,52.264999,747800,52.264999
"2013-11-27",52.490002,52.540001,52.025002,52.240002,557600,52.240002
"2013-11-29",52.419998,52.610001,51.889999,52.080002,416200,52.080002
"2013-12-02",51.98,52.740002,51.555,52.509998,1466600,52.509998
"2013-12-03",52.285,52.66,52.205002,52.48,334200,52.48
"2013-12-04",52.16,52.610001,51.724998,52.189999,324600,52.189999
"2013-12-05",52.134998,52.439999,51.630001,52,306400,52
"2013-12-06",52.334999,52.709999,51.875,52,478400,52
"2013-12-09",52,52.82,51.509998,52.060001,562600,52.060001
"2013-12-10",51.945,52.25,51.509998,51.75,709600,51.75
"2013-12-11",51.875,51.970001,50.98,51.075001,760600,51.075001
"2013-12-12",51.154999,51.615002,50.665001,50.794998,938200,50.794998
