"dates","PFE.Open","PFE.High","PFE.Low","PFE.Close","PFE.Volume","PFE.Adjusted"
"2011-06-06",19.753321,19.886148,19.639469,19.67742,29085341,13.758359
"2011-06-07",19.867172,19.895636,19.67742,19.67742,36542812,13.758359
"2011-06-08",19.800758,19.800758,19.516129,19.620493,44304468,13.718559
"2011-06-09",19.573055,19.819735,19.563566,19.686907,36282158,13.764997
"2011-06-10",19.573055,19.59203,19.013283,19.079697,60554092,13.340437
"2011-06-13",19.051233,19.563566,19.051233,19.411764,46834068,13.572622
"2011-06-14",19.497154,19.667933,19.478178,19.525618,41329659,13.652222
"2011-06-15",19.354839,19.364326,19.003796,19.155598,44770020,13.393506
"2011-06-16",19.136621,19.250475,19.07021,19.203035,43589856,13.426673
"2011-06-17",19.326376,19.383303,19.02277,19.222012,65001445,13.439946
"2011-06-20",19.06072,19.240988,19.06072,19.231499,36582864,13.446576
"2011-06-21",19.297913,19.449715,19.193548,19.383303,49574995,13.552717
"2011-06-22",19.3074,19.43074,19.184061,19.240988,32152270,13.453214
