"dates","MTD.Open","MTD.High","MTD.Low","MTD.Close","MTD.Volume","MTD.Adjusted"
"2011-06-23",159.570007,162.410004,157.990005,161.869995,176300,161.869995
"2011-06-24",161.75,161.940002,158.240005,159.160004,212700,159.160004
"2011-06-27",159.429993,161.850006,158.020004,160.800003,150200,160.800003
"2011-06-28",161.080002,166.779999,160.990005,165.5,180500,165.5
"2011-06-29",166.789993,167.429993,164.649994,165.619995,2e+05,165.619995
"2011-06-30",166.029999,171.960007,165.839996,168.669998,229200,168.669998
"2011-07-01",169.289993,174.449997,168.779999,173.190002,165100,173.190002
"2011-07-05",173.130005,173.649994,171.259995,172.940002,99500,172.940002
"2011-07-06",172.919998,174.520004,171.880005,173.979996,98100,173.979996
"2011-07-07",175.839996,176,173.550003,175.279999,94600,175.279999
"2011-07-08",173.279999,173.5,171.059998,172.050003,129800,172.050003
"2011-07-11",169.929993,171.009995,164.289993,164.880005,255300,164.880005
"2011-07-12",164.399994,166.820007,162.509995,165.350006,145200,165.350006
"2011-07-13",166.419998,168.300003,165.440002,165.759995,124000,165.759995
"2011-07-14",166.100006,167,162.300003,163.509995,125500,163.509995
"2011-07-15",164.160004,164.199997,162.410004,163.929993,55500,163.929993
"2011-07-18",163.199997,163.979996,159.179993,160,144500,160
"2011-07-19",160.960007,163.259995,160.529999,162.75,124300,162.75
"2011-07-20",163.279999,164.820007,162.75,164.050003,106400,164.050003
"2011-07-21",164.949997,169.309998,164.070007,168.679993,192700,168.679993
"2011-07-22",168.470001,168.550003,165.570007,165.839996,102000,165.839996
