"dates","FANG.Open","FANG.High","FANG.Low","FANG.Close","FANG.Volume","FANG.Adjusted"
"2013-11-05",58.529999,58.709999,53.599998,55.139999,1729800,52.371227
"2013-11-06",55.009998,55.889999,52.32,53.459999,1018100,50.775581
"2013-11-07",55.07,56,50.5,54,4113200,51.288464
"2013-11-08",53.91,54.470001,53.07,53.470001,1044500,50.785084
"2013-11-11",53.700001,53.889999,53.09,53.290001,572500,50.614128
"2013-11-12",53.049999,53.419998,51.759998,52.5,451700,49.863792
"2013-11-13",52.540001,53.700001,52.09,53.150002,1443600,50.481155
"2013-11-14",52.830002,53.77,51.150002,53.119999,492000,50.45266
"2013-11-15",53.25,53.619999,52.639999,53.529999,245200,50.842068
"2013-11-18",53.66,53.759998,49.389999,50.209999,883500,47.688778
"2013-11-19",50.380001,50.700001,48.5,48.82,908500,46.368576
"2013-11-20",49.310001,50.41,48.419998,48.759998,509600,46.311588
"2013-11-21",48.98,52.27,48.98,51.740002,686500,49.141953
"2013-11-22",51.529999,52.650002,50.889999,51.529999,478300,48.942493
"2013-11-25",51.540001,51.810001,48.919998,50.880001,599700,48.325134
"2013-11-26",51,52.52,50.759998,51.610001,572700,49.018482
"2013-11-27",51.450001,52.080002,49.32,50.060001,639400,47.546314
"2013-11-29",49.630001,50.560001,48.639999,49.740002,356800,47.242378
"2013-12-02",49.919998,51.110001,49.049999,50.369999,527000,47.840744
"2013-12-03",50.450001,52.169998,49.400002,50.23,928700,47.707779
"2013-12-04",50,51.330002,49.549999,50.450001,561400,47.916729
"2013-12-05",50.290001,51.220001,48.759998,49.200001,663500,46.729492
"2013-12-06",50.529999,50.810001,45.84,46.18,1472900,43.861137
"2013-12-09",46.290001,46.810001,44.209999,45.07,1388500,42.806873
"2013-12-10",45.209999,47.490002,45.150002,46,753000,43.690182
"2013-12-11",45.93,46.209999,45,45.110001,743000,42.844868
"2013-12-12",45.419998,46.369999,44.779999,44.959999,386700,42.702404
"2013-12-13",45.130001,45.439999,43.470001,44.73,672000,42.483948
"2013-12-16",45.16,46.189999,44.66,45.490002,499700,43.205791
"2013-12-17",45.220001,46.630001,44.27,46.119999,587700,43.804153
"2013-12-18",46.02,47.919998,45.380001,46.34,751100,44.013107
"2013-12-19",46.869999,49.900002,45.82,49.799999,1047800,47.299374
"2013-12-20",49.990002,51.279999,49.490002,50.790001,1472400,48.239662
"2013-12-23",50.52,52.290001,50.110001,52.099998,877300,49.483875
"2013-12-24",52.02,52.389999,51.669998,52.02,300200,49.407894
"2013-12-26",52.16,53.169998,51.599998,52.73,488200,50.082241
"2013-12-27",52.799999,53.830002,52.040001,53.34,377300,50.661613
"2013-12-30",53.200001,53.799999,51.720001,51.93,598400,49.322411
"2013-12-31",51.849998,53.75,51.560001,52.880001,611000,50.224709
"2014-01-02",52.630001,53.580002,49.549999,51.16,714300,48.59108
"2014-01-03",51.23,52.299999,48.009998,49.18,1258300,46.710506
"2014-01-06",49,49.25,47.040001,48.57,1434000,46.131126
"2014-01-07",48.799999,50.040001,47.919998,48.389999,727600,45.960167
"2014-01-08",48.389999,48.73,46.91,47.610001,534800,45.219345
"2014-01-09",47.66,48.07,44.849998,45.52,1103300,43.23428
"2014-01-10",45.43,47.200001,45.25,46.970001,1066600,44.611473
"2014-01-13",46.029999,47.139999,44.049999,44.43,817400,42.199017
"2014-01-14",44.549999,47.119999,44.02,47.009998,908300,44.64946
