"dates","GE.Open","GE.High","GE.Low","GE.Close","GE.Volume","GE.Adjusted"
"2011-03-29",18.903847,19.144232,18.778847,19.096153,37480248,14.630263
"2011-03-30",19.211538,19.5,19.163462,19.336538,48829976,14.814425
"2011-03-31",19.307692,19.375,19.192308,19.278847,42577808,14.770225
"2011-04-01",19.365385,19.711538,19.346153,19.557692,50336000,14.983858
"2011-04-04",19.932692,19.951923,19.653847,19.740385,47234928,15.123822
"2011-04-05",19.692308,19.836538,19.519232,19.548077,43229472,14.976496
"2011-04-06",19.778847,19.826923,19.586538,19.759615,52916552,15.138566
"2011-04-07",19.701923,19.711538,19.413462,19.567308,54229240,14.991232
"2011-04-08",19.701923,19.730768,19.298077,19.413462,50450816,14.873364
"2011-04-11",19.461538,19.586538,19.307692,19.403847,30462848,14.865997
"2011-04-12",19.25,19.384615,19.038462,19.240385,50701352,14.740762
"2011-04-13",19.278847,19.336538,19.105768,19.173077,41650960,14.689193
"2011-04-14",19.086538,19.307692,18.846153,19.230768,45748560,14.733397
"2011-04-15",19.278847,19.519232,19.221153,19.269232,52144248,14.762859
"2011-04-18",19.009615,19.230768,18.759615,19.211538,66139944,14.718666
"2011-04-19",19.221153,19.557692,19.163462,19.490385,66035944,14.932295
"2011-04-20",19.730768,19.75,19.5,19.615385,57810896,15.028064
"2011-04-21",19.980768,20,18.971153,19.182692,126557704,14.696559
"2011-04-25",19.365385,19.375,19.125,19.125,57982184,14.652363
"2011-04-26",19.269232,19.548077,19.230768,19.326923,54608528,14.80706
"2011-04-27",19.413462,20.048077,19.375,19.855768,91861120,15.212229
"2011-04-28",19.894232,19.971153,19.682692,19.807692,43794920,15.175396
"2011-04-29",19.923077,19.942308,19.615385,19.663462,43147416,15.064892
"2011-05-02",19.903847,19.913462,19.644232,19.692308,37567504,15.086998
"2011-05-03",19.576923,19.855768,19.567308,19.846153,41670408,15.204866
"2011-05-04",19.769232,19.865385,19.375,19.490385,60206328,14.932295
"2011-05-05",19.451923,19.519232,19.048077,19.134615,59564440,14.659728
"2011-05-06",19.413462,19.471153,19.182692,19.240385,45393920,14.740762
"2011-05-09",19.201923,19.336538,19.134615,19.298077,39721344,14.784962
"2011-05-10",19.365385,19.634615,19.346153,19.519232,39708032,14.954397
"2011-05-11",19.432692,19.625,19.230768,19.317308,40028560,14.799699
"2011-05-12",19.230768,19.403847,19.134615,19.365385,39862576,14.836526
"2011-05-13",19.346153,19.365385,19,19.125,43888000,14.652363
"2011-05-16",19.086538,19.221153,18.923077,19,47628568,14.556595
"2011-05-17",18.865385,18.971153,18.711538,18.836538,49429952,14.431359
"2011-05-18",18.836538,19.105768,18.663462,19,47965944,14.556595
"2011-05-19",19.105768,19.278847,19.076923,19.192308,44527912,14.703928
"2011-05-20",19.163462,19.173077,18.826923,18.865385,47351824,14.45346
"2011-05-23",18.576923,18.730768,18.394232,18.644232,40581424,14.284026
"2011-05-24",18.682692,18.769232,18.317308,18.365385,47532784,14.070394
"2011-05-25",18.269232,18.615385,18.240385,18.480768,44749328,14.158791
