"dates","DHR.Open","DHR.High","DHR.Low","DHR.Close","DHR.Volume","DHR.Adjusted"
"2011-07-27",37.960575,37.960575,37.187263,37.32373,7581612,24.386578
"2011-07-28",37.33131,37.642155,36.95982,37.035633,6768449,24.198338
"2011-07-29",36.656559,37.520847,36.239574,37.232754,7606541,24.327135
"2011-08-01",37.596664,37.786201,36.307808,36.717209,5960429,23.990284
"2011-08-02",36.338135,36.391205,34.101593,35.307053,10701311,23.06892
"2011-08-03",35.44352,35.640636,34.473087,35.481426,7616302,23.182854
"2011-08-04",34.996208,34.996208,33.464745,33.472328,9898831,21.870148
"2011-08-05",33.874146,34.23806,32.88097,33.737679,12293212,22.043518
"2011-08-08",32.524639,33.025021,31.122063,31.228203,16414691,20.403885
"2011-08-09",31.683092,32.706596,30.538286,32.585293,12337398,21.290571
"2011-08-10",32.009098,32.661106,31.122063,31.417742,14020838,20.527721
"2011-08-11",31.576952,33.297955,31.379833,32.865807,10123721,21.473854
"2011-08-12",33.161488,33.737679,32.83548,33.479908,6310492,21.875093
"2011-08-15",33.760426,34.268387,33.487492,33.904472,4571126,22.152496
"2011-08-16",33.472328,33.881729,33.176647,33.479908,6006067,21.875093
"2011-08-17",33.783169,33.912056,32.805157,33.08567,3818769,21.617508
"2011-08-18",32.077332,32.183472,30.917362,31.175133,8106178,20.369204
"2011-08-19",30.742987,31.660349,30.712662,30.871874,6543031,20.171059
"2011-08-22",31.660349,31.751328,30.629265,30.735407,5117720,20.081898
"2011-08-23",30.644428,31.667931,30.242607,31.652767,6855898,20.681282
"2011-08-24",31.667931,32.843063,31.394997,32.767246,7945260,21.409456
"2011-08-25",32.92646,32.98711,31.728582,31.819559,5904108,20.790258
"2011-08-26",31.637604,32.706596,31.008341,32.517059,5877200,21.245993
"2011-08-29",32.98711,33.570889,32.93404,33.563305,4058167,21.92959
"2011-08-30",33.434422,34.321457,33.100834,34.154663,6977906,22.315969
"2011-08-31",34.44276,34.981045,34.366943,34.730858,8514409,22.692448
"2011-09-01",34.579227,34.852161,33.639122,33.821075,6620721,22.098011
"2011-09-02",32.98711,33.222137,32.463989,32.638363,4517179,21.325254
"2011-09-06",31.819559,32.623199,31.357088,32.547382,6101298,21.26581
"2011-09-07",33.09325,33.548141,32.888554,33.540562,5528325,21.91473
"2011-09-08",33.244881,33.616375,32.8279,32.971947,5961748,21.543196
"2011-09-09",32.592873,33.153904,32.084911,32.289612,8479455,21.097385
"2011-09-12",31.645185,33.062927,31.417742,33.0326,9244343,21.58283
"2011-09-13",33.138741,33.783169,32.92646,33.487492,7769965,21.880051
"2011-09-14",33.692192,34.821835,33.153904,34.313873,7576468,22.419992
"2011-09-15",34.874905,35.291889,34.533737,35.132675,6608718,22.954987
"2011-09-16",35.542076,35.564823,34.601971,34.829414,12229900,22.75684
"2011-09-19",34.313873,35.072025,33.889309,34.882488,4736529,22.791513
"2011-09-20",34.768764,35.466263,34.708111,35.056862,5672623,22.905449
"2011-09-21",34.958302,35.231236,33.919636,33.949963,5046362,22.18223
