"dates","APTV.Open","APTV.High","APTV.Low","APTV.Close","APTV.Volume","APTV.Adjusted"
"2015-10-20",68.415756,69.639565,68.038559,68.960602,2457461,65.458282
"2015-10-21",69.538979,69.614418,68.449287,68.658844,1631189,65.171844
"2015-10-22",68.94384,70.955574,68.650459,70.87175,3158110,67.272377
"2015-10-23",70.42749,71.458511,70.42749,71.299248,2958401,67.678146
"2015-10-26",71.089691,71.324394,70.544846,71.274101,2291276,67.654297
"2015-10-27",70.863373,71.257332,70.477783,70.645432,2997413,67.057549
"2015-10-28",71.014252,72.246437,70.268234,72.221291,3507539,68.553375
"2015-10-29",70.846603,70.846603,67.032692,67.09137,5816710,63.683987
"2015-10-30",67.208717,70.108971,67.208717,69.731766,4377594,66.190285
"2015-11-02",70.067055,70.955574,69.396477,70.762779,2135112,67.168938
"2015-11-03",70.469406,70.737633,69.044426,69.924561,2231149,66.373306
"2015-11-04",70.284996,70.284996,69.346184,69.421623,2249998,65.895905
"2015-11-05",69.362953,70,68.818108,69.807205,1419074,66.261917
"2015-11-06",69.606033,70.234703,69.036041,69.823975,2751177,66.277832
"2015-11-09",69.396477,69.614418,68.734283,68.994133,1200874,65.687256
"2015-11-10",68.893547,69.698242,68.549873,69.597656,1726510,66.261864
"2015-11-11",69.991615,70.762779,69.321037,70.335289,1695372,66.964134
"2015-11-12",69.304276,70.360435,69.270744,69.304276,2348421,65.982536
"2015-11-13",69.145012,69.379715,67.208717,67.309303,2520809,64.083176
"2015-11-16",67.342834,68.080467,67.024307,68.038559,1969166,64.777489
"2015-11-17",68.2062,68.541489,67.342834,67.627831,1803697,64.386444
"2015-11-18",68.13076,68.801338,67.585915,68.792961,3074838,65.49572
"2015-11-19",68.767815,70.410728,68.524727,70.360435,2669218,66.988052
"2015-11-20",70.79631,73.394806,70.720871,72.263199,3998459,68.799637
"2015-11-23",72.162613,72.816429,71.969826,72.372169,2145491,68.903397
"2015-11-24",71.7938,73.243919,71.575859,72.875107,2974746,69.382225
