"dates","VFC.Open","VFC.High","VFC.Low","VFC.Close","VFC.Volume","VFC.Adjusted"
"2014-01-16",56.468925,56.685497,55.367233,55.753296,3477838,47.413567
"2014-01-17",57.796612,57.796612,55.357815,55.357815,3995881,47.077244
"2014-01-21",55.903954,55.903954,54.632767,55.3484,3007265,47.069233
"2014-01-22",55.59322,55.71563,55.376648,55.555557,2040952,47.245399
"2014-01-23",55.12241,55.338982,54.52919,54.75518,2370809,46.564739
"2014-01-24",54.387947,55.028248,54.340866,54.397362,2268432,46.26046
"2014-01-27",54.359699,54.887005,54.237289,54.52919,2466920,46.372562
"2014-01-28",54.613937,55.517891,54.482109,55.254238,1954823,46.989147
"2014-01-29",54.971752,55.367233,54.124294,54.218456,2439626,46.108299
"2014-01-30",55.263653,56.459511,55.263653,55.94162,2436228,47.573715
"2014-01-31",55.235405,55.367233,54.887005,55.037666,2781590,46.804981
"2014-02-03",55.028248,55.037666,53.069679,53.192089,2520232,45.235462
"2014-02-04",53.58757,53.719398,52.900188,53.079098,2460654,45.13937
"2014-02-05",53.060265,53.23917,52.090397,52.721279,3770206,44.835079
"2014-02-06",52.947269,54.246704,52.193974,54.077213,2294557,45.988197
"2014-02-07",54.397362,55.395481,54.397362,55.320152,1893015,47.045212
"2014-02-10",55.160076,55.809792,55.094162,55.649719,1931990,47.32547
"2014-02-11",55.59322,56.911488,55.47081,56.88324,2764386,48.374485
"2014-02-12",57.080978,57.269302,55.734463,55.866291,3371638,47.509659
"2014-02-13",55.612053,56.497173,55.508476,56.393597,3501733,47.958092
"2014-02-14",52.937855,53.775894,51.920902,53.531075,8786138,45.52375
"2014-02-18",53.521656,53.615818,52.82486,53.163841,4339969,45.211441
"2014-02-19",53.126179,53.860641,53.088512,53.361584,3099553,45.379601
"2014-02-20",53.455746,54.717514,53.455746,54.642185,2829487,46.468651
"2014-02-21",54.604519,55.338982,54.604519,55.075329,3772543,46.837006
"2014-02-24",55.047081,55.725048,55.047081,55.404896,2932607,47.117275
"2014-02-25",55.555557,55.772129,55.216572,55.555557,2248997,47.245399
"2014-02-26",55.809792,56.723164,55.621468,56.337101,3587967,47.91003
"2014-02-27",55.395481,55.951035,55.094162,55.546139,3197045,47.237389
"2014-02-28",55.395481,55.499058,54.811676,55.169491,3580427,46.917084
"2014-03-03",54.519775,55.216572,54.500942,55.141243,1794992,46.893055
"2014-03-04",55.696796,56.478344,55.696796,56.271187,1887068,47.853981
"2014-03-05",56.365349,56.657249,56.06403,56.365349,1839809,47.934063
"2014-03-06",56.271187,56.647835,56.007534,56.506592,1669464,48.266228
"2014-03-07",56.798492,58.370998,56.713749,57.796612,4043034,49.36813
"2014-03-10",57.730698,58.29567,57.721279,58.182674,3008646,49.697891
"2014-03-11",58.182674,58.333332,57.674198,57.862522,2379517,49.424431
"2014-03-12",57.495293,57.806026,57.278721,57.749531,1969267,49.327923
"2014-03-13",57.871941,58.352165,57.335217,57.542374,3324379,49.150967
"2014-03-14",57.241055,58.107346,57.118645,57.17514,2806654,48.837292
"2014-03-17",57.598869,58.841808,57.598869,58.691151,2131753,50.132229
"2014-03-18",58.70998,59.359699,58.493408,58.512241,2915827,49.979404
"2014-03-19",58.58757,58.794727,57.617702,58.088512,2286167,49.61747
"2014-03-20",57.900188,58.832394,57.636536,58.64407,2141311,50.09201
"2014-03-21",59.133709,59.519775,58.58757,58.662899,3369301,50.108101
"2014-03-24",58.785313,59.18079,57.99435,58.286251,1469383,49.786373
"2014-03-25",58.540489,58.615818,57.278721,57.419964,2084387,49.04641
"2014-03-26",57.363464,57.99435,57.071564,57.090397,1552538,48.764904
"2014-03-27",57.156307,57.608288,56.88324,57.306969,1493384,48.949894
"2014-03-28",57.485874,58.097927,57.212807,57.787193,1270471,49.360088
"2014-03-31",58.333332,58.578156,58.097927,58.267422,1836092,49.77029
"2014-04-01",58.446327,59.161961,58.323917,58.549908,1688155,50.011581
"2014-04-02",58.615818,59.293785,58.502827,58.973637,1608930,50.373505
"2014-04-03",59.001884,59.209042,57.806026,58.003765,2397040,49.545082
"2014-04-04",58.342751,58.389832,56.638416,56.836159,3278288,48.547745
"2014-04-07",56.779659,56.986816,55.800377,56.026363,2049766,47.856049
"2014-04-08",55.81921,56.666668,55.583805,56.318268,1878147,48.105389
"2014-04-09",55.828625,55.922787,54.802261,55.574387,4772416,47.469967
"2014-04-10",55.659134,56.41243,54.896423,55.018833,2653513,46.995445
"2014-04-11",54.613937,55.112995,54.209042,54.331451,2642256,46.408295
"2014-04-14",54.6516,55.150658,54.510357,54.962334,1985090,46.947186
"2014-04-15",55.084747,55.790958,54.783428,55.71563,1873156,47.590622
"2014-04-16",56.148777,56.629002,56.045197,56.619587,1895033,48.362762
"2014-04-17",56.600754,56.939735,56.271187,56.35593,1173829,48.13755
"2014-04-21",56.553673,57.109226,56.261768,56.563087,1375502,48.314495
"2014-04-22",56.70433,56.958569,56.195858,56.487759,2497718,48.250153
"2014-04-23",56.619587,57.203388,56.563087,56.977402,1478941,48.668385
"2014-04-24",57.033897,57.071564,56.092278,56.600754,2069095,48.346668
"2014-04-25",56.967983,58.58757,56.930321,57.853107,3178885,49.416393
"2014-04-28",58.305084,58.615818,56.195858,57.269302,3165079,48.917725
"2014-04-29",57.35405,57.928436,57.259888,57.721279,1620506,49.303783
"2014-04-30",57.617702,57.749531,57.146893,57.52354,2316965,49.13488
"2014-05-01",57.532955,57.937855,57.033897,57.608288,1531404,49.207279
"2014-05-02",57.787193,58.323917,57.467045,57.589455,1508465,49.191177
"2014-05-05",57.401131,57.909603,56.949154,57.740112,1179563,49.319881
"2014-05-06",57.674198,57.966103,57.306969,57.561207,1513350,49.167053
"2014-05-07",57.740112,57.796612,56.666668,57.391712,1279816,49.022274
"2014-05-08",57.419964,58.512241,57.156307,58.154427,2184215,49.673775
"2014-05-09",57.853107,58.267422,57.024483,58.154427,1912237,49.673775
"2014-05-12",58.418079,59.359699,58.154427,59.143127,1736051,50.51828
"2014-05-13",59.661018,60.254238,59.661018,59.830509,1886324,51.105427
"2014-05-14",59.990585,60.037666,59.28437,59.397362,1463011,50.735451
"2014-05-15",59.199623,59.199623,58.192089,58.719398,1253479,50.156357
"2014-05-16",58.653484,59.124294,58.370998,59.105461,1413522,50.486122
"2014-05-19",59.020718,59.661018,59.020718,59.40678,1095559,50.743496
"2014-05-20",59.124294,59.237289,58.201508,58.380413,2084387,49.866795
"2014-05-21",58.474575,58.766479,58.201508,58.493408,1041291,49.963322
"2014-05-22",58.559322,58.907722,58.286251,58.775894,1091842,50.204609
"2014-05-23",58.879475,59.143127,58.766479,59.05838,968225,50.445911
"2014-05-27",59.40678,59.77401,59.124294,59.218456,1013042,50.582638
"2014-05-28",59.322033,59.369114,58.64407,59.020718,1427859,50.413719
"2014-05-29",59.265537,59.265537,58.832394,59.020718,808713,50.413719
"2014-05-30",59.124294,59.717514,58.992466,59.340866,1462055,50.687187
