"dates","LEN.Open","LEN.High","LEN.Low","LEN.Close","LEN.Volume","LEN.Adjusted"
"2011-03-15",18.456244,19.498526,18.456244,19.351032,5974570,18.408747
"2011-03-16",19.056047,19.24287,18.672565,18.800392,6271941,17.884912
"2011-03-17",19.144543,19.203541,18.869223,18.967552,3258671,18.043938
"2011-03-18",19.301868,19.439528,19.026548,19.3412,4226042,18.399382
"2011-03-21",19.498526,19.606686,19.144543,19.488691,2414765,18.539703
"2011-03-22",19.469027,19.498526,19.056047,19.193707,2433986,18.259081
"2011-03-23",19.06588,19.459194,18.997049,19.419863,4048067,18.474226
"2011-03-24",19.439528,19.61652,19.085546,19.537855,3069916,18.586473
"2011-03-25",19.537855,19.872173,19.449362,19.695183,3131038,18.736141
"2011-03-28",19.764011,19.941004,19.419863,19.419863,3911992,18.474226
"2011-03-29",19.183874,19.321533,18.436579,18.751228,10513441,17.838152
"2011-03-30",18.525074,18.58407,17.807276,17.964602,12367940,17.089823
"2011-03-31",17.964602,18.102262,17.758112,17.817108,4978520,16.949514
"2011-04-01",17.944937,18.40708,17.895773,18.003933,4414797,17.127239
"2011-04-04",18.003933,18.092428,17.708948,17.767944,3425765,16.902742
"2011-04-05",17.600786,18.298918,17.374632,18.013765,6671012,17.1366
"2011-04-06",18.043264,18.141594,17.74828,18.013765,5323080,17.1366
"2011-04-07",17.944937,18.30875,17.92527,18.092428,4010946,17.211424
"2011-04-08",18.13176,18.47591,17.974436,18.062929,4543041,17.183363
"2011-04-11",18.072763,18.072763,17.708948,17.895773,3927654,17.024349
"2011-04-12",17.74828,18.072763,17.74828,18.013765,3595400,17.1366
"2011-04-13",18.171091,18.20059,17.728615,17.885939,3446918,17.01499
"2011-04-14",17.807276,17.915438,17.699116,17.846607,2895704,16.977577
"2011-04-15",17.885939,18.161259,17.777779,18.13176,3449969,17.248844
"2011-04-18",17.885939,18.210423,17.797443,18.033432,3882092,17.155306
"2011-04-19",18.220257,18.603737,18.161259,18.47591,4545583,17.576241
"2011-04-20",18.780727,18.95772,18.466078,18.761063,4632537,17.847506
