"dates","RE.Open","RE.High","RE.Low","RE.Close","RE.Volume","RE.Adjusted"
"2011-05-05",90.540001,90.879997,89.419998,89.779999,405300,72.862694
"2011-05-06",90.529999,91.120003,89.559998,89.870003,188000,72.93576
"2011-05-09",89.940002,90.339996,89.089996,90.260002,170000,73.252289
"2011-05-10",90.449997,91.339996,90.370003,91.07,198300,73.909645
"2011-05-11",90.730003,91.120003,89.470001,89.760002,194100,72.846466
"2011-05-12",89.349998,90.949997,89.349998,90.769997,175000,73.666168
"2011-05-13",90.580002,91.07,89.610001,90.129997,308800,73.146759
"2011-05-16",89.709999,90.449997,89.459999,90.230003,275200,73.227898
"2011-05-17",89.589996,89.910004,89.25,89.860001,357800,72.927643
"2011-05-18",89.839996,91.290001,89.690002,90.75,337800,73.649918
"2011-05-19",90.980003,90.980003,89.870003,89.910004,243400,72.968224
"2011-05-20",89.910004,90.540001,89.660004,89.790001,437500,72.870811
"2011-05-23",89.809998,89.809998,88.470001,88.470001,340900,71.799553
"2011-05-24",88.519997,88.519997,87.32,87.480003,285800,70.996109
"2011-05-25",87.300003,88.120003,86.610001,87.989998,333900,71.409988
"2011-05-26",87.650002,89.800003,87.650002,89.550003,434200,72.676041
"2011-05-27",90.739998,90.739998,89.110001,89.25,242000,72.822922
"2011-05-31",89.489998,89.75,88.510002,88.970001,396500,72.594452
"2011-06-01",88.779999,90.029999,87.239998,87.389999,455200,71.305252
"2011-06-02",87.660004,88.809998,87.290001,88.709999,417500,72.382317
"2011-06-03",87.940002,88.449997,87.419998,87.559998,188400,71.443962
"2011-06-06",87.470001,87.470001,86.269997,86.43,218900,70.521973
"2011-06-07",86.889999,86.889999,85.959999,85.989998,223000,70.162949
"2011-06-08",86.839996,86.839996,84.919998,84.919998,220100,69.289856
"2011-06-09",85.019997,85.019997,84.019997,84.129997,344600,68.645279
"2011-06-10",83.699997,83.879997,82.959999,83.099998,261000,67.804863
"2011-06-13",83.349998,84.349998,83.300003,83.410004,462000,68.0578
"2011-06-14",84.089996,84.57,83.529999,83.889999,423300,68.449463
"2011-06-15",83.279999,83.349998,82.059998,82.339996,440300,67.184753
"2011-06-16",82.660004,83.190002,81.709999,82.169998,364500,67.046043
"2011-06-17",82.860001,82.919998,81.830002,81.830002,409100,66.7686
"2011-06-20",81.629997,82.849998,81.410004,82.129997,244300,67.013412
"2011-06-21",82.349998,82.349998,81.25,81.529999,307900,66.523834
"2011-06-22",81.419998,81.610001,80.93,81.169998,300600,66.230072
"2011-06-23",80.269997,80.860001,79.25,80.68,365800,65.830254
"2011-06-24",80.779999,80.839996,79.919998,80.550003,753600,65.724213
"2011-06-27",80.290001,82.300003,80.290001,81.839996,422100,66.776772
"2011-06-28",81.830002,82.059998,80.739998,81.379997,347100,66.401443
"2011-06-29",81.690002,82.559998,81.580002,82.459999,393800,67.282677
"2011-06-30",82.449997,82.480003,81.5,81.75,411200,66.703346
"2011-07-01",81.639999,82.220001,81.480003,81.800003,333100,66.744148
"2011-07-05",81.190002,81.610001,80.330002,80.720001,234400,65.86293
"2011-07-06",80.57,82.529999,80.519997,81.919998,519800,66.842049
"2011-07-07",82.459999,84.389999,82.440002,83.470001,523200,68.106773
"2011-07-08",82.669998,83.339996,82.599998,82.980003,327600,67.70694
"2011-07-11",82.220001,82.290001,81.489998,81.82,305400,66.760445
"2011-07-12",81.629997,83.650002,81.540001,82.720001,260300,67.494804
"2011-07-13",83.150002,83.629997,82.300003,82.82,266100,67.576401
"2011-07-14",83.209999,83.279999,81.970001,82.330002,218600,67.176598
"2011-07-15",82.730003,82.790001,81.220001,81.370003,270800,66.393303
"2011-07-18",81.169998,81.349998,79.769997,80.389999,305900,65.593651
