"dates","EMN.Open","EMN.High","EMN.Low","EMN.Close","EMN.Volume","EMN.Adjusted"
"2010-11-03",39.869999,39.970001,39.055,39.779999,1150800,30.588282
"2010-11-04",40.185001,40.375,39.595001,40.349998,2511600,31.026564
"2010-11-05",40.41,40.450001,39.599998,39.860001,2530200,30.649794
"2010-11-08",39.584999,40,39.384998,39.875,1248600,30.661329
"2010-11-09",40.035,40.345001,39.099998,39.395,1699200,30.292225
"2010-11-10",39.404999,39.650002,38.84,39.200001,1385400,30.142294
"2010-11-11",38.82,39.93,38.759998,39.650002,1646800,30.488312
"2010-11-12",39.240002,39.330002,38.400002,38.695,2182600,29.753983
"2010-11-15",38.814999,39.009998,38.400002,38.720001,1910800,29.773207
"2010-11-16",38.445,38.470001,37.775002,38.200001,2081800,29.373363
"2010-11-17",38.325001,38.830002,38.005001,38.535,1501000,29.630949
"2010-11-18",39.09,39.535,39.025002,39.48,2187000,30.357592
"2010-11-19",39.07,39.584999,38.830002,39.549999,2109600,30.411421
"2010-11-22",39.470001,39.884998,38.985001,39.695,1854600,30.522924
"2010-11-23",39.09,39.154999,38.610001,38.880001,1691800,29.89624
"2010-11-24",39.185001,39.779999,39.174999,39.740002,1457400,30.557524
"2010-11-26",39.299999,39.895,39.240002,39.755001,820600,30.569056
"2010-11-29",39.404999,39.709999,38.810001,39.634998,2172800,30.476782
"2010-11-30",39.240002,39.32,38.689999,38.904999,2734400,29.915466
"2010-12-01",39.689999,40.634998,39.689999,40.605,2555200,31.222652
"2010-12-02",40.654999,40.974998,40.349998,40.485001,2041400,31.130377
"2010-12-03",40.235001,41.169998,40.235001,41.029999,1908800,31.549437
"2010-12-06",40.814999,41.215,40.700001,41.075001,1627400,31.584053
"2010-12-07",41.314999,41.514999,40.904999,41.235001,1942400,31.707083
"2010-12-08",41.334999,41.465,40.785,41.055,1272200,31.568663
"2010-12-09",41.049999,41.185001,40.544998,40.705002,1428000,31.479725
"2010-12-10",40.849998,41.009998,40.48,40.584999,1830000,31.386927
"2010-12-13",40.700001,40.939999,40.525002,40.529999,1356400,31.3444
"2010-12-14",40.705002,41.035,40.5,40.724998,913800,31.495195
"2010-12-15",40.625,40.625,40.095001,40.150002,1608400,31.050512
"2010-12-16",40.195,40.450001,39.860001,40.200001,1026000,31.089191
"2010-12-17",40.115002,40.224998,39.900002,40.125,2868200,31.031183
"2010-12-20",40.095001,40.470001,39.880001,40.389999,1533200,31.236122
"2010-12-21",40.560001,41.174999,40.555,40.950001,1211400,31.669216
"2010-12-22",41.02,41.244999,40.779999,41.049999,803600,31.74655
"2010-12-23",40.935001,41.485001,40.875,41.200001,816200,31.862539
"2010-12-27",41.080002,41.509998,40.955002,41.395,837600,32.013348
"2010-12-28",41.400002,41.66,41.305,41.625,736000,32.191219
"2010-12-29",41.75,42.134998,41.740002,41.994999,1033000,32.477367
"2010-12-30",41.950001,42.09,41.810001,41.974998,615800,32.46191
"2010-12-31",41.93,42.285,41.814999,42.040001,836200,32.512169
"2011-01-03",42.439999,42.985001,42.389999,42.674999,1562600,33.003258
"2011-01-04",42.775002,43.865002,42.490002,43.424999,5847800,33.583282
"2011-01-05",43.285,43.834999,42.685001,43.744999,2926800,33.830761
"2011-01-06",43.740002,43.939999,43.455002,43.625,1397800,33.737946
"2011-01-07",43.654999,43.880001,43.07,43.615002,1583000,33.730221
"2011-01-10",43.490002,44.25,43.080002,44.134998,1455800,34.132366
"2011-01-11",44.264999,44.450001,43.810001,44.279999,2081000,34.244503
"2011-01-12",45.314999,46.669998,45.099998,46.450001,4259200,35.92271
"2011-01-13",46.68,46.735001,46.055,46.139999,2361800,35.682961
"2011-01-14",46.139999,46.470001,45.645,46.380001,1669600,35.868561
"2011-01-18",46.465,47.209999,46.395,47.075001,1234400,36.406055
"2011-01-19",46.759998,47.014999,45.834999,46.064999,1451000,35.624962
"2011-01-20",45.93,46.095001,45.005001,45.290001,1537400,35.025589
"2011-01-21",45.75,46.075001,45.205002,45.285,1371800,35.021725
"2011-01-24",45.220001,46.02,45.215,45.924999,1563800,35.516682
"2011-01-25",45.709999,45.779999,44.560001,45.165001,2738400,34.928932
"2011-01-26",45.41,47,45.41,46.945,2538600,36.305523
"2011-01-27",46.849998,46.93,46,46.435001,1320800,35.91111
"2011-01-28",46.564999,46.915001,45.555,45.924999,1876400,35.516682
"2011-01-31",46.235001,46.665001,45.955002,46.43,1958200,35.907242
"2011-02-01",46.035,46.400002,44.689999,45.735001,5777600,35.369743
"2011-02-02",45.814999,46.200001,45.57,45.799999,1906200,35.42001
"2011-02-03",45.720001,45.98,45.134998,45.610001,1750600,35.273079
"2011-02-04",45.735001,46.009998,45.404999,45.855,1401800,35.462559
"2011-02-07",46.005001,46.455002,45.855,46.145,1904000,35.686817
"2011-02-08",46.224998,46.720001,45.794998,46.575001,1987000,36.019379
"2011-02-09",46.290001,46.435001,45.779999,45.904999,1285000,35.501209
"2011-02-10",45.68,46.424999,45.529999,46.174999,1271000,35.710026
"2011-02-11",45.869999,47.025002,45.869999,46.66,1078200,36.08511
"2011-02-14",46.715,46.955002,46.59,46.84,1171800,36.224308
"2011-02-15",46.654999,46.735001,45.740002,45.830002,1749800,35.443207
"2011-02-16",46.099998,46.970001,46.060001,46.904999,1507000,36.274574
"2011-02-17",46.889999,48.654999,46.66,48.134998,3507400,37.225826
"2011-02-18",48.380001,48.5,47.474998,47.705002,2298800,36.893265
"2011-02-22",46.869999,47.310001,45.154999,45.255001,2620000,34.998539
"2011-02-23",45.25,45.599998,43.75,44.805,3275200,34.650524
"2011-02-24",45.099998,45.514999,44.209999,44.990002,2231600,34.793602
"2011-02-25",45.244999,45.84,45.154999,45.674999,1805200,35.323345
"2011-02-28",45.884998,46.75,45.57,46.705002,2472200,36.119907
"2011-03-01",47.029999,47.369999,45.445,45.564999,2938200,35.238274
"2011-03-02",45.685001,47.445,45.68,47.259998,2472000,36.549122
"2011-03-03",47.709999,48.919998,47.709999,48.650002,2688000,37.624107
"2011-03-04",48.48,48.505001,47.439999,48.18,1633600,37.260616
"2011-03-07",48.389999,48.814999,47.23,47.615002,1917800,36.823681
"2011-03-08",47.830002,48.880001,47.290001,48.715,1629800,37.674366
"2011-03-09",48.48,48.540001,47.459999,47.744999,1827800,36.92421
"2011-03-10",47.189999,47.415001,46.255001,46.619999,1931400,36.054173
"2011-03-11",46.150002,47.369999,46.060001,47.07,1666800,36.586617
"2011-03-14",46.900002,47.700001,46.445,46.924999,1166200,36.473915
"2011-03-15",45.279999,46.59,45.044998,46.244999,1701000,35.945358
"2011-03-16",46.185001,46.904999,45.599998,46.084999,2003200,35.820988
"2011-03-17",47,47.825001,46.915001,47.169998,1704400,36.664337
"2011-03-18",47.935001,47.935001,46.880001,46.900002,1773400,36.454472
"2011-03-21",47.700001,48.005001,47.255001,47.955002,1932600,37.274506
"2011-03-22",47.779999,48.075001,47.445,47.779999,2294000,37.138477
"2011-03-23",47.59,48.68,47.59,48.404999,1788200,37.624279
