"dates","MET.Open","MET.High","MET.Low","MET.Close","MET.Volume","MET.Adjusted"
"2015-06-30",50.142601,50.490196,49.491978,49.901962,7694788,40.453686
"2015-07-01",50.802139,51.00713,50.071301,50.329769,5449891,40.800499
"2015-07-02",50.258469,50.81105,49.803921,50.053474,4525250,40.576508
"2015-07-06",49.349377,50.008911,49.206776,49.830662,6098294,40.395885
"2015-07-07",49.679146,49.821747,48.083778,49.607841,10732042,40.215256
"2015-07-08",48.85918,49.180035,48.297684,48.5205,5980036,39.333782
"2015-07-09",49.367203,49.590019,48.823528,49.037434,7019681,39.752853
"2015-07-10",49.893047,50.160427,49.536541,49.875221,4952059,40.432007
"2015-07-13",50.436722,50.677361,50.356506,50.445633,5055171,40.894421
"2015-07-14",50.053474,50.695187,50.026737,50.516933,4965074,40.952221
"2015-07-15",50.445633,51.229946,49.946526,51.221035,10665620,41.52301
"2015-07-16",51.461678,51.809269,51.194298,51.426025,6463618,41.68919
"2015-07-17",51.167557,51.265598,50.766487,51.238857,4462531,41.53746
"2015-07-20",51.461678,51.5508,50.926914,51.114082,4144556,41.43631
"2015-07-21",51.07843,51.604279,50.900177,51.229946,2771564,41.530228
"2015-07-22",51.265598,51.408199,50.926914,51.096256,4259224,41.421848
"2015-07-23",51.024956,51.292336,50.445633,50.579323,4829088,41.0028
"2015-07-24",50.454544,50.909092,49.741531,50.044563,10041339,40.569286
"2015-07-27",49.679146,49.786095,48.877007,49.554367,8118119,40.171898
"2015-07-28",50.178253,50.347595,49.385029,50.151516,6097285,40.655987
"2015-07-29",50.142601,51.221035,50.062389,50.998219,5932799,41.342384
"2015-07-30",50.035652,50.686275,49.66132,50.650623,7521215,41.060593
"2015-07-31",50.463459,50.508022,49.483067,49.679146,7712179,40.273056
"2015-08-03",49.777184,50.080215,49.340462,49.670231,5078396,40.265827
"2015-08-04",49.919785,50.044563,49.483067,49.848484,4337764,40.410332
"2015-08-05",49.973263,50.249554,49.420677,49.474152,4537256,40.377598
"2015-08-06",49.616756,49.839573,49.233513,49.474152,4292996,40.377598
"2015-08-07",49.269161,49.581104,48.4492,48.948307,4862636,39.948433
"2015-08-10",49.39394,50.418896,49.39394,50.231728,5357101,40.99588
"2015-08-11",49.500893,49.688057,48.770054,49.001781,7047955,39.992077
"2015-08-12",48.360069,48.5205,47.040997,48.288769,7722502,39.41016
"2015-08-13",48.5205,48.725491,48.190731,48.458111,4948469,39.54837
"2015-08-14",48.645275,48.930481,48.422459,48.805702,3830732,39.832047
"2015-08-17",48.565063,48.725491,48.128342,48.573975,5349696,39.642933
"2015-08-18",48.5205,48.716579,48.262032,48.377895,5983514,39.482903
"2015-08-19",48.083778,48.244205,47.299465,47.798573,8327035,39.010094
"2015-08-20",47.361855,47.495544,46.265598,46.265598,8305044,37.758987
"2015-08-21",45.766487,45.87344,44.144386,44.162209,11800747,36.042328
"2015-08-24",41.319073,43.556149,39.652405,42.245991,17396049,34.478443
"2015-08-25",43.85918,44.001781,41.488415,41.524063,13595498,33.889252
"2015-08-26",42.718361,43.663101,42.040997,43.484848,13579342,35.489517
"2015-08-27",44.037434,45.017826,43.877007,44.919785,10544444,36.660618
"2015-08-28",44.670231,44.919785,44.376114,44.848484,8012314,36.602428
"2015-08-31",44.376114,44.973263,44.117645,44.652405,7219846,36.442406
"2015-09-01",43.190731,43.5205,42.468807,42.771835,10269778,34.907593
"2015-09-02",43.645275,43.65419,42.807487,43.538322,8750366,35.533157
"2015-09-03",43.716579,44.278076,43.4492,43.636364,6372062,35.613178
"2015-09-04",43.101604,43.155079,42.335117,42.655972,5785705,34.813038
"2015-09-08",43.565063,43.85918,43.172905,43.734402,7428650,35.693176
"2015-09-09",44.233513,44.616756,42.976826,43.155079,7418440,35.220379
"2015-09-10",43.048126,43.716579,42.700535,43.404636,5586326,35.424049
"2015-09-11",43.021389,43.279858,42.64706,43.25312,6214870,35.300392
"2015-09-14",43.163994,43.190731,42.754009,42.950089,4309602,35.053082
"2015-09-15",43.270947,44.153297,43.048126,43.948307,6391697,35.867756
"2015-09-16",43.966133,44.313725,43.814617,44.197861,4590102,36.07143
"2015-09-17",44.117645,44.242424,42.35294,42.584671,10359763,34.754848
"2015-09-18",41.68449,41.942959,40.971481,41.461678,13276514,33.838333
"2015-09-21",41.916222,42.245991,41.452763,41.800358,6696320,34.114746
"2015-09-22",41.060604,41.247772,40.614971,41.176472,10755829,33.605572
"2015-09-23",41.41711,42.005348,41.176472,41.461678,7873074,33.838333
"2015-09-24",40.855614,41.506241,40.60606,41.381462,7502141,33.772873
"2015-09-25",42.174686,42.450981,41.862743,42.094475,8298985,34.354782
"2015-09-28",41.657753,41.755795,40.989304,41.060604,8120699,33.511002
"2015-09-29",41.951874,41.951874,40.730839,41.301247,7798124,33.707401
"2015-09-30",41.942959,42.112301,41.452763,42.023174,7852205,34.296589
"2015-10-01",42.388592,42.442066,41.568626,42.281639,7118305,34.507534
"2015-10-02",41.14082,41.862743,40.597149,41.862743,8207206,34.165661
"2015-10-05",42.272728,42.673798,42.076649,42.593582,10561386,34.762127
"2015-10-06",42.486629,42.727272,42.005348,42.370766,7316225,34.580276
"2015-10-07",42.869877,43.217468,42.370766,42.950089,5675861,35.053082
"2015-10-08",42.727272,43.484848,42.629234,43.333332,5749240,35.365852
"2015-10-09",43.279858,43.672012,42.959003,43.128342,5224705,35.198563
"2015-10-12",43.128342,43.288769,42.923351,43.083778,3593542,35.162189
"2015-10-13",42.896614,43.270947,42.620319,42.673798,4676384,34.827595
"2015-10-14",42.459892,42.522282,41.720142,42.067738,7571929,34.332962
"2015-10-15",42.584671,43.146168,42.299465,43.137257,5576228,35.205837
"2015-10-16",43.226379,43.565063,42.967915,43.529411,5157497,35.525887
"2015-10-19",43.31551,43.78788,43.172905,43.609627,4333949,35.591347
"2015-10-20",43.689838,44.108734,43.591801,43.939396,4074767,35.860485
"2015-10-21",44.081997,44.39394,43.698753,43.752228,4538041,35.707722
"2015-10-22",44.046345,44.714794,44.046345,44.278076,5475136,36.13689
"2015-10-23",44.884136,45.552586,44.563278,45.436722,7380404,37.082508
"2015-10-26",45.356506,45.418896,44.696972,44.786095,5776393,36.55151
"2015-10-27",44.429588,44.474152,43.547237,43.868092,6384068,35.802296
"2015-10-28",44.153297,45.721924,43.957218,45.677361,7346519,37.278912
"2015-10-29",45.614971,45.900177,45.249554,45.445633,4810351,37.089779
