"dates","HON.Open","HON.High","HON.Low","HON.Close","HON.Volume","HON.Adjusted"
"2015-08-24",88.024605,93.897362,82.943146,90.837051,8065813,80.886391
"2015-08-25",93.763893,93.94503,89.435593,89.549995,6383044,79.740326
"2015-08-26",91.780884,93.315811,90.665443,93.268143,5521783,83.051178
"2015-08-27",94.517052,95.813637,93.782959,95.232079,5281478,84.799957
"2015-08-28",94.879333,95.575294,94.488457,95.356018,3625352,84.910324
"2015-08-31",94.965141,95.699234,94.47892,94.640991,4449272,84.273628
"2015-09-01",92.457779,92.896324,90.97052,91.485336,4485040,81.463661
"2015-09-02",92.505447,93.439751,92.009689,93.439751,4005897,83.203979
"2015-09-03",93.925964,95.01281,93.782959,93.973633,3277113,83.679367
"2015-09-04",92.772385,93.144203,91.580673,92.08596,3832407,81.998474
"2015-09-08",94.202446,95.165344,93.802025,95.155815,3896705,84.732056
"2015-09-09",95.756432,96.309387,94.040367,94.250114,3454589,83.925575
"2015-09-10",94.116638,95.479958,93.678085,94.907936,3696363,84.51133
"2015-09-11",94.831665,94.993736,93.840164,94.97467,2682066,84.57074
"2015-09-14",95.346489,95.346489,94.316849,94.593323,2627628,84.231186
"2015-09-15",94.993736,96.042442,94.650528,95.642029,3144531,85.164993
"2015-09-16",95.994774,96.414261,95.699234,96.25219,3402248,85.708321
"2015-09-17",96.223587,97.520172,95.6325,95.842239,2833529,85.343277
"2015-09-18",94.660057,94.726799,93.191872,93.468346,5140399,83.229446
"2015-09-21",93.601822,93.992699,92.667519,93.182335,2814648,82.974747
"2015-09-22",91.790421,91.904823,90.779846,91.561607,4805587,81.53157
"2015-09-23",91.733215,91.952492,89.740669,90.179222,5995472,80.300621
"2015-09-24",89.283058,89.569069,87.46212,89.254456,5848100,79.477142
"2015-09-25",90.341293,90.369896,88.7015,89.159119,4089180,79.392273
"2015-09-28",88.501289,89.035179,87.300049,87.319115,4576295,77.753838
"2015-09-29",87.681396,88.758705,87.433517,88.20575,3620842,78.543327
"2015-09-30",89.283058,90.417564,89.120979,90.274559,4613321,80.385513
"2015-10-01",90.322227,91.599747,89.23539,90.293625,3476931,80.402489
"2015-10-02",89.016113,92.105026,88.672897,92.038292,4004219,81.956039
"2015-10-05",92.553116,94.316849,92.381508,93.792496,3887789,83.518082
"2015-10-06",93.792496,94.459854,93.573219,93.630424,2733253,83.373749
"2015-10-07",94.412186,95.670631,94.154778,94.850731,3127224,84.460381
"2015-10-08",94.450317,96.671669,94.412186,96.357056,3235367,85.801689
